index,family,cell,corr_regime,dix_regime,h,n,n_eps,gate,p5,p10,p25,p50,p75,p90,p95,mean,hit
NDX,ENV,LowCorr,LowCorr,,1,753,30,True,-1.895,-1.291,-0.44,0.142,0.743,1.282,1.693,0.081,57.105
NDX,ENV,LowCorr,LowCorr,,2,752,30,True,-2.49,-1.824,-0.655,0.316,1.09,1.858,2.377,0.162,59.441
NDX,ENV,LowCorr,LowCorr,,3,751,30,True,-2.807,-2.089,-0.838,0.429,1.433,2.299,2.859,0.235,59.121
NDX,ENV,LowCorr,LowCorr,,5,749,30,True,-3.507,-2.523,-1.037,0.566,1.884,3.183,3.792,0.384,59.947
NDX,ENV,LowCorr,LowCorr,,10,744,30,True,-4.816,-3.103,-0.868,1.126,2.899,4.306,5.345,0.825,65.054
NDX,ENV,LowCorr,LowCorr,,15,739,30,True,-5.632,-3.983,-0.891,1.614,3.697,5.283,6.362,1.158,68.877
NDX,ENV,LowCorr,LowCorr,,21,733,30,True,-6.293,-4.415,-1.201,1.801,4.48,6.486,7.78,1.429,67.667
NDX,ENV,LowCorr,LowCorr,,42,712,30,True,-10.155,-5.948,-1.594,2.263,6.833,10.164,12.856,2.197,66.433
NDX,ENV,LowCorr,LowCorr,,63,691,30,True,-9.704,-5.285,0.138,4.121,7.986,13.227,16.498,3.873,75.109
NDX,ENV,MidCorr,MidCorr,,1,611,53,True,-2.313,-1.645,-0.684,0.156,0.916,1.697,2.264,0.099,56.956
NDX,ENV,MidCorr,MidCorr,,2,611,53,True,-3.097,-2.269,-0.992,0.256,1.412,2.317,3.069,0.192,57.61
NDX,ENV,MidCorr,MidCorr,,3,611,53,True,-3.611,-2.963,-1.036,0.416,1.709,2.785,3.841,0.294,59.574
NDX,ENV,MidCorr,MidCorr,,5,611,53,True,-4.545,-3.204,-1.258,0.796,2.232,3.884,5.172,0.479,61.375
NDX,ENV,MidCorr,MidCorr,,10,611,53,True,-6.985,-4.707,-1.772,1.467,3.48,5.553,6.625,0.769,62.848
NDX,ENV,MidCorr,MidCorr,,15,611,53,True,-8.161,-5.716,-1.771,1.943,4.569,6.486,8.086,1.118,64.812
NDX,ENV,MidCorr,MidCorr,,21,611,53,True,-8.886,-5.671,-1.618,2.772,5.866,8.09,10.01,1.715,66.612
NDX,ENV,MidCorr,MidCorr,,42,611,53,True,-12.78,-7.721,1.043,5.949,9.611,13.235,15.033,4.556,78.232
NDX,ENV,MidCorr,MidCorr,,63,611,53,True,-13.521,-10.237,-0.635,8.418,13.198,18.292,21.473,6.372,74.141
NDX,ENV,HighCorr,HighCorr,,1,400,24,True,-3.688,-2.604,-1.16,0.101,1.404,2.345,3.361,0.088,52.5
NDX,ENV,HighCorr,HighCorr,,2,400,24,True,-4.571,-3.205,-1.731,0.516,2.146,3.245,4.495,0.168,55.25
NDX,ENV,HighCorr,HighCorr,,3,400,24,True,-5.715,-3.938,-1.845,0.442,2.449,4.278,5.351,0.253,55.0
NDX,ENV,HighCorr,HighCorr,,5,400,24,True,-6.99,-4.693,-2.359,0.692,3.37,5.673,7.229,0.441,57.0
NDX,ENV,HighCorr,HighCorr,,10,400,24,True,-9.849,-6.655,-3.19,2.247,5.369,7.819,9.343,1.031,60.75
NDX,ENV,HighCorr,HighCorr,,15,400,24,True,-10.278,-8.369,-4.132,2.642,7.246,10.361,13.064,1.771,63.0
NDX,ENV,HighCorr,HighCorr,,21,400,24,True,-12.853,-10.33,-3.936,4.365,8.975,13.711,15.691,2.652,64.5
NDX,ENV,HighCorr,HighCorr,,42,400,24,True,-15.261,-11.419,-3.015,5.913,11.959,18.945,22.934,4.779,70.0
NDX,ENV,HighCorr,HighCorr,,63,400,24,True,-16.418,-10.873,-3.658,7.781,15.812,23.853,29.659,6.797,67.75
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,1,273,36,True,-2.012,-1.536,-0.456,0.192,0.811,1.494,1.807,0.087,56.41
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,2,273,36,True,-3.124,-2.042,-0.779,0.315,1.208,2.09,2.631,0.146,59.707
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,3,273,36,True,-3.33,-2.243,-1.003,0.323,1.544,2.376,2.821,0.163,55.311
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,5,273,36,True,-4.613,-3.213,-1.417,0.317,1.912,3.432,3.975,0.179,55.678
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,10,273,36,True,-5.759,-4.161,-1.727,0.288,2.256,4.075,5.078,0.103,54.579
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,15,273,36,True,-6.571,-4.598,-2.15,0.299,2.726,4.477,5.394,0.039,55.311
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,21,273,36,True,-7.167,-5.756,-3.343,-0.035,2.498,5.299,6.399,-0.292,49.817
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,42,257,36,True,-10.834,-7.382,-2.772,0.918,3.609,7.493,9.275,0.324,56.809
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,63,239,36,True,-7.122,-4.761,-0.158,3.175,6.287,13.78,17.365,3.611,74.059
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,1,295,63,True,-1.738,-1.141,-0.462,0.115,0.696,1.163,1.549,0.054,56.949
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,2,294,63,True,-2.163,-1.764,-0.643,0.325,0.998,1.596,1.962,0.133,59.524
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,3,293,63,True,-2.558,-2.021,-0.859,0.446,1.34,2.059,2.617,0.215,61.092
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,5,291,63,True,-3.015,-2.237,-0.979,0.58,1.835,2.89,3.294,0.428,62.199
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,10,286,63,True,-3.73,-2.335,-0.297,1.595,3.522,4.479,5.429,1.284,71.329
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,15,281,63,True,-4.846,-3.389,0.037,2.255,3.767,5.208,5.92,1.594,75.089
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,21,275,63,True,-4.434,-3.201,0.072,2.535,4.756,6.572,7.494,2.127,75.636
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,42,270,63,True,-10.555,-4.427,-0.801,4.917,8.431,10.855,12.557,3.271,70.0
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,63,267,63,True,-9.961,-5.017,1.113,5.1,8.193,12.621,15.212,4.131,79.026
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,1,185,30,True,-1.689,-1.116,-0.365,0.113,0.675,1.268,1.66,0.117,58.378
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,2,185,30,True,-2.31,-1.621,-0.57,0.264,1.098,1.879,2.879,0.23,58.919
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,3,185,30,True,-2.561,-1.979,-0.593,0.507,1.544,2.625,3.022,0.375,61.622
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,5,185,30,True,-3.016,-2.384,-0.829,0.664,1.975,3.478,4.29,0.618,62.703
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,10,185,30,True,-4.551,-1.971,-0.276,1.57,2.882,4.304,5.07,1.18,70.811
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,15,185,30,True,-6.4,-2.367,0.514,2.503,4.58,6.64,8.178,2.146,79.459
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,21,185,30,True,-5.183,-2.62,1.039,3.213,5.51,7.665,9.698,2.932,82.162
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,42,185,30,True,-7.727,-4.602,-0.204,4.089,7.434,11.449,14.625,3.234,74.595
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,63,185,30,True,-10.807,-7.68,-0.562,5.27,8.451,14.009,16.504,3.839,70.811
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,1,154,27,True,-2.514,-1.879,-0.811,0.224,0.938,1.532,2.343,0.05,55.844
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,2,154,27,True,-3.112,-2.335,-1.18,0.304,1.521,2.482,3.119,0.182,54.545
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,3,154,27,True,-3.572,-3.044,-1.341,0.406,1.698,2.938,3.938,0.291,60.39
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,5,154,27,True,-4.487,-3.165,-1.284,0.677,2.385,4.233,5.372,0.563,61.039
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,10,154,27,True,-5.001,-3.897,-1.75,1.459,3.558,5.339,6.706,1.044,64.935
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,15,154,27,True,-6.198,-4.463,-0.776,2.037,4.37,6.156,9.024,1.629,66.883
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,21,154,27,True,-6.099,-4.471,-1.172,2.022,5.815,8.852,10.753,2.201,70.13
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,42,154,27,True,-2.548,-1.477,1.38,6.447,9.513,14.714,20.06,6.533,85.714
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,63,154,27,True,-4.974,-3.036,0.827,8.599,14.067,19.87,21.649,8.133,79.87
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,1,222,51,True,-2.037,-1.257,-0.555,0.123,0.794,1.53,2.205,0.122,57.658
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,2,222,51,True,-2.718,-1.894,-0.865,0.167,1.231,2.094,3.054,0.209,59.459
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,3,222,51,True,-3.439,-2.649,-0.982,0.377,1.517,2.736,3.814,0.306,58.559
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,5,222,51,True,-4.53,-3.167,-1.367,0.656,1.808,3.859,5.492,0.375,59.009
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,10,222,51,True,-7.004,-5.433,-1.86,1.074,3.36,5.542,7.059,0.56,58.559
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,15,222,51,True,-6.945,-5.308,-2.557,2.074,4.447,6.27,7.784,1.012,63.514
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,21,222,51,True,-6.749,-4.808,-1.08,3.328,6.195,7.88,10.173,2.476,68.468
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,42,222,51,True,-9.285,-4.132,1.912,6.284,9.741,12.637,13.928,5.137,82.432
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,63,222,51,True,-9.424,-6.774,3.202,8.266,13.245,18.004,20.66,7.347,79.279
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,1,235,38,True,-2.353,-1.586,-0.703,0.188,0.949,1.824,2.251,0.109,57.021
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,2,235,38,True,-3.288,-2.58,-0.973,0.415,1.47,2.391,2.959,0.184,57.872
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,3,235,38,True,-3.774,-3.043,-0.874,0.47,1.875,2.832,3.714,0.286,60.0
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,5,235,38,True,-4.458,-3.156,-0.957,1.009,2.42,3.786,4.65,0.522,63.83
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,10,235,38,True,-7.81,-4.724,-1.547,1.716,3.581,5.411,6.266,0.787,65.532
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,15,235,38,True,-9.789,-6.712,-2.156,1.832,4.806,6.901,8.099,0.884,64.681
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,21,235,38,True,-12.065,-8.696,-2.997,2.916,5.588,7.789,9.257,0.679,62.553
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,42,235,38,True,-15.567,-12.635,-2.762,5.675,9.277,13.068,14.242,2.71,69.362
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,63,235,38,True,-16.332,-14.108,-6.303,8.404,12.227,17.662,22.376,4.296,65.532
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,1,57,13,True,-3.535,-2.946,-0.971,0.111,1.742,3.105,5.181,0.482,57.895
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,2,57,13,True,-4.148,-2.997,-1.208,0.717,2.284,4.75,5.84,0.613,61.404
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,3,57,13,True,-4.751,-3.078,-1.828,1.451,3.592,5.549,6.413,0.902,59.649
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,5,57,13,True,-4.683,-3.326,-1.443,0.729,3.379,6.097,8.123,1.026,57.895
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,10,57,13,True,-7.982,-5.432,-1.823,1.475,4.7,9.527,10.104,1.465,63.158
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,15,57,13,True,-12.582,-3.56,-0.715,1.918,11.485,14.061,16.194,3.729,66.667
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,21,57,13,True,-7.327,0.101,1.502,5.142,13.822,17.325,19.802,6.937,89.474
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,42,57,13,True,-8.189,-6.741,1.151,5.967,19.612,27.61,28.704,9.817,80.702
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,63,57,13,True,-13.816,-9.891,3.167,11.841,22.518,33.576,37.589,12.365,77.193
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,1,155,35,True,-3.166,-2.463,-1.161,0.004,1.263,2.165,2.601,-0.059,50.323
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,2,155,35,True,-4.646,-3.628,-2.003,0.231,1.779,2.782,3.426,-0.03,52.258
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,3,155,35,True,-5.523,-4.017,-1.847,0.068,1.913,3.722,4.303,-0.034,51.613
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,5,155,35,True,-6.857,-4.401,-2.538,0.492,2.82,5.153,6.426,0.062,53.548
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,10,155,35,True,-9.973,-6.757,-3.866,1.507,5.108,7.477,8.201,0.431,56.774
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,15,155,35,True,-12.062,-9.006,-5.117,1.799,7.15,9.727,10.42,0.808,59.355
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,21,155,35,True,-14.277,-11.632,-5.341,1.596,8.162,13.57,15.516,1.449,55.484
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,42,155,35,True,-15.263,-11.265,-0.713,6.281,9.977,15.437,18.436,4.302,73.548
NDX,ENV,HighCorrxDIXMid(l1),HighCorr,DIXMid,63,155,35,True,-11.056,-8.238,2.234,9.346,15.044,20.167,22.646,7.78,79.355
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,1,187,29,True,-3.689,-2.46,-1.166,0.145,1.418,2.474,3.375,0.082,52.406
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,2,187,29,True,-4.509,-3.175,-1.703,0.5,2.245,3.162,4.526,0.19,55.615
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,3,187,29,True,-5.75,-4.11,-1.835,0.466,2.832,4.596,5.589,0.293,56.15
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,5,187,29,True,-7.526,-5.453,-2.308,0.791,3.873,6.329,7.491,0.56,59.358
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,10,187,29,True,-9.162,-6.702,-2.511,2.654,5.561,7.826,9.043,1.377,63.102
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,15,187,29,True,-8.991,-8.018,-4.544,3.83,6.955,9.905,11.533,1.959,64.706
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,21,187,29,True,-12.075,-10.363,-4.407,4.836,8.714,11.433,13.742,2.353,64.171
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,42,187,29,True,-16.272,-12.675,-5.912,4.611,13.576,18.169,21.453,3.628,63.636
NDX,ENV,HighCorrxDIXHigh(l1),HighCorr,DIXHigh,63,187,29,True,-19.508,-14.785,-7.247,3.706,15.261,24.363,28.397,4.265,55.08
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,1,127,25,True,-1.783,-1.53,-0.47,0.142,0.692,1.147,1.339,0.005,55.906
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,2,127,25,True,-2.471,-1.54,-0.71,0.223,1.057,1.683,2.136,0.086,55.906
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,3,127,25,True,-3.094,-2.062,-0.886,0.401,1.209,1.917,2.361,0.09,58.268
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,5,127,25,True,-3.323,-2.206,-1.025,0.333,1.493,2.584,3.287,0.197,60.63
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,10,127,25,True,-4.102,-3.217,-1.479,0.436,1.593,3.277,3.922,0.133,56.693
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,15,127,25,True,-4.533,-3.764,-1.82,1.595,3.149,4.519,5.018,0.792,65.354
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,21,127,25,True,-5.184,-4.155,-1.308,1.493,3.815,6.232,7.256,1.269,66.142
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,42,127,25,True,-7.706,-4.916,-1.861,2.49,4.812,8.207,13.452,2.07,66.929
NDX,ENV,VolLowxDIXLow(l1),VolLow,DIXLow,63,127,25,True,-6.776,-4.055,1.113,4.201,7.845,11.238,12.956,3.908,80.315
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,1,263,54,True,-1.378,-1.061,-0.452,0.119,0.747,1.175,1.573,0.109,58.935
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,2,262,54,True,-2.129,-1.589,-0.59,0.249,1.013,1.605,1.892,0.158,60.305
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,3,261,54,True,-2.555,-1.87,-0.787,0.353,1.235,1.991,2.549,0.188,58.621
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,5,261,54,True,-2.819,-2.337,-1.121,0.43,1.679,2.633,3.229,0.266,58.621
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,10,261,54,True,-4.605,-3.474,-0.748,1.555,3.197,4.236,5.024,0.99,68.582
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,15,261,54,True,-4.862,-3.841,-0.688,1.735,3.634,4.871,5.76,1.248,70.881
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,21,261,54,True,-4.3,-3.196,-0.31,2.458,4.659,6.571,7.773,2.14,73.18
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,42,261,54,True,-6.298,-4.007,-0.367,4.974,8.731,11.805,13.672,3.957,72.414
NDX,ENV,VolLowxDIXMid(l1),VolLow,DIXMid,63,261,54,True,-9.869,-4.529,1.522,6.051,10.129,14.315,17.807,5.3,81.609
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,1,173,32,True,-1.559,-0.963,-0.333,0.104,0.618,1.084,1.276,0.079,58.382
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,2,173,32,True,-2.13,-1.608,-0.524,0.299,1.029,1.746,2.078,0.203,58.382
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,3,173,32,True,-2.601,-1.98,-0.6,0.509,1.388,2.348,2.902,0.334,62.428
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,5,173,32,True,-2.911,-2.193,-0.711,0.704,1.924,3.308,3.832,0.638,64.74
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,10,173,32,True,-4.112,-2.544,-0.446,1.541,2.919,4.28,5.116,1.151,68.208
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,15,173,32,True,-5.02,-2.165,0.409,2.244,4.412,5.623,7.713,1.912,78.035
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,21,173,32,True,-5.852,-2.947,0.906,3.038,5.176,6.649,8.766,2.548,80.347
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,42,173,32,True,-8.558,-4.72,0.267,4.83,7.652,11.593,14.697,3.596,76.301
NDX,ENV,VolLowxDIXHigh(l1),VolLow,DIXHigh,63,173,32,True,-11.471,-10.02,-2.015,5.38,9.154,13.941,15.921,3.584,68.786
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,1,214,30,True,-2.063,-1.678,-0.484,0.245,0.938,1.519,1.876,0.099,58.879
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,2,214,30,True,-2.695,-2.146,-0.837,0.293,1.353,2.222,2.878,0.183,58.411
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,3,214,30,True,-3.348,-2.359,-1.198,0.29,1.778,2.705,3.685,0.241,55.607
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,5,214,30,True,-4.447,-3.237,-1.235,0.596,2.173,3.662,4.592,0.343,56.542
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,10,214,30,True,-6.246,-4.676,-1.722,0.991,3.013,4.85,6.122,0.594,61.215
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,15,214,30,True,-7.881,-5.275,-1.355,0.766,3.532,5.754,6.945,0.624,58.411
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,21,214,30,True,-7.173,-5.745,-2.892,0.396,3.785,7.17,10.629,0.698,54.673
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,42,214,30,True,-7.511,-4.854,-0.822,2.213,7.912,12.026,18.339,3.591,70.093
NDX,ENV,VolMidxDIXLow(l1),VolMid,DIXLow,63,214,30,True,-5.293,-3.488,-0.271,4.034,13.997,19.999,21.649,6.17,73.832
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,1,228,50,True,-2.36,-1.427,-0.656,0.133,0.774,1.53,2.2,0.048,56.579
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,2,228,50,True,-3.131,-2.228,-0.917,0.236,1.357,2.14,2.912,0.154,58.772
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,3,228,50,True,-3.736,-2.792,-1.106,0.666,1.602,2.784,3.664,0.271,61.404
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,5,226,50,True,-5.5,-4.007,-1.26,0.856,2.484,4.07,5.16,0.42,64.159
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,10,224,50,True,-7.898,-6.68,-1.357,1.904,3.925,6.071,7.392,0.961,66.071
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,15,224,50,True,-9.295,-6.31,-1.663,2.931,4.656,7.335,8.774,1.593,70.089
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,21,224,50,True,-9.159,-6.143,-1.123,3.954,6.618,9.818,11.829,2.687,70.536
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,42,224,50,True,-13.967,-9.729,1.892,6.629,9.87,11.818,13.672,4.602,81.25
NDX,ENV,VolMidxDIXMid(l1),VolMid,DIXMid,63,224,50,True,-10.377,-7.98,1.547,6.548,13.167,18.07,20.665,6.235,76.786
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,1,220,33,True,-1.968,-1.483,-0.727,0.244,1.028,1.953,2.361,0.194,57.727
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,2,220,33,True,-2.843,-2.314,-1.035,0.419,1.641,2.771,3.162,0.282,58.636
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,3,220,33,True,-3.623,-2.989,-0.856,0.425,1.992,3.141,4.178,0.398,59.545
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,5,220,33,True,-4.787,-3.716,-1.062,0.963,2.683,4.32,5.004,0.557,61.818
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,10,220,33,True,-7.949,-4.622,-1.086,1.754,3.922,5.784,6.927,1.103,70.0
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,15,220,33,True,-9.763,-6.589,-2.148,2.87,5.537,7.719,9.533,1.347,67.727
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,21,220,33,True,-12.633,-9.875,-3.275,3.454,6.059,9.123,10.134,0.863,62.727
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,42,220,33,True,-16.226,-13.068,-6.924,3.991,8.421,12.094,13.442,1.234,65.0
NDX,ENV,VolMidxDIXHigh(l1),VolMid,DIXHigh,63,220,33,True,-15.229,-11.913,-4.358,7.613,12.926,17.025,19.891,4.44,63.182
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,1,143,30,True,-3.19,-2.036,-1.213,0.111,1.344,2.762,3.395,0.259,53.147
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,2,143,30,True,-4.018,-3.125,-1.441,0.575,1.848,3.733,4.86,0.369,60.14
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,3,143,30,True,-4.336,-3.314,-1.561,0.732,2.258,4.228,6.035,0.542,59.441
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,5,143,30,True,-4.887,-4.077,-2.013,0.729,3.117,5.422,7.142,0.67,56.643
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,10,143,30,True,-6.5,-4.463,-2.365,1.184,3.954,7.066,9.46,0.899,57.343
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,15,143,30,True,-6.351,-4.633,-1.51,1.234,3.995,11.533,13.566,1.679,58.741
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,21,143,30,True,-9.88,-5.132,-2.477,1.502,5.426,13.751,16.954,2.407,65.734
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,42,127,30,True,-9.802,-7.53,-0.975,3.292,9.036,19.875,27.454,4.862,70.079
NDX,ENV,VolHighxDIXLow(l1),VolHigh,DIXLow,63,109,30,True,-10.063,-7.953,0.674,8.721,14.302,24.856,33.613,9.208,77.064
NDX,ENV,VolHighxDIXMid(l1),VolHigh,DIXMid,1,181,43,True,-3.038,-2.21,-0.849,-0.003,1.157,2.069,2.607,-0.033,49.724
NDX,ENV,VolHighxDIXMid(l1),VolHigh,DIXMid,2,181,43,True,-4.518,-2.905,-1.564,0.231,1.617,2.801,3.428,0.024,53.039
NDX,ENV,VolHighxDIXMid(l1),VolHigh,DIXMid,3,181,43,True,-4.969,-3.535,-1.614,0.128,1.822,3.738,4.814,0.08,53.039
NDX,ENV,VolHighxDIXMid(l1),VolHigh,DIXMid,5,181,43,True,-5.882,-3.727,-1.699,0.49,2.438,5.179,6.465,0.293,53.591
