reclaim_ma,group,horizon,n,n_names,raw_pp,raw_hit,excess_spy_pp,excess_hit,exc_ci_lo,exc_ci_hi,xdemean_pp,names_pos_pct,sign_p
20,R_dpi,21,3247,494,1.098,55,-0.275,46,-0.696,0.177,-0.418,44.1,0.0091
20,R_dpi,42,3220,494,2.244,57,-0.379,45,-0.989,0.24,-0.584,44.5,0.0151
20,R_dpi,63,3178,494,3.711,59,-0.258,45,-0.921,0.4,-0.58,42.9,0.0016
20,R_nodpi,21,12253,499,1.412,58,0.05,49,-0.188,0.299,-0.122,47.5,0.2631
20,R_nodpi,42,12116,499,2.773,58,0.157,48,-0.221,0.494,-0.149,42.9,0.0015
20,R_nodpi,63,11969,499,4.19,61,0.338,47,-0.117,0.8,-0.111,43.7,0.0048
