index,regime,q,day,value
NDX,HHH,50,1,0.454
NDX,HHH,50,2,0.81
NDX,HHH,50,3,1.036
NDX,HHH,50,4,1.094
NDX,HHH,50,5,1.247
NDX,HHH,50,6,1.664
NDX,HHH,50,7,1.647
NDX,HHH,50,8,1.997
NDX,HHH,50,9,2.117
NDX,HHH,50,10,2.118
NDX,HHH,50,11,2.409
NDX,HHH,50,12,2.459
NDX,HHH,50,13,2.713
NDX,HHH,50,14,2.738
NDX,HHH,50,15,2.744
NDX,HHH,50,16,3.057
NDX,HHH,50,17,3.09
NDX,HHH,50,18,2.893
NDX,HHH,50,19,2.892
NDX,HHH,50,20,3.159
NDX,HHH,50,21,3.427
NDX,HHH,75,0,0.0
NDX,HHH,75,1,1.427
NDX,HHH,75,2,2.135
NDX,HHH,75,3,2.661
NDX,HHH,75,4,2.976
NDX,HHH,75,5,3.43
NDX,HHH,75,6,3.435
NDX,HHH,75,7,3.723
NDX,HHH,75,8,4.178
NDX,HHH,75,9,4.404
NDX,HHH,75,10,4.817
NDX,HHH,75,11,5.064
NDX,HHH,75,12,5.494
NDX,HHH,75,13,5.317
NDX,HHH,75,14,5.359
NDX,HHH,75,15,6.009
NDX,HHH,75,16,6.221
NDX,HHH,75,17,6.286
NDX,HHH,75,18,6.467
NDX,HHH,75,19,6.827
NDX,HHH,75,20,6.345
NDX,HHH,75,21,6.679
NDX,HHH,90,0,0.0
NDX,HHH,90,1,2.115
NDX,HHH,90,2,3.163
NDX,HHH,90,3,3.975
NDX,HHH,90,4,5.001
NDX,HHH,90,5,5.152
NDX,HHH,90,6,5.545
NDX,HHH,90,7,5.733
NDX,HHH,90,8,6.323
NDX,HHH,90,9,6.522
NDX,HHH,90,10,6.552
NDX,HHH,90,11,6.939
NDX,HHH,90,12,7.338
NDX,HHH,90,13,7.929
NDX,HHH,90,14,8.224
NDX,HHH,90,15,8.25
NDX,HHH,90,16,8.38
NDX,HHH,90,17,8.661
NDX,HHH,90,18,9.331
NDX,HHH,90,19,9.595
NDX,HHH,90,20,9.105
NDX,HHH,90,21,9.593
NDX,HHL,10,0,0.0
NDX,HHL,10,1,-1.333
NDX,HHL,10,2,-1.96
NDX,HHL,10,3,-2.363
NDX,HHL,10,4,-2.745
NDX,HHL,10,5,-3.179
NDX,HHL,10,6,-2.959
NDX,HHL,10,7,-2.946
NDX,HHL,10,8,-3.195
NDX,HHL,10,9,-3.661
NDX,HHL,10,10,-4.183
NDX,HHL,10,11,-5.139
NDX,HHL,10,12,-6.908
NDX,HHL,10,13,-6.85
NDX,HHL,10,14,-4.05
NDX,HHL,10,15,-4.487
NDX,HHL,10,16,-4.759
NDX,HHL,10,17,-4.246
NDX,HHL,10,18,-4.509
NDX,HHL,10,19,-4.7
NDX,HHL,10,20,-4.167
NDX,HHL,10,21,-3.37
NDX,HHL,25,0,0.0
NDX,HHL,25,1,-0.484
NDX,HHL,25,2,-0.552
NDX,HHL,25,3,-0.682
NDX,HHL,25,4,-1.204
NDX,HHL,25,5,-1.42
NDX,HHL,25,6,-1.305
NDX,HHL,25,7,-1.361
NDX,HHL,25,8,-0.99
NDX,HHL,25,9,-0.744
NDX,HHL,25,10,-0.543
NDX,HHL,25,11,-0.622
NDX,HHL,25,12,-0.881
NDX,HHL,25,13,-0.415
NDX,HHL,25,14,0.093
NDX,HHL,25,15,0.332
NDX,HHL,25,16,0.552
NDX,HHL,25,17,1.288
NDX,HHL,25,18,1.391
NDX,HHL,25,19,1.207
NDX,HHL,25,20,1.245
NDX,HHL,25,21,1.224
NDX,HHL,50,0,0.0
NDX,HHL,50,1,0.189
NDX,HHL,50,2,0.425
NDX,HHL,50,3,0.522
NDX,HHL,50,4,0.64
NDX,HHL,50,5,0.696
NDX,HHL,50,6,0.525
NDX,HHL,50,7,1.146
NDX,HHL,50,8,0.931
NDX,HHL,50,9,1.305
NDX,HHL,50,10,1.558
NDX,HHL,50,11,1.734
NDX,HHL,50,12,1.934
NDX,HHL,50,13,2.431
NDX,HHL,50,14,2.705
NDX,HHL,50,15,2.899
NDX,HHL,50,16,3.166
NDX,HHL,50,17,3.255
NDX,HHL,50,18,3.329
NDX,HHL,50,19,3.143
NDX,HHL,50,20,3.669
NDX,HHL,50,21,4.116
NDX,HHL,75,0,0.0
NDX,HHL,75,1,0.852
NDX,HHL,75,2,1.216
NDX,HHL,75,3,1.79
NDX,HHL,75,4,2.303
NDX,HHL,75,5,2.73
NDX,HHL,75,6,3.449
NDX,HHL,75,7,3.062
NDX,HHL,75,8,3.45
NDX,HHL,75,9,3.478
NDX,HHL,75,10,3.529
NDX,HHL,75,11,3.895
NDX,HHL,75,12,4.564
NDX,HHL,75,13,4.851
NDX,HHL,75,14,4.879
NDX,HHL,75,15,5.408
NDX,HHL,75,16,5.916
NDX,HHL,75,17,5.166
NDX,HHL,75,18,5.386
NDX,HHL,75,19,5.529
NDX,HHL,75,20,5.169
NDX,HHL,75,21,5.685
NDX,HHL,90,0,0.0
