signal,family,label,h5_uni_coef,h5_uni_t,h5_ctrl_coef,h5_ctrl_t,h21_uni_coef,h21_uni_t,h21_ctrl_coef,h21_ctrl_t,h21_ctrl_1sthalf_coef,h21_ctrl_1sthalf_t,h21_ctrl_2ndhalf_coef,h21_ctrl_2ndhalf_t,q5q1_h5_mean,q5q1_h5_t
dpi_1d,current,raw 1-day DPI (dashboard scatter / decile x-axis),-0.10998800609016612,-2.1861373219204854,-0.14120040197013842,-3.140860830374499,-0.26452933728038275,-1.968343601082162,-0.371609964195304,-2.9271156586941585,-0.1299834615751264,-0.7878829733754797,-0.5886861804530037,-3.2226203522681987,-0.07552307692854511,-1.738272707293473
d_5d,current,D = 5-day mean of daily DPI (the repo's D),-0.08346407838030852,-1.4962112469050644,-0.11293710667646227,-2.2850216365728016,-0.3291379095735942,-1.9584740910869256,-0.4058563452953297,-2.477287933092811,-0.0789801521067622,-0.3124108180866072,-0.6995205188551123,-3.4894904881498805,-0.07251308238784815,-1.558771468009373
resid_reg,current,grid residual: rolling OLS of D on the dollar-DIX,-0.008867204965035652,-0.20938197235354752,-0.01458181319712117,-0.37126861162266733,-0.023251288046775058,-0.19684322502772406,0.04535628830689052,0.4452327406233847,0.18900316056830735,1.222813101013638,-0.08369544720069255,-0.6377155283317864,-0.031894619947383594,-0.8489338751134549
rel_expanding,current,L/S tab 'name-specific': DPI minus expanding mean,-0.10433256373143322,-2.229552236245566,-0.11584469824777362,-2.817941713643253,-0.2609460282597649,-2.276931316058751,-0.26453377492922064,-2.476880805042882,-0.0726739714778791,-0.5379617246886332,-0.43689980155930297,-2.781494252281468,-0.09018880281671245,-2.205386691837976
dpi_level,new,structural level: trailing 126-session mean DPI,-0.0957579364829905,-1.6531582251743735,-0.12957888641047696,-2.390261758781651,-0.3488067762023962,-1.7618223564307542,-0.5462145684122902,-2.674306825865827,-0.22276227430155718,-0.6890310644896294,-0.8368027256882427,-3.386341529925963,-0.08799324844087549,-1.786040737809006
dpi_z,new,"abnormal 5d volume-weighted DPI, own-sigma units",-0.0032208223333036784,-0.06864828290370417,-0.03654276449940342,-0.8632618578085056,0.02472451593639506,0.18849209018138763,-0.009048536718163159,-0.08068102421102905,0.15391826283203308,0.8772419128395943,-0.1554572122498903,-1.1203923252787524,-0.007618000992902125,-0.18439089485531102
dark_share_abn,new,abnormal off-exchange share of volume (log),-0.02412397787154487,-0.4727094509174793,-0.0818265428698406,-1.9278570511792952,0.05715641183915675,0.4195495656149453,-0.14043009076343155,-1.2432082260618664,-0.33047277781095197,-1.953550682354517,0.030303446263217782,0.207690807540412,-0.014079791324859477,-0.3296519292195565
dark_imbalance,new,abnormal dark buying in ADV units,-0.016374832591724554,-0.3620106105209747,-0.03739623807587146,-0.8760688156512917,-0.001415154576021852,-0.010920438787537673,-0.003088286035072988,-0.026849589478109833,0.18967270832370967,1.0301950617106617,-0.1762639387210382,-1.2910079865054072,-0.014206744023835727,-0.3522166270026615
dpi_hidden,new,dpi_z minus its price echo (dark buying price hasn't shown),-0.03480067829167062,-0.7346923289362226,-0.03969127335835223,-0.9726067169219137,-0.017569152135511367,-0.14836570668192767,-0.01493523644546275,-0.13807986994911434,0.1413361846512033,0.8477833227958227,-0.15532881261786857,-1.1389934020445442,-0.03169621163843549,-0.7497181727737199
