index,family,cell,corr_regime,dix_regime,n_days,n_eps,gate,mae_med,mae_q25,mae_p10,mae_worst,trough_d,mfe_med,mfe_q75,peak_d,giveback_med,dip3,dip5,dip8,dip12,touch_m3,touch_m5,touch_m8,touch_m12,touch_p3,touch_p5,touch_p8,touch_p12,rv21_med,rv21_p90,vratio_med,vratio_gt1,vr21,z_gt1,z_gt2,ivrp_med,iv_exceeded,size_q25,size_p10,rr,ci_mean_r_lo,ci_mean_r_hi,ci_mae_q25_lo,ci_mae_q25_hi,ci_touch_m5_lo,ci_touch_m5_hi,ci_vratio_lo,ci_vratio_hi,ci_z_gt2_lo,ci_z_gt2_hi,ci_ivrp_lo,ci_ivrp_hi
NDX,ENV,LowCorr,LowCorr,,754,30,True,-1.8863744263332705,-4.125449640287782,-6.76127936468375,-13.557738189915703,8.0,3.748326639892907,5.691568659930413,15.0,1.520365388224998,33.83356070941337,18.281036834924965,6.2755798090040935,1.7735334242837655,33.83356070941337,18.281036834924965,6.2755798090040935,1.7735334242837655,60.84583901773534,33.42428376534789,7.503410641200546,0.5457025920873124,16.696692674558367,25.462927548910763,1.118376844021046,67.25784447476126,0.6518183505044237,38.74488403819918,9.959072305593452,3.9728517060190836,18.826739427012278,24.239782016348705,14.790100305917084,0.43665135032047575,0.2573790110865708,2.486357517056283,-5.411052157883869,-2.8643363396506305,10.31197252192211,27.35050325636471,1.0573722161155397,1.2717425227762162,4.37948136958711,17.382252806271463,2.7447228371050687,5.5197646880223505
NDX,ENV,MidCorr,MidCorr,,611,53,True,-2.1995359628770306,-5.7834320009700235,-9.482134234669248,-28.559372098911297,8.0,4.474365613671671,6.657775340613881,17.0,1.0677113338710242,44.51718494271686,29.296235679214405,12.92962356792144,4.25531914893617,44.51718494271686,29.296235679214405,12.92962356792144,4.25531914893617,64.1571194762684,44.02618657937807,14.893617021276595,2.7823240589198037,18.571685345476528,31.367693292602674,0.9431058637333026,42.5531914893617,0.8414029345834744,34.86088379705401,6.055646481178396,6.265875844746411,16.857610474631752,17.29077128999313,10.546148949713551,0.4792570157615883,-0.14967255742843255,3.430104624054237,-7.464241355856788,-3.942084633229337,17.85534515819751,42.06145938671995,0.8260101340549437,1.0500493620917626,1.9903584948190562,11.028098422473313,4.230426197163126,7.488044445755882
NDX,ENV,HighCorr,HighCorr,,400,24,True,-3.286819723409784,-8.236393627174603,-13.187800397014142,-23.528614661908843,6.0,6.035748981631306,10.082015995768845,16.0,2.247602470087107,52.0,38.0,25.75,12.75,52.0,38.0,25.75,12.75,71.0,58.5,38.75,17.5,26.38166335718779,43.85827260334413,0.834826721742586,30.75,0.7541079674687861,32.25,5.5,5.008273343925847,26.5,12.141236143700894,7.582765661409393,0.5299319207015388,0.23171268565035608,6.164122890952396,-10.587511390970311,-4.030660131400554,18.747519841269842,49.54430634763202,0.6480176032368969,0.9589145543404686,1.4443703024447756,13.751077586206891,2.7597180568120976,8.674464776983745
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,273,36,True,-2.8852034392200743,-5.776078865305312,-7.786463778697816,-13.193208778173194,11.0,2.757017106792903,4.911210157051871,11.0,2.794882377218322,47.985347985347985,30.76923076923077,9.523809523809524,1.8315018315018317,47.985347985347985,30.76923076923077,9.523809523809524,1.8315018315018317,47.61904761904761,23.809523809523807,4.761904761904762,0.0,17.84169946658746,28.82502226962515,1.1607692478309082,66.30036630036629,0.5088810923461876,27.472527472527474,8.424908424908425,2.9131229986359184,27.83882783882784,17.31278300243814,12.84280038309299,-0.005984121986795497,-1.3396846517210304,1.1240409917418936,-6.925423229619169,-4.265775705559621,19.775728393958353,41.46369562773968,1.0296649586011628,1.3357158502284792,3.9105690317180137,16.456068503350703,1.030837194856405,4.76790728385674
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,296,63,True,-1.5063613231552142,-3.3727837726918786,-5.713961579581577,-12.823185600208486,6.0,3.9670231001551093,5.80069563073311,17.0,1.04225732415284,29.454545454545457,11.636363636363637,2.909090909090909,0.36363636363636365,29.454545454545457,11.636363636363637,2.909090909090909,0.36363636363636365,68.36363636363636,35.63636363636364,5.818181818181818,0.36363636363636365,15.650603522436876,22.407352424033515,1.0679406319105007,68.36363636363636,0.6173417062578033,41.090909090909086,11.272727272727273,4.5015627720764115,13.454545454545455,29.64909900529681,17.50099271884198,0.751685711113119,1.117273801167091,3.1778227521154623,-4.606255004839801,-2.2460079517727776,5.127118644067797,19.85833512429257,1.0184357855580934,1.1975084127056115,5.089440521941192,19.71877316530763,3.3287583029291206,5.8817187227486745
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,185,30,True,-1.5554235652238457,-2.5773886630633847,-4.8912302474651765,-13.557738189915703,5.0,4.7127197399085,6.233228799586166,18.0,0.7985490769314207,19.45945945945946,9.72972972972973,6.486486486486487,3.783783783783784,19.45945945945946,9.72972972972973,6.486486486486487,3.783783783783784,69.1891891891892,44.32432432432433,14.054054054054054,1.6216216216216217,15.938739255969699,23.946535007604723,1.1195759167693966,67.02702702702703,0.7262130692630593,51.891891891891895,10.27027027027027,4.661260744030303,13.513513513513514,38.798960138648184,20.44475417034883,1.2465002411807835,1.095088569680038,4.730568315766819,-4.697295423767643,-1.8417648354797553,0.7137896825396826,24.716039707419,0.9936874969606374,1.3623867019940579,2.2210144927536235,19.37321654549514,2.9702684157075954,6.075565105147323
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,154,27,True,-2.6349866646504405,-6.017940527488966,-8.917059053147964,-14.054779479045932,7.0,3.8324987564316904,6.814097106385663,17.0,1.1886622012084338,46.103896103896105,35.064935064935064,12.337662337662337,3.2467532467532463,46.103896103896105,35.064935064935064,12.337662337662337,3.2467532467532463,63.63636363636363,40.25974025974026,14.935064935064934,3.2467532467532463,18.648626665818576,30.55505906420383,1.0711190884254562,53.896103896103895,0.6291631417681917,33.76623376623377,9.090909090909092,6.37847132525805,15.584415584415584,16.61698043428917,11.214459767954242,0.3360386312925669,-0.0674704285408667,4.4220439153861,-8.185827407813203,-3.8068946318377983,19.2,50.0,0.8956129616576124,1.1510032026023094,1.9727292020373515,18.90285102175346,4.5831781358495824,7.444536615663695
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,222,51,True,-1.8962775698126655,-5.474451427134272,-8.477095110976295,-15.081657040430185,8.0,4.380220635510357,6.813382908111665,18.0,0.6795458723172998,43.69369369369369,27.027027027027028,10.36036036036036,2.7027027027027026,43.69369369369369,27.027027027027028,10.36036036036036,2.7027027027027026,61.261261261261254,40.99099099099099,12.612612612612612,2.2522522522522523,16.310012763787228,29.24230897178228,0.8926939849615807,34.68468468468468,0.7462933660242689,36.486486486486484,4.054054054054054,6.719098272396804,10.81081081081081,18.266670429177104,11.79649380959737,0.6078307213941656,0.5744173649262353,4.270503651225252,-7.2675181998784835,-3.2836284560422424,12.322274881516588,42.28039780397801,0.7084968384546414,1.0093210277503673,0.45855992361658854,9.550928187591596,4.770948475287249,8.230411356693413
NDX,ENV,MidCorrxDIXHigh(l1),MidCorr,DIXHigh,235,38,True,-2.0467612111920164,-5.888398513002674,-9.933860126328726,-28.559372098911297,8.0,4.896682561657184,6.556994371336334,17.0,1.435227697853958,44.25531914893617,27.659574468085108,15.74468085106383,6.382978723404255,44.25531914893617,27.659574468085108,15.74468085106383,6.382978723404255,67.23404255319149,49.361702127659576,17.02127659574468,2.9787234042553195,20.69628680509666,33.08765366632346,0.9379937338110682,42.5531914893617,0.9646232116028193,34.04255319148936,5.957446808510639,5.358648251794353,23.404255319148938,16.982546235480072,10.066580234501165,0.49524412861111083,-2.8194893294745667,3.832628889781661,-9.201589801098576,-3.196969696969698,10.612090290661719,46.371606581703894,0.7680126974869365,1.049331532481903,0.43094238137341584,15.385416666666663,2.274828852747234,7.838782213887907
NDX,ENV,HighCorrxDIXLow(l1),HighCorr,DIXLow,57,13,True,-2.9293110403872835,-4.9677442869118345,-9.027655846107328,-21.772479438129555,5.0,6.597171062325025,14.83852516719464,19.0,0.9168161832843635,49.122807017543856,22.807017543859647,10.526315789473683,8.771929824561402,49.122807017543856,22.807017543859647,10.526315789473683,8.771929824561402,80.7017543859649,61.40350877192983,40.35087719298245,33.33333333333333,27.484632138546964,54.49767924791523,0.8153411806503474,31.57894736842105,0.4249547282852021,21.052631578947366,8.771929824561402,6.64464190747659,22.807017543859647,20.129860601614087,11.077072686938926,1.0351143877947995,1.742730997036345,11.15363173551016,-12.302693679385621,-3.5323340518988298,8.333333333333334,41.074054621848724,0.6235484199810899,1.1707405784221132,0.0,28.846153846153847,2.225073742150993,12.018848532575
