horizon,signal,ic,n,nw_slope,nw_t,hi_mean,lo_mean,spread,hi_ci_lo,hi_ci_hi,lo_ci_lo,lo_ci_hi
21,expanding decile,0.12967150248847972,3566,0.38157851980067903,1.8791087376132518,1.5272550114024428,0.43680193602786394,1.090453075374579,0.6902662153640275,2.3321981802067517,-0.4284028966110561,1.2038215402859869
21,trailing-1y decile,0.07188965549520732,3566,0.17540356979722838,1.0413284297766763,1.5092103386331446,0.9861680032541256,0.523042335379019,0.7895443502604939,2.271909506345667,0.37929577810437054,1.5428745031652547
21,breakout z (1y),0.06874560996788669,3566,0.1771084462312366,0.9840610618523906,1.5018560961834642,0.9606285575934407,0.5412275385900235,0.6509796891446189,2.3440602745676964,0.37440021466019224,1.5451033763817785
21,breakout gap (1y),0.06619580259393887,3566,0.15861533648593362,0.8164251417255917,1.541868954528,1.036703414604301,0.505165539923699,0.6233862238223492,2.414497654253445,0.3639922688505057,1.6929105961841484
42,expanding decile,0.14140965861659036,3545,0.4775774532220948,1.6413771685548444,3.094330735507264,1.6633338488170342,1.4309968866902296,1.7828833055851339,4.291659823497805,0.39179214173839344,2.857085916117678
42,trailing-1y decile,0.06242314775044474,3545,0.13837511667238775,0.551637994631092,2.902660198315038,2.363131649503136,0.5395285488119024,1.6350156403271752,4.205015223837395,1.4804396433382718,3.193885840420752
42,breakout z (1y),0.057491051454446024,3545,0.21962505530457252,0.8094678907239302,3.0415022592376872,2.3509016506763034,0.6906006085613838,1.746154329842241,4.419342368016967,1.4513317605708562,3.2048088047214858
42,breakout gap (1y),0.05059215759229783,3545,0.18953668047792266,0.6558100607837534,3.0021489322575836,2.5224939536901294,0.4796549785674542,1.6269539207935175,4.3487291194234166,1.580184743456289,3.4918271914145413
63,expanding decile,0.10649374845319279,3524,0.33629700982509303,0.9145318890400214,3.929119107646561,2.8588367681571056,1.0702823394894554,2.3135206940684516,5.52240823442946,1.1518285358112164,4.495710055472796
63,trailing-1y decile,0.0010292627722052873,3524,-0.2243151720287255,-0.6678894088626653,3.218513082997434,3.8965661987764513,-0.6780531157790173,1.4169722667015763,5.106778710515774,2.757597557579799,5.089965395043614
63,breakout z (1y),-0.006529834776195246,3524,-0.2400862861290025,-0.6534761619310404,3.2658300094685155,3.915784153859558,-0.6499541443910424,1.3358389683495457,5.245510464149394,2.75679447939118,5.105757246417807
63,breakout gap (1y),-0.01620150984740479,3524,-0.2905698304547403,-0.7484632088141556,3.1940115774204356,4.195286932992621,-1.0012753555721856,1.294389455869734,5.057283531965317,2.933512208863469,5.470421887915926
