horizon,window,win_sessions,n,ic,nw_slope,nw_t,ls_spread,ic_pre,ic_post,entry_up,entry_dn,entry_spread,n_up,n_dn
21,1mo,21,3798,0.020926336587086196,0.08081774241292725,0.6860214072983636,0.27046784601250506,0.0484094307718147,-0.022303384347876588,1.2091156178781937,0.9050656528723402,0.30404996500585346,74,85
21,2mo,42,3785,0.07846571273871825,0.2718326735536077,1.882830269412477,0.6526234765161295,0.10197043599504631,0.040671082190823014,1.8469358864886811,0.18878453519371938,1.6581513512949617,74,79
21,3mo,63,3768,0.09572950515467718,0.30386991919911616,2.038840516867823,0.7064507261478674,0.12115823622293448,0.05306273350623322,1.6944600798038012,0.40169758589349663,1.2927624939103046,71,80
21,6mo,126,3718,0.12443391072566529,0.4110981026319478,2.5676146142196727,1.0462440751336801,0.17324064012166485,0.04314383779042234,1.7831383497543674,0.6624863810003746,1.1206519687539926,70,79
21,1yr,252,3617,0.0685949039981995,0.18092015518720392,1.013038401519041,0.5440430044374559,0.1354149429844112,-0.03804157043653118,1.3438057440321085,0.5779330820830262,0.7658726619490823,76,64
42,1mo,21,3777,0.07273083547673893,0.3791588551339739,2.5690729628623807,1.2450365561839953,0.09197375830133336,0.03844634307159861,3.4988069496004974,1.721572487853714,1.7772344617467835,73,85
42,2mo,42,3764,0.11734667466059037,0.5634306941173286,3.057967320147974,1.804143213358353,0.15018018953460463,0.06118499479922218,4.356752980061268,0.45563759643923507,3.9011153836220327,74,78
42,3mo,63,3747,0.12812505433260893,0.5884303961501142,2.961300844711733,1.7852222343433415,0.18647292550284184,0.03135304094610555,3.858190067391134,1.0969763782596378,2.7612136891314965,71,79
42,6mo,126,3697,0.15081999649584962,0.682589568275325,3.051566476497501,1.9539925710064865,0.21401927104488783,0.045861683109933764,3.0651425384242375,1.7310964633027415,1.334046075121496,70,78
42,1yr,252,3596,0.05781643881799797,0.2271120430853453,0.842677264535395,0.6932648631773799,0.14525132822979894,-0.08547605443080947,2.402974756484737,1.842779878368254,0.5601948781164829,76,63
63,1mo,21,3756,0.041288808647225866,0.19297391814827639,1.1423737222719454,0.7410701823811938,0.05594559412816477,0.017415172135672716,4.388899003085406,2.9973250034866044,1.3915739995988017,73,84
63,2mo,42,3743,0.07992003881899833,0.3565493401921521,1.6093194150049768,1.268293221097729,0.13332431372537015,-0.004913216795163678,4.9438798989126065,1.3811926767966707,3.562687222115936,74,77
63,3mo,63,3726,0.08870058618131753,0.3606830023992077,1.4412320215273502,1.213759576469113,0.1720161488706853,-0.04251109884064548,4.44323603705851,2.5433371878334166,1.8998988492250932,71,78
63,6mo,126,3676,0.11822159438624902,0.47468863837390624,1.488872597368599,1.360272884849294,0.19542757060136073,-0.00202278650903449,3.8488390073939605,3.384405853219163,0.46443315417479747,70,77
63,1yr,252,3575,-0.00578267100074486,-0.22598736335886555,-0.6201566801043047,-0.5976344418816271,0.10028108352453968,-0.16862180269565058,3.0438352148953003,3.0467994056783407,-0.0029641907830404435,76,63
