stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-01_1151,AAOI,30,2026-09-18,17,103.54,83.94,1.64,725,463,31336,26699
2026-09-01_1151,AAOI,60,2026-10-16,45,103.54,85.71,2.89,442,273,7073,5850
2026-09-01_1151,AAOI,91,2026-12-18,108,103.54,94.92,3.3,404,236,17244,10916
2026-09-01_1151,AAOI,182,2027-03-19,199,103.54,96.53,,154,312,3049,3124
2026-09-01_1151,AAPL,30,2026-09-18,17,326.66,25.54,-0.87,40841,15302,395524,252284
2026-09-01_1151,AAPL,60,2026-10-16,45,326.66,24.33,-1.28,15780,27650,286898,157298
2026-09-01_1151,AAPL,91,2026-11-20,80,326.66,26.21,-2.18,6959,5784,175273,112172
2026-09-01_1151,AAPL,182,2027-02-19,171,326.66,26.42,-2.19,3041,1125,40385,40512
2026-09-01_1151,AMD,30,2026-09-18,17,460.11,46.64,-0.04,9338,5054,142395,209295
2026-09-01_1151,AMD,60,2026-10-16,45,460.11,47.53,0.68,3857,4144,57380,69425
2026-09-01_1151,AMD,91,2026-11-20,80,460.11,52.81,0.83,1558,1666,78838,65853
2026-09-01_1151,AMD,182,2027-02-19,171,460.11,54.05,2.0,1024,458,8833,14812
2026-09-01_1151,AMZN,30,2026-09-18,17,255.35,27.54,-0.83,19696,8186,389952,253777
2026-09-01_1151,AMZN,60,2026-10-16,45,255.35,29.31,-0.84,17362,4175,216458,155629
2026-09-01_1151,AMZN,91,2026-11-20,80,255.35,35.37,-0.98,13014,2047,274009,97364
2026-09-01_1151,AMZN,182,2027-02-19,171,255.35,35.03,-0.95,1871,795,21720,27270
2026-09-01_1151,CRWV,30,2026-09-18,17,82.53,67.21,0.08,7326,3922,259673,149313
2026-09-01_1151,CRWV,60,2026-10-16,45,82.53,70.02,1.23,4015,3619,123302,127472
2026-09-01_1151,CRWV,91,2026-11-20,80,82.53,76.71,2.45,1234,459,56086,43983
2026-09-01_1151,CRWV,182,2027-02-19,171,82.53,73.93,1.67,503,567,8632,9539
2026-09-01_1151,DRAM,30,2026-09-18,17,56.59,52.25,-2.63,10695,4299,336178,210899
2026-09-01_1151,DRAM,60,2026-10-16,45,56.59,57.31,-1.77,6298,4738,194738,101089
2026-09-01_1151,DRAM,91,2026-11-20,80,56.59,58.31,-0.54,4099,2455,113928,44667
2026-09-01_1151,DRAM,182,2027-02-19,171,56.59,60.12,-1.14,310,770,9834,12398
2026-09-01_1151,EEM,30,2026-09-18,17,67.4,20.9,-2.24,8019,10536,576376,995903
2026-09-01_1151,EEM,60,2026-10-16,45,67.4,21.08,0.85,2008,41407,132827,275608
2026-09-01_1151,EEM,91,2026-11-20,80,67.4,22.82,-1.57,2751,45439,40057,173198
2026-09-01_1151,EEM,182,2027-03-19,199,67.4,22.54,-3.05,5289,8950,59573,226302
2026-09-01_1151,EWY,30,2026-09-18,17,179.65,43.47,-2.24,3715,1318,167035,66013
2026-09-01_1151,EWY,60,2026-10-16,45,179.65,44.22,-1.99,1201,2050,85845,102307
2026-09-01_1151,EWY,91,2026-11-20,80,179.65,43.67,0.03,775,23006,15834,36051
2026-09-01_1151,EWY,182,2027-03-19,199,179.65,43.5,-0.1,722,498,36929,28262
2026-09-01_1151,FXI,30,2026-09-18,17,35.47,17.64,0.56,6766,18398,511481,413428
2026-09-01_1151,FXI,60,2026-10-16,45,35.47,19.69,-0.84,10688,3704,128044,94553
2026-09-01_1151,FXI,91,2026-11-20,80,35.47,20.37,0.52,1491,14768,96135,183837
2026-09-01_1151,FXI,182,2027-02-19,171,35.47,21.58,-0.21,72,270,33741,16790
2026-09-01_1151,GDX,30,2026-09-18,17,96.84,43.49,1.23,12745,9696,233852,388439
2026-09-01_1151,GDX,60,2026-10-16,45,96.84,42.84,1.8,7960,4133,55738,73212
2026-09-01_1151,GDX,91,2026-11-20,80,96.84,45.05,2.07,883,757,24767,168180
2026-09-01_1151,GDX,182,2027-03-19,199,96.84,44.54,2.68,1053,4465,35000,51411
2026-09-01_1151,GLD,30,2026-09-18,17,400.88,22.76,0.49,23110,8054,1284373,238671
2026-09-01_1151,GLD,60,2026-10-16,45,400.88,22.62,1.07,15327,7776,229955,139753
2026-09-01_1151,GLD,91,2026-11-20,80,400.88,23.32,1.28,36239,2287,365229,352312
2026-09-01_1151,GLD,182,2027-02-19,171,400.88,23.36,1.51,1189,788,12255,3745
2026-09-01_1151,GOOGL,30,2026-09-18,17,336.14,26.18,0.15,10858,4815,244535,174585
2026-09-01_1151,GOOGL,60,2026-10-16,45,336.14,28.23,-0.17,12121,3430,236509,94296
2026-09-01_1151,GOOGL,91,2026-11-20,80,336.14,32.62,-0.18,3283,1580,92846,65903
2026-09-01_1151,GOOGL,182,2027-02-19,171,336.14,33.21,-0.09,638,812,12946,22216
2026-09-01_1151,IBIT,30,2026-09-18,17,44.16,36.2,0.34,16164,21924,636313,468750
2026-09-01_1151,IBIT,60,2026-10-16,45,44.16,37.49,-0.03,27719,6905,394259,249140
2026-09-01_1151,IBIT,91,2026-11-20,80,44.16,39.48,-0.63,5844,9615,206849,224342
2026-09-01_1151,IBIT,182,2027-02-19,171,44.16,41.43,0.25,202,1018,16648,8131
2026-09-01_1151,IGV,30,2026-09-18,17,106.93,31.61,-2.77,4238,3803,95798,93229
2026-09-01_1151,IGV,60,2026-10-16,45,106.93,31.45,2.42,1117,1866,21323,33952
2026-09-01_1151,IGV,91,2026-11-20,80,106.93,31.31,-2.39,648,863,45049,103745
2026-09-01_1151,IGV,182,2027-02-19,171,106.93,30.77,-1.21,161,371,4505,2864
2026-09-01_1151,IONQ,30,2026-09-18,17,38.01,72.52,3.6,1992,585,74237,65443
2026-09-01_1151,IONQ,60,2026-10-16,45,38.01,72.95,,434,311,26524,36730
2026-09-01_1151,IONQ,91,2026-11-20,80,38.01,78.87,7.33,2356,315,35589,14279
2026-09-01_1151,IONQ,182,2027-03-19,199,38.01,80.98,10.72,841,406,15221,6222
2026-09-01_1151,IWM,30,2026-09-18,17,292.16,17.3,-4.54,20243,142907,649297,1603624
2026-09-01_1151,IWM,60,2026-10-16,45,292.16,17.27,-4.22,4986,86542,153495,399871
2026-09-01_1151,IWM,91,2026-11-20,80,292.16,18.22,-4.36,2309,10018,135069,222992
2026-09-01_1151,IWM,182,2027-02-19,171,292.16,18.85,-4.34,165,458,5001,24575
2026-09-01_1151,KRE,30,2026-09-18,17,73.14,21.42,-2.33,898,1206,168069,254936
2026-09-01_1151,KRE,60,2026-10-16,45,73.14,21.91,-1.88,17953,2233,189647,140885
2026-09-01_1151,KRE,91,2026-11-20,80,73.14,22.41,-2.35,463,6424,83086,59586
2026-09-01_1151,KRE,182,2027-03-19,199,73.14,23.7,-2.13,280,163,15892,22468
2026-09-01_1151,KWEB,30,2026-09-18,17,25.82,26.31,-0.85,1043,6580,596321,219593
2026-09-01_1151,KWEB,60,2026-10-16,45,25.82,27.64,-0.74,2594,121,76707,9657
2026-09-01_1151,KWEB,91,2026-11-20,80,25.82,29.94,-0.32,1110,166,150425,52544
2026-09-01_1151,KWEB,182,2027-02-19,171,25.82,30.8,0.08,1208,69,3182,6505
2026-09-01_1151,META,30,2026-09-18,17,582.56,33.78,0.96,15721,6643,209095,208675
2026-09-01_1151,META,60,2026-10-16,45,582.56,35.39,0.32,5679,3612,155789,69075
2026-09-01_1151,META,91,2026-11-20,80,582.56,41.23,0.85,4622,1947,163127,66052
2026-09-01_1151,META,182,2027-02-19,171,582.56,40.71,0.47,3584,526,11045,13447
2026-09-01_1151,MSFT,30,2026-09-18,17,500.67,23.46,-1.2,15223,4794,351444,204800
2026-09-01_1151,MSFT,60,2026-10-16,45,500.67,24.86,-1.47,3828,7849,285595,116222
2026-09-01_1151,MSFT,91,2026-11-20,80,500.67,29.87,-2.12,3541,928,174537,78722
2026-09-01_1151,MSFT,182,2027-03-19,199,500.67,30.19,-1.31,947,828,78942,87287
2026-09-01_1151,MU,30,2026-09-18,17,966.0,52.58,0.67,6870,5144,124029,167148
2026-09-01_1151,MU,60,2026-10-16,45,966.0,60.0,1.55,2900,2913,79796,116431
2026-09-01_1151,MU,91,2026-11-20,80,966.0,60.24,1.74,1175,2200,46758,73264
2026-09-01_1151,MU,182,2027-02-19,171,966.0,60.94,2.14,288,897,15398,25192
2026-09-01_1151,NBIS,30,2026-09-18,17,202.54,75.58,1.71,8507,3255,79163,119394
2026-09-01_1151,NBIS,60,2026-10-16,45,202.54,78.84,2.88,1142,11988,24971,30289
2026-09-01_1151,NBIS,91,2026-11-20,80,202.54,88.04,2.55,610,670,21116,28154
2026-09-01_1151,NBIS,182,2027-02-19,171,202.54,87.37,2.25,410,416,6475,4954
2026-09-01_1151,NVDA,30,2026-09-18,17,220.12,31.0,-2.2,43113,24699,1000647,833881
2026-09-01_1151,NVDA,60,2026-10-16,45,220.12,32.45,-2.21,34675,10567,657278,461198
2026-09-01_1151,NVDA,91,2026-11-20,80,220.12,36.14,-2.27,6858,5606,272715,301869
2026-09-01_1151,NVDA,182,2027-02-19,171,220.12,36.25,-1.91,1472,1912,50443,65061
2026-09-01_1151,ONDS,30,2026-09-18,17,7.12,65.85,10.33,5994,3547,290114,111384
2026-09-01_1151,ONDS,60,2026-10-16,45,7.12,69.96,7.25,1614,1243,31140,27187
2026-09-01_1151,ONDS,91,2026-11-20,80,7.12,79.62,9.3,2479,1487,15148,10808
2026-09-01_1151,ONDS,182,2027-03-19,199,7.12,81.91,12.5,1301,241,44999,8141
2026-09-01_1151,OWL,30,2026-09-18,17,11.88,44.28,-3.37,1162,286,28758,105111
