stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-25_1451,AAOI,30,2026-10-16,21,102.4,85.07,5.77,4120,934,18048,12115
2026-09-25_1451,AAOI,60,2026-11-20,56,102.4,97.4,,319,473,4889,4296
2026-09-25_1451,AAOI,91,2026-12-18,84,102.4,91.18,6.07,250,158,20452,13452
2026-09-25_1451,AAOI,182,2027-03-19,175,102.4,92.28,4.97,212,295,4150,4155
2026-09-25_1451,AAPL,30,2026-10-16,21,340.32,21.43,-1.29,24068,30900,394003,206442
2026-09-25_1451,AAPL,60,2026-11-20,56,340.32,25.1,-2.25,9831,3864,218064,150386
2026-09-25_1451,AAPL,91,2026-12-18,84,340.32,24.73,-2.57,4237,3422,297883,222574
2026-09-25_1451,AAPL,182,2027-03-19,175,340.32,25.65,-2.56,2775,2705,87283,104671
2026-09-25_1451,AMD,30,2026-10-16,21,629.7,50.48,1.22,11544,12853,108697,103207
2026-09-25_1451,AMD,60,2026-11-20,56,629.7,58.18,1.56,4000,4130,88389,84350
2026-09-25_1451,AMD,91,2026-12-18,84,629.7,56.62,1.65,4033,7135,91441,103570
2026-09-25_1451,AMD,182,2027-03-19,175,629.7,56.83,1.86,2384,1570,52613,78868
2026-09-25_1451,AMZN,30,2026-10-16,21,249.63,28.57,-0.56,31805,12010,344809,209247
2026-09-25_1451,AMZN,60,2026-11-20,56,249.63,37.17,-0.62,12852,4414,340341,158091
2026-09-25_1451,AMZN,91,2026-12-18,84,249.63,35.15,-0.75,5618,10403,253718,196786
2026-09-25_1451,AMZN,182,2027-03-19,175,249.63,35.0,-0.64,3316,2253,85313,125057
2026-09-25_1451,CRWV,30,2026-10-16,21,87.4,68.82,3.24,11339,5114,197723,160804
2026-09-25_1451,CRWV,60,2026-11-20,56,87.4,77.71,1.34,3606,2704,73857,80792
2026-09-25_1451,CRWV,91,2026-12-18,84,87.4,75.99,1.69,2814,990,76893,85031
2026-09-25_1451,CRWV,182,2027-03-19,175,87.4,76.73,0.82,808,823,55768,47532
2026-09-25_1451,DRAM,30,2026-10-16,21,61.94,55.5,0.14,13496,7472,256855,166065
2026-09-25_1451,DRAM,60,2026-11-20,56,61.94,59.03,1.4,1746,897,155772,75397
2026-09-25_1451,DRAM,91,2026-12-18,84,61.94,59.82,1.98,2379,609,211826,97903
2026-09-25_1451,DRAM,182,2027-03-19,175,61.94,62.23,4.92,1376,398,47986,60322
2026-09-25_1451,EEM,30,2026-10-16,21,67.92,21.86,-2.44,2444,41324,203493,388779
2026-09-25_1451,EEM,60,2026-11-20,56,67.92,23.95,-2.1,3573,4195,54119,215297
2026-09-25_1451,EEM,91,2026-12-18,84,67.92,25.72,-4.13,674,12241,606825,869584
2026-09-25_1451,EEM,182,2027-03-19,175,67.92,25.73,1.82,679,13211,65456,272726
2026-09-25_1451,EWY,30,2026-10-16,21,187.39,44.26,-0.69,1474,10723,92791,123451
2026-09-25_1451,EWY,60,2026-11-20,56,187.39,46.17,-0.77,1525,4211,30852,63464
2026-09-25_1451,EWY,91,2026-12-18,84,187.39,46.74,-2.36,227,1046,99694,52179
2026-09-25_1451,EWY,182,2027-03-19,175,187.39,43.93,-2.53,1142,230,45854,34107
2026-09-25_1451,FXI,30,2026-10-16,21,33.96,19.55,0.01,1876,2316,218681,134354
2026-09-25_1451,FXI,60,2026-11-20,56,33.96,20.39,-1.64,1417,594,122914,206513
2026-09-25_1451,FXI,91,2026-12-18,84,33.96,23.06,-1.48,1631,22125,412484,453154
2026-09-25_1451,FXI,182,2027-03-19,175,33.96,21.08,1.08,208,7935,156715,150542
2026-09-25_1451,GDX,30,2026-10-16,21,92.82,40.23,0.99,4696,4375,89852,98039
2026-09-25_1451,GDX,60,2026-11-20,56,92.82,41.83,1.86,2276,2759,38629,186480
2026-09-25_1451,GDX,91,2026-12-18,84,92.82,41.61,1.65,11729,672,211073,247478
2026-09-25_1451,GDX,182,2027-03-19,175,92.82,41.59,2.19,2454,2709,45455,63583
2026-09-25_1451,GLD,30,2026-10-16,21,393.85,19.04,0.26,14143,14288,263083,196288
2026-09-25_1451,GLD,60,2026-11-20,56,393.85,20.88,0.74,12694,4926,393732,370282
2026-09-25_1451,GLD,91,2026-12-18,84,393.85,21.33,1.24,51741,4925,507423,85113
2026-09-25_1451,GLD,182,2027-03-19,175,393.85,21.67,1.19,5029,3049,150957,88909
2026-09-25_1451,GOOGL,30,2026-10-16,21,344.06,29.38,1.15,15870,8391,311554,143616
2026-09-25_1451,GOOGL,60,2026-11-20,56,344.06,34.96,0.48,9529,2636,167229,93884
2026-09-25_1451,GOOGL,91,2026-12-18,84,344.06,33.33,0.35,4082,1544,193503,127225
2026-09-25_1451,GOOGL,182,2027-03-19,175,344.06,33.41,-0.1,1248,1789,56573,93147
2026-09-25_1451,IBIT,30,2026-10-16,21,47.53,35.28,0.09,34507,17436,489760,329526
2026-09-25_1451,IBIT,60,2026-11-20,56,47.53,38.5,0.05,19949,20156,292478,291007
2026-09-25_1451,IBIT,91,2026-12-18,84,47.53,39.29,-0.01,7906,11831,359370,191783
2026-09-25_1451,IBIT,182,2027-03-19,175,47.53,40.18,0.3,4379,3881,285812,193061
2026-09-25_1451,IGV,30,2026-10-16,21,106.52,31.49,-1.66,1262,1393,62135,73458
2026-09-25_1451,IGV,60,2026-11-20,56,106.52,31.87,-2.72,766,729,63726,106991
2026-09-25_1451,IGV,91,2026-12-18,84,106.52,31.41,-1.95,12214,11327,115882,252121
2026-09-25_1451,IGV,182,2027-03-19,175,106.52,31.42,-1.18,857,1126,14028,38813
2026-09-25_1451,IONQ,30,2026-10-16,21,45.57,71.27,3.02,3674,3057,42421,65398
2026-09-25_1451,IONQ,60,2026-11-20,56,45.57,77.95,5.66,2841,840,48114,23312
2026-09-25_1451,IONQ,91,2026-12-18,84,45.57,75.66,6.9,2331,739,39309,35962
2026-09-25_1451,IONQ,182,2027-03-19,175,45.57,73.6,10.04,244,474,20061,7086
2026-09-25_1451,IWM,30,2026-10-16,21,282.17,17.78,-3.05,26524,118682,353493,1233239
2026-09-25_1451,IWM,60,2026-11-20,56,282.17,18.87,-3.6,6073,13483,205662,399397
2026-09-25_1451,IWM,91,2026-12-18,84,282.17,19.08,-3.94,4169,12009,630402,1266477
2026-09-25_1451,IWM,182,2027-03-19,175,282.17,19.1,-3.69,918,12526,203935,442351
2026-09-25_1451,KRE,30,2026-10-16,21,71.69,22.53,-1.25,480,381,205456,228515
2026-09-25_1451,KRE,60,2026-11-20,56,71.69,23.6,-2.3,5552,6899,107579,120862
2026-09-25_1451,KRE,91,2026-12-18,84,71.69,23.85,-0.12,683,19826,33110,159802
2026-09-25_1451,KRE,182,2027-03-19,175,71.69,23.11,-2.23,743,10685,61503,59473
2026-09-25_1451,KWEB,30,2026-10-16,21,24.59,25.44,-0.05,5435,1617,171346,45471
2026-09-25_1451,KWEB,60,2026-11-20,56,24.59,27.45,0.04,1336,4088,182518,52033
2026-09-25_1451,KWEB,91,2026-12-18,84,24.59,29.02,-1.23,494,3235,404091,77323
2026-09-25_1451,KWEB,182,2027-02-19,147,24.59,32.16,-0.16,1247,423,23947,15801
2026-09-25_1451,META,30,2026-10-16,21,752.61,38.72,1.1,50611,26744,306584,102321
2026-09-25_1451,META,60,2026-11-20,56,752.61,44.04,3.06,12938,11628,198340,73354
2026-09-25_1451,META,91,2026-12-18,84,752.61,41.86,1.05,3971,4242,144890,80606
2026-09-25_1451,META,182,2027-03-19,175,752.61,42.53,0.89,2843,2687,64159,54036
2026-09-25_1451,MSFT,30,2026-10-16,21,516.73,25.78,-0.36,57580,26113,331788,166896
2026-09-25_1451,MSFT,60,2026-11-20,56,516.73,32.16,-0.97,25262,10064,199460,92508
2026-09-25_1451,MSFT,91,2026-12-18,84,516.73,30.14,-1.02,8987,7890,524099,141537
2026-09-25_1451,MSFT,182,2027-03-19,175,516.73,30.57,-0.89,4069,4277,86262,96688
2026-09-25_1451,MU,30,2026-10-16,21,1082.74,61.99,2.42,12468,6827,114799,132890
2026-09-25_1451,MU,60,2026-11-20,56,1082.74,60.21,2.69,2784,4783,76798,80130
2026-09-25_1451,MU,91,2026-12-18,84,1082.74,59.14,3.21,2971,2033,76143,122028
2026-09-25_1451,MU,182,2027-03-19,175,1082.74,59.77,3.36,905,1059,49589,52141
2026-09-25_1451,NBIS,30,2026-10-16,21,237.71,74.49,3.64,10405,10333,58797,72385
2026-09-25_1451,NBIS,60,2026-11-20,56,237.71,84.39,4.63,2239,1672,36258,36359
2026-09-25_1451,NBIS,91,2026-12-18,84,237.71,83.33,4.67,621,761,37689,39983
2026-09-25_1451,NBIS,182,2027-03-19,175,237.71,86.45,,748,817,23980,29567
2026-09-25_1451,NVDA,30,2026-10-16,21,224.1,30.57,-2.07,44759,29133,835840,516643
2026-09-25_1451,NVDA,60,2026-11-20,56,224.1,36.48,-2.57,20706,10937,577772,380790
2026-09-25_1451,NVDA,91,2026-12-18,84,224.1,35.97,-2.75,13111,9332,763137,698499
2026-09-25_1451,NVDA,182,2027-03-19,175,224.1,37.29,-2.61,5757,3379,339413,336257
2026-09-25_1451,ONDS,30,2026-10-16,21,7.71,69.6,4.78,3486,3381,60150,48899
2026-09-25_1451,ONDS,60,2026-11-20,56,7.71,80.01,7.08,2377,585,53127,24439
2026-09-25_1451,ONDS,91,2026-12-18,84,7.71,80.09,6.94,1144,999,118351,76437
