stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-09_1251,AAOI,30,2026-10-16,37,110.55,91.89,5.92,753,363,10704,7872
2026-09-09_1251,AAOI,60,2026-10-16,37,110.55,91.89,5.92,753,363,10704,7872
2026-09-09_1251,AAOI,91,2026-12-18,100,110.55,97.85,5.36,376,520,19112,11897
2026-09-09_1251,AAOI,182,2027-03-19,191,110.55,98.47,,153,72,3396,3779
2026-09-09_1251,AAPL,30,2026-10-16,37,313.95,26.74,-1.7,18280,17624,294627,166521
2026-09-09_1251,AAPL,60,2026-11-20,72,313.95,28.3,-2.49,7744,2737,184726,125464
2026-09-09_1251,AAPL,91,2026-12-18,100,313.95,27.4,-2.32,3876,2743,263130,206247
2026-09-09_1251,AAPL,182,2027-03-19,191,313.95,27.79,-2.33,1760,1192,76483,71345
2026-09-09_1251,AMD,30,2026-10-16,37,524.02,52.83,1.36,15258,6041,63253,78658
2026-09-09_1251,AMD,60,2026-11-20,72,524.02,57.38,2.66,4008,1587,78800,67808
2026-09-09_1251,AMD,91,2026-12-18,100,524.02,55.96,2.5,5308,2797,82876,102829
2026-09-09_1251,AMD,182,2027-03-19,191,524.02,57.06,3.02,3348,1827,45515,72422
2026-09-09_1251,AMZN,30,2026-10-16,37,252.03,31.6,-0.48,23834,5456,238325,166120
2026-09-09_1251,AMZN,60,2026-11-20,72,252.03,37.19,-0.39,6589,2320,282585,107155
2026-09-09_1251,AMZN,91,2026-12-18,100,252.03,35.64,-0.68,9887,2108,240307,187023
2026-09-09_1251,AMZN,182,2027-03-19,191,252.03,35.72,-0.71,1291,4632,68684,103451
2026-09-09_1251,CRWV,30,2026-10-16,37,96.09,78.91,3.26,8470,21901,142180,138776
2026-09-09_1251,CRWV,60,2026-11-20,72,96.09,85.68,2.75,1816,2428,58309,51828
2026-09-09_1251,CRWV,91,2026-12-18,100,96.09,83.89,3.01,1867,1878,70698,80813
2026-09-09_1251,CRWV,182,2027-03-19,191,96.09,82.59,3.06,889,917,33140,35293
2026-09-09_1251,DRAM,30,2026-10-16,37,61.59,66.89,0.77,30911,6430,220444,120675
2026-09-09_1251,DRAM,60,2026-11-20,72,61.59,67.67,1.37,2046,455,133564,52021
2026-09-09_1251,DRAM,91,2026-12-18,100,61.59,66.81,0.83,6178,2515,207567,87874
2026-09-09_1251,DRAM,182,2027-03-19,191,61.59,66.72,6.1,511,492,43484,27431
2026-09-09_1251,EEM,30,2026-10-16,37,68.62,23.1,-2.46,1178,1173,159303,313242
2026-09-09_1251,EEM,60,2026-11-20,72,68.62,23.88,-3.01,1358,9662,41799,209369
2026-09-09_1251,EEM,91,2026-12-18,100,68.62,24.28,-4.46,15392,8739,608265,815264
2026-09-09_1251,EEM,182,2027-03-19,191,68.62,24.23,-1.2,221,13180,59655,242842
2026-09-09_1251,EWY,30,2026-10-16,37,190.89,49.77,-0.31,2289,1734,86555,100493
2026-09-09_1251,EWY,60,2026-11-20,72,190.89,49.17,-1.13,3157,2827,23328,39562
2026-09-09_1251,EWY,91,2026-12-18,100,190.89,50.93,-1.73,1764,408,94303,48143
2026-09-09_1251,EWY,182,2027-03-19,191,190.89,47.97,-1.46,1350,1434,40826,33021
2026-09-09_1251,FXI,30,2026-10-16,37,34.67,20.7,-0.91,3097,7997,193917,105553
