stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-08_0950,AAOI,30,2026-10-16,38,112.09,99.16,-1.76,800,362,9869,7887
2026-09-08_0950,AAOI,60,2026-10-16,38,112.09,99.16,-1.76,800,362,9869,7887
2026-09-08_0950,AAOI,91,2026-12-18,101,112.09,95.95,3.85,745,465,18510,12035
2026-09-08_0950,AAOI,182,2027-03-19,192,112.09,95.87,,229,529,3346,3823
2026-09-08_0950,AAPL,30,2026-10-16,38,316.11,25.6,-2.0,3074,1645,297951,165816
2026-09-08_0950,AAPL,60,2026-11-20,73,316.11,27.26,-2.39,2952,1200,185643,124265
2026-09-08_0950,AAPL,91,2026-12-18,101,316.11,27.23,-2.59,851,3733,261439,205831
2026-09-08_0950,AAPL,182,2027-03-19,192,316.11,26.9,-2.44,2542,1574,75583,69236
2026-09-08_0950,AMD,30,2026-10-16,38,492.32,52.38,0.17,1019,1289,60443,80535
2026-09-08_0950,AMD,60,2026-11-20,73,492.32,57.38,0.13,465,1777,81366,68405
2026-09-08_0950,AMD,91,2026-12-18,101,492.32,54.95,0.58,673,838,81947,105477
2026-09-08_0950,AMD,182,2027-03-19,192,492.32,55.68,1.39,1428,1282,43510,73868
2026-09-08_0950,AMZN,30,2026-10-16,38,256.81,30.96,0.16,4827,1011,230536,162471
2026-09-08_0950,AMZN,60,2026-11-20,73,256.81,37.15,-0.18,1787,512,271928,103572
2026-09-08_0950,AMZN,91,2026-12-18,101,256.81,35.32,-0.9,1909,2037,242559,186845
2026-09-08_0950,AMZN,182,2027-03-19,192,256.81,36.07,-1.09,850,1904,68401,103262
2026-09-08_0950,CRWV,30,2026-10-16,38,96.23,81.13,4.9,2274,903,140362,135382
2026-09-08_0950,CRWV,60,2026-11-20,73,96.23,86.31,3.36,499,634,57310,50852
2026-09-08_0950,CRWV,91,2026-12-18,101,96.23,83.29,3.95,520,923,70369,79110
2026-09-08_0950,CRWV,182,2027-03-19,192,96.23,82.5,2.99,1825,330,31517,35330
2026-09-08_0950,DRAM,30,2026-10-16,38,61.25,67.29,0.89,2583,543,206137,117570
2026-09-08_0950,DRAM,60,2026-11-20,73,61.25,64.33,5.32,4897,1166,125241,50741
