stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-12_1251,AAPL,30,2026-09-18,37,301.95,23.28,-0.95,25423,5478,330985,235784
2026-08-12_1251,AAPL,60,2026-10-16,65,301.95,23.66,-1.28,12053,2596,249376,127626
2026-08-12_1251,AAPL,91,2026-11-20,100,301.95,25.65,-1.93,5780,2120,149688,93123
2026-08-12_1251,AAPL,182,2027-02-19,191,301.95,26.09,-1.87,2126,625,32823,24098
2026-08-12_1251,AMD,30,2026-09-18,37,487.66,56.2,1.28,6522,4513,118047,186403
2026-08-12_1251,AMD,60,2026-10-16,65,487.66,57.47,1.5,2249,1940,50548,57305
2026-08-12_1251,AMD,91,2026-11-20,100,487.66,60.55,1.32,1664,906,62950,64711
2026-08-12_1251,AMD,182,2027-02-19,191,487.66,60.59,1.86,846,692,5303,11119
2026-08-12_1251,AMZN,30,2026-09-18,37,269.38,29.08,-0.65,16061,5435,323166,223913
2026-08-12_1251,AMZN,60,2026-10-16,65,269.38,30.11,-0.82,7463,1957,149518,125916
2026-08-12_1251,AMZN,91,2026-11-20,100,269.38,34.63,-1.36,2764,1973,185440,80067
2026-08-12_1251,AMZN,182,2027-02-19,191,269.38,35.36,-0.97,584,1630,14807,12645
2026-08-12_1251,CRWV,30,2026-09-18,37,107.52,79.44,-0.57,33722,27719,252948,113390
2026-08-12_1251,CRWV,60,2026-10-16,65,107.52,79.6,0.42,14069,13562,97984,61480
2026-08-12_1251,CRWV,91,2026-11-20,100,107.52,81.57,-0.51,3257,3231,43772,40311
2026-08-12_1251,CRWV,182,2027-02-19,191,107.52,80.46,,651,581,2168,2466
2026-08-12_1251,DRAM,30,2026-09-18,37,54.73,70.54,-2.74,32184,14523,272203,158197
2026-08-12_1251,DRAM,60,2026-10-16,65,54.73,73.09,-1.29,9611,1238,96403,84682
2026-08-12_1251,DRAM,91,2026-11-20,100,54.73,70.74,-0.36,8266,2206,65010,33921
2026-08-12_1251,DRAM,182,2027-02-19,191,54.73,70.35,,1316,1293,3483,7682
2026-08-12_1251,EEM,30,2026-09-18,37,66.28,27.21,1.71,4404,7747,515513,911568
2026-08-12_1251,EEM,60,2026-10-16,65,66.28,27.1,0.31,3553,11946,106324,172868
2026-08-12_1251,EEM,91,2026-11-20,100,66.28,27.06,-3.75,486,5164,12169,44905
2026-08-12_1251,EEM,182,2027-01-15,156,66.28,26.47,-2.73,19469,1162,175362,252498
2026-08-12_1251,FXI,30,2026-09-18,37,35.2,20.09,-1.06,1806,2815,470025,412610
2026-08-12_1251,FXI,60,2026-10-16,65,35.2,20.93,2.14,4551,1998,87933,70408
2026-08-12_1251,FXI,91,2026-11-20,100,35.2,21.6,2.22,193,2261,92422,105626
2026-08-12_1251,FXI,182,2027-02-19,191,35.2,24.17,2.33,118,298,33900,16504
2026-08-12_1251,GDX,30,2026-09-18,37,90.6,43.79,2.73,11380,3637,209353,316243
2026-08-12_1251,GDX,60,2026-10-16,65,90.6,44.8,8.05,2570,3026,32665,36047
2026-08-12_1251,GDX,91,2026-11-20,100,90.6,43.94,2.12,893,353,14504,119906
2026-08-12_1251,GDX,182,2027-01-15,156,90.6,43.55,1.95,3487,2885,120929,176907
2026-08-12_1251,GLD,30,2026-09-18,37,403.86,24.39,1.44,196802,8929,1247302,199381
2026-08-12_1251,GLD,60,2026-10-16,65,403.86,24.15,1.56,8628,6587,119089,90679
2026-08-12_1251,GLD,91,2026-11-20,100,403.86,24.32,1.48,2888,3919,301905,329165
2026-08-12_1251,GLD,182,2027-01-15,156,403.86,23.79,1.58,28011,7629,416784,368344
2026-08-12_1251,GOOGL,30,2026-09-18,37,343.05,29.11,-0.41,16025,5807,207173,166106
2026-08-12_1251,GOOGL,60,2026-10-16,65,343.05,30.48,-0.2,7587,2802,182345,74138
2026-08-12_1251,GOOGL,91,2026-11-20,100,343.05,33.52,-0.11,2484,2846,74989,52344
2026-08-12_1251,GOOGL,182,2027-02-19,191,343.05,34.11,-0.21,1674,1746,8358,14144
2026-08-12_1251,IBIT,30,2026-09-18,37,35.91,34.66,-2.62,8665,10991,557800,366563
2026-08-12_1251,IBIT,60,2026-10-16,65,35.91,36.61,-3.29,7790,9177,208476,175707
2026-08-12_1251,IBIT,91,2026-11-20,100,35.91,38.7,-4.02,3217,6808,161913,54904
2026-08-12_1251,IBIT,182,2027-02-19,191,35.91,41.48,-4.13,356,1122,8191,5842
