stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-02_1051,AAOI,30,2026-09-18,16,102.2,86.31,3.21,366,301,31027,26579
2026-09-02_1051,AAOI,60,2026-10-16,44,102.2,84.8,3.11,525,146,7333,6079
2026-09-02_1051,AAOI,91,2026-12-18,107,102.2,92.87,3.5,356,174,17403,11041
2026-09-02_1051,AAOI,182,2027-03-19,198,102.2,94.0,,168,183,3117,3235
2026-09-02_1051,AAPL,30,2026-09-18,16,324.57,25.51,-1.5,10298,3750,385015,262403
2026-09-02_1051,AAPL,60,2026-10-16,44,324.57,24.21,-1.72,4723,2859,290562,160630
2026-09-02_1051,AAPL,91,2026-11-20,79,324.57,26.34,-2.53,7626,1048,177451,117846
2026-09-02_1051,AAPL,182,2027-02-19,170,324.57,26.23,-2.35,979,962,43172,41616
2026-09-02_1051,AMD,30,2026-09-18,16,456.73,46.21,-0.12,3214,2893,144369,211541
2026-09-02_1051,AMD,60,2026-10-16,44,456.73,47.48,0.16,1275,762,59333,73586
2026-09-02_1051,AMD,91,2026-11-20,79,456.73,53.56,-0.0,446,548,81088,66323
2026-09-02_1051,AMD,182,2027-02-19,170,456.73,54.01,0.95,943,1434,9185,15228
2026-09-02_1051,AMZN,30,2026-09-18,16,255.3,27.67,-1.24,10188,4235,390364,255062
2026-09-02_1051,AMZN,60,2026-10-16,44,255.3,29.01,-0.78,6251,1766,216173,157699
2026-09-02_1051,AMZN,91,2026-11-20,79,255.3,34.88,-1.2,1297,1208,268621,98822
2026-09-02_1051,AMZN,182,2027-02-19,170,255.3,34.68,-1.03,1463,896,23291,28314
2026-09-02_1051,CRWV,30,2026-09-18,16,80.5,66.67,-0.06,2979,1043,262904,147868
2026-09-02_1051,CRWV,60,2026-10-16,44,80.5,69.3,0.89,2007,2143,124707,128734
2026-09-02_1051,CRWV,91,2026-11-20,79,80.5,76.91,2.46,1111,578,56611,46448
2026-09-02_1051,CRWV,182,2027-02-19,170,80.5,73.85,1.68,618,612,8867,10288
2026-09-02_1051,DRAM,30,2026-09-18,16,55.4,53.12,-2.92,16497,2707,331239,217510
2026-09-02_1051,DRAM,60,2026-10-16,44,55.4,58.07,-0.95,1227,1387,198321,104580
2026-09-02_1051,DRAM,91,2026-11-20,79,55.4,58.15,-1.63,585,438,118976,48641
2026-09-02_1051,DRAM,182,2027-02-19,170,55.4,58.52,0.29,324,805,9858,12449
2026-09-02_1051,EEM,30,2026-09-18,16,66.97,22.72,-3.31,3876,17863,572098,997798
2026-09-02_1051,EEM,60,2026-10-16,44,66.97,21.17,-4.39,15314,3293,145530,310693
2026-09-02_1051,EEM,91,2026-11-20,79,66.97,24.17,-2.78,2751,42984,40507,204640
2026-09-02_1051,EEM,182,2027-03-19,198,66.97,24.28,-1.57,279,13399,59639,239346
