stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-01_1351,AAOI,30,2026-09-18,17,103.02,84.05,2.35,1056,537,31014,26697
2026-09-01_1351,AAOI,60,2026-10-16,45,103.02,84.43,3.16,603,421,7073,5850
2026-09-01_1351,AAOI,91,2026-12-18,108,103.02,94.43,3.89,545,347,17244,10916
2026-09-01_1351,AAOI,182,2027-03-19,199,103.02,97.67,,133,163,3049,3124
2026-09-01_1351,AAPL,30,2026-09-18,17,324.92,25.58,-1.37,71820,32628,395524,252284
2026-09-01_1351,AAPL,60,2026-10-16,45,324.92,24.54,-1.54,27181,35317,286898,157298
2026-09-01_1351,AAPL,91,2026-11-20,80,324.92,26.43,-2.12,10579,7946,175273,112172
2026-09-01_1351,AAPL,182,2027-02-19,171,324.92,26.33,-2.13,5028,1474,40385,40512
2026-09-01_1351,AMD,30,2026-09-18,17,455.68,46.49,0.12,11346,8688,140573,209049
2026-09-01_1351,AMD,60,2026-10-16,45,455.68,47.54,0.22,4757,7143,56373,68968
2026-09-01_1351,AMD,91,2026-11-20,80,455.68,52.89,0.56,3765,1973,78322,65717
2026-09-01_1351,AMD,182,2027-02-19,171,455.68,53.18,1.13,1303,1020,8833,14741
2026-09-01_1351,AMZN,30,2026-09-18,17,254.57,28.17,-1.04,25781,12338,389952,253777
2026-09-01_1351,AMZN,60,2026-10-16,45,254.57,29.28,-0.92,21184,7163,216458,155629
2026-09-01_1351,AMZN,91,2026-11-20,80,254.57,35.25,-1.14,15183,3891,274009,97364
2026-09-01_1351,AMZN,182,2027-02-19,171,254.57,34.87,-0.9,2126,923,21720,27270
2026-09-01_1351,CRWV,30,2026-09-18,17,81.53,66.62,-0.17,8544,6595,259673,149313
2026-09-01_1351,CRWV,60,2026-10-16,45,81.53,69.73,1.2,5426,3950,123302,127472
2026-09-01_1351,CRWV,91,2026-11-20,80,81.53,75.87,1.67,1543,1601,56086,43983
2026-09-01_1351,CRWV,182,2027-02-19,171,81.53,74.07,1.6,507,1091,8632,9539
2026-09-01_1351,DRAM,30,2026-09-18,17,55.26,54.19,-2.96,13106,5416,336780,212096
2026-09-01_1351,DRAM,60,2026-10-16,45,55.26,56.52,-1.79,10487,8031,194738,101089
2026-09-01_1351,DRAM,91,2026-11-20,80,55.26,58.99,-1.51,6281,3149,113928,44667
2026-09-01_1351,DRAM,182,2027-02-19,171,55.26,57.57,0.14,327,787,9840,12398
2026-09-01_1351,EEM,30,2026-09-18,17,66.9,20.85,-2.84,17370,25544,576376,995986
2026-09-01_1351,EEM,60,2026-10-16,45,66.9,21.0,-3.13,15308,38716,132827,275611
2026-09-01_1351,EEM,91,2026-11-20,80,66.9,22.38,-2.61,2769,44680,40057,173198
2026-09-01_1351,EEM,182,2027-03-19,199,66.9,22.55,-3.29,279,10394,59573,226302
2026-09-01_1351,EWY,30,2026-09-18,17,176.25,42.12,-1.29,3533,1881,167035,66013
2026-09-01_1351,EWY,60,2026-10-16,45,176.25,43.42,-1.6,1193,508,86054,102670
2026-09-01_1351,EWY,91,2026-11-20,80,176.25,44.61,-0.79,778,22717,15834,36051
2026-09-01_1351,EWY,182,2027-03-19,199,176.25,42.68,-0.84,722,504,36929,28262
2026-09-01_1351,FXI,30,2026-09-18,17,35.38,16.96,-0.83,5542,25173,511481,413428
2026-09-01_1351,FXI,60,2026-10-16,45,35.38,19.63,-0.72,13923,4030,128044,94553
2026-09-01_1351,FXI,91,2026-11-20,80,35.38,20.35,0.97,1491,14698,96135,183837
2026-09-01_1351,FXI,182,2027-02-19,171,35.38,21.58,0.06,72,292,33741,16790
2026-09-01_1351,GDX,30,2026-09-18,17,96.17,42.97,0.58,13116,12149,233454,388439
2026-09-01_1351,GDX,60,2026-10-16,45,96.17,43.36,1.3,8732,5402,55714,73210
2026-09-01_1351,GDX,91,2026-11-20,80,96.17,44.41,1.47,904,896,24765,168180
2026-09-01_1351,GDX,182,2027-03-19,199,96.17,44.77,2.53,1130,4484,35000,51411
2026-09-01_1351,GLD,30,2026-09-18,17,398.29,22.91,0.21,27304,16667,1285150,239668
2026-09-01_1351,GLD,60,2026-10-16,45,398.29,22.85,0.86,24986,9697,230447,140661
2026-09-01_1351,GLD,91,2026-11-20,80,398.29,23.38,1.02,40657,4331,365262,352281
