stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-28_1551,AAOI,30,2026-09-18,21,106.37,83.86,2.86,5106,1201,32345,24773
2026-08-28_1551,AAOI,60,2026-10-16,49,106.37,87.77,3.36,1210,790,6013,5031
2026-08-28_1551,AAOI,91,2026-12-18,112,106.37,95.45,5.04,595,543,16546,10481
2026-08-28_1551,AAOI,182,2027-03-19,203,106.37,97.37,,140,166,2497,2378
2026-08-28_1551,AAPL,30,2026-09-18,21,320.1,23.94,-1.04,61487,15544,390807,250032
2026-08-28_1551,AAPL,60,2026-10-16,49,320.1,23.86,-1.09,28768,13675,282819,153933
2026-08-28_1551,AAPL,91,2026-11-20,84,320.1,26.02,-2.22,8561,5667,171904,109417
2026-08-28_1551,AAPL,182,2027-02-19,175,320.1,26.4,-2.25,3422,2138,40497,37740
2026-08-28_1551,AMD,30,2026-09-18,21,468.8,46.67,0.94,11542,11561,135342,203293
2026-08-28_1551,AMD,60,2026-10-16,49,468.8,48.88,1.44,4727,5232,54636,66798
2026-08-28_1551,AMD,91,2026-11-20,84,468.8,54.94,1.25,1289,1286,78317,62737
2026-08-28_1551,AMD,182,2027-02-19,175,468.8,54.84,2.15,700,410,8524,14042
2026-08-28_1551,AMZN,30,2026-09-18,21,266.47,28.15,-0.64,71371,23264,395359,243866
2026-08-28_1551,AMZN,60,2026-10-16,49,266.47,29.89,-0.72,44646,11156,207448,148780
2026-08-28_1551,AMZN,91,2026-11-20,84,266.47,35.63,-1.16,99590,8891,216658,93786
2026-08-28_1551,AMZN,182,2027-02-19,175,266.47,35.53,-1.08,1467,2999,21127,25482
2026-08-28_1551,CRWV,30,2026-09-18,21,84.3,68.13,1.22,12985,7855,263239,141236
2026-08-28_1551,CRWV,60,2026-10-16,49,84.3,72.09,2.34,6011,4698,120032,126826
2026-08-28_1551,CRWV,91,2026-11-20,84,84.3,77.45,2.12,1985,1490,55230,43605
2026-08-28_1551,CRWV,182,2027-02-19,175,84.3,78.18,0.52,461,1804,6869,8032
