stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-15_1250,AAOI,30,2026-10-16,31,96.28,85.89,2.08,788,378,12143,9266
2026-09-15_1250,AAOI,60,2026-10-16,31,96.28,85.89,2.08,788,378,12143,9266
2026-09-15_1250,AAOI,91,2026-12-18,94,96.28,92.27,3.08,380,757,19136,12236
2026-09-15_1250,AAOI,182,2027-03-19,185,96.28,95.95,0.91,114,130,3600,3987
2026-09-15_1250,AAPL,30,2026-10-16,31,329.95,24.57,-2.05,15497,8905,364813,192633
2026-09-15_1250,AAPL,60,2026-11-20,66,329.95,27.27,-2.64,4413,2345,197703,139921
2026-09-15_1250,AAPL,91,2026-12-18,94,329.95,26.54,-2.77,5930,3038,270876,210790
2026-09-15_1250,AAPL,182,2027-03-19,185,329.95,27.49,-2.96,1224,2209,78809,80696
2026-09-15_1250,AMD,30,2026-10-16,31,503.23,50.88,-0.11,4812,3727,77012,83383
2026-09-15_1250,AMD,60,2026-11-20,66,503.23,56.16,0.48,1032,1409,84224,74029
2026-09-15_1250,AMD,91,2026-12-18,94,503.23,54.49,0.85,1697,1549,80831,108151
2026-09-15_1250,AMD,182,2027-03-19,185,503.23,54.93,1.52,441,1055,49414,74128
2026-09-15_1250,AMZN,30,2026-10-16,31,249.07,31.29,-0.97,26537,6891,262694,181307
2026-09-15_1250,AMZN,60,2026-11-20,66,249.07,37.78,-1.12,45745,9458,278312,115979
2026-09-15_1250,AMZN,91,2026-12-18,94,249.07,35.92,-1.42,4289,1294,239062,189916
2026-09-15_1250,AMZN,182,2027-03-19,185,249.07,35.95,-1.23,1920,1995,72685,115013
2026-09-15_1250,CRWV,30,2026-10-16,31,82.22,74.35,4.0,6850,3261,150558,139055
2026-09-15_1250,CRWV,60,2026-11-20,66,82.22,80.81,3.66,1348,704,59328,51132
2026-09-15_1250,CRWV,91,2026-12-18,94,82.22,79.96,2.37,800,1550,72962,82701
2026-09-15_1250,CRWV,182,2027-03-19,185,82.22,79.63,2.14,4200,350,38083,36592
2026-09-15_1250,DRAM,30,2026-10-16,31,54.85,59.47,-0.18,6142,6424,242066,139368
2026-09-15_1250,DRAM,60,2026-11-20,66,54.85,60.89,-0.2,1760,2953,138078,65421
2026-09-15_1250,DRAM,91,2026-12-18,94,54.85,60.19,0.43,2887,458,207822,93077
2026-09-15_1250,DRAM,182,2027-03-19,185,54.85,61.18,0.24,715,636,43939,59603
2026-09-15_1250,EEM,30,2026-10-16,31,65.78,23.36,-2.56,5232,2133,163115,327535
2026-09-15_1250,EEM,60,2026-11-20,66,65.78,24.28,-3.99,1446,11177,44105,218694
2026-09-15_1250,EEM,91,2026-12-18,94,65.78,26.08,-3.28,3159,9873,602235,835275
2026-09-15_1250,EEM,182,2027-03-19,185,65.78,24.3,-3.62,335,16182,59717,272754
2026-09-15_1250,EWY,30,2026-10-16,31,176.5,46.96,-3.57,3257,3301,83075,111482
2026-09-15_1250,EWY,60,2026-11-20,66,176.5,47.79,-1.35,1451,5961,23406,49890
2026-09-15_1250,EWY,91,2026-12-18,94,176.5,49.89,-2.98,7900,1811,96081,48143
2026-09-15_1250,EWY,182,2027-03-19,185,176.5,46.46,-2.17,1566,1102,42259,33736
2026-09-15_1250,FXI,30,2026-10-16,31,34.5,20.15,-1.73,4950,6260,196680,108399
2026-09-15_1250,FXI,60,2026-11-20,66,34.5,21.37,-1.22,20407,21853,108332,201238
2026-09-15_1250,FXI,91,2026-12-18,94,34.5,22.13,-0.09,87512,61783,376606,400911
2026-09-15_1250,FXI,182,2027-03-19,185,34.5,21.58,0.19,121,5471,151534,145969
2026-09-15_1250,GDX,30,2026-10-16,31,93.75,44.53,0.35,10057,4444,71166,75927
2026-09-15_1250,GDX,60,2026-11-20,66,93.75,44.75,1.33,1020,739,29604,176159
2026-09-15_1250,GDX,91,2026-12-18,94,93.75,44.76,1.38,3518,3434,194679,231321
2026-09-15_1250,GDX,182,2027-03-19,185,93.75,44.54,2.28,1490,1929,38748,58408
2026-09-15_1250,GLD,30,2026-10-16,31,394.04,24.66,1.1,15935,7670,249094,156437
2026-09-15_1250,GLD,60,2026-11-20,66,394.04,24.97,1.35,2969,1065,373212,359805
2026-09-15_1250,GLD,91,2026-12-18,94,394.04,24.69,1.73,43784,508,189473,75818
2026-09-15_1250,GLD,182,2027-03-19,185,394.04,24.27,1.65,792,1703,141308,86801
2026-09-15_1250,GOOGL,30,2026-10-16,31,343.73,29.59,-0.04,8115,6850,262099,110202
2026-09-15_1250,GOOGL,60,2026-11-20,66,343.73,34.8,-0.65,3736,1708,166907,73029
