stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-21_1351,AAOI,30,2026-10-16,25,107.36,87.8,4.64,2927,723,13929,11070
2026-09-21_1351,AAOI,60,2026-11-20,60,107.36,99.93,,3790,303,406,1646
2026-09-21_1351,AAOI,91,2026-12-18,88,107.36,94.35,6.27,814,286,19942,13361
2026-09-21_1351,AAOI,182,2027-03-19,179,107.36,94.31,,166,143,4026,4126
2026-09-21_1351,AAPL,30,2026-10-16,25,338.56,22.53,-2.1,29972,18878,381235,202259
2026-09-21_1351,AAPL,60,2026-11-20,60,338.56,25.5,-2.46,8557,8225,205648,143096
2026-09-21_1351,AAPL,91,2026-12-18,88,338.56,25.01,-2.54,10508,5826,290295,217157
2026-09-21_1351,AAPL,182,2027-03-19,179,338.56,25.75,-2.61,2040,12228,82378,89769
2026-09-21_1351,AMD,30,2026-10-16,25,607.61,53.95,0.96,35687,25438,95777,92391
2026-09-21_1351,AMD,60,2026-11-20,60,607.61,59.41,1.22,19313,11115,86754,73069
2026-09-21_1351,AMD,91,2026-12-18,88,607.61,57.76,1.31,10886,6477,90215,101606
2026-09-21_1351,AMD,182,2027-03-19,179,607.61,57.26,1.17,9200,10599,52647,73491
2026-09-21_1351,AMZN,30,2026-10-16,25,258.13,29.98,-0.59,42312,15286,296334,197088
2026-09-21_1351,AMZN,60,2026-11-20,60,258.13,37.27,-0.78,33339,5879,313753,138988
2026-09-21_1351,AMZN,91,2026-12-18,88,258.13,35.4,-1.13,11322,2866,253543,187532
2026-09-21_1351,AMZN,182,2027-03-19,179,258.13,35.45,-0.98,6384,1492,77246,122642
2026-09-21_1351,CRWV,30,2026-10-16,25,86.72,75.27,4.67,23128,6322,198219,149339
2026-09-21_1351,CRWV,60,2026-11-20,60,86.72,81.59,3.81,8683,3726,67507,72485
2026-09-21_1351,CRWV,91,2026-12-18,88,86.72,79.23,3.05,9056,5059,75044,87371
2026-09-21_1351,CRWV,182,2027-03-19,179,86.72,77.36,2.56,3165,1596,51343,45614
2026-09-21_1351,DRAM,30,2026-10-16,25,61.47,57.61,-0.84,31746,9120,258999,158765
2026-09-21_1351,DRAM,60,2026-11-20,60,61.47,60.07,-0.12,9457,1504,151436,69651
2026-09-21_1351,DRAM,91,2026-12-18,88,61.47,59.18,0.68,6957,1118,213350,94960
2026-09-21_1351,DRAM,182,2027-03-19,179,61.47,59.98,4.86,1959,748,46856,60171
2026-09-21_1351,EEM,30,2026-10-16,25,68.7,23.06,-2.12,26753,10883,191861,352237
2026-09-21_1351,EEM,60,2026-11-20,60,68.7,23.37,-3.07,5965,5946,45575,220110
2026-09-21_1351,EEM,91,2026-12-18,88,68.7,24.25,-4.45,10497,33491,601007,851144
2026-09-21_1351,EEM,182,2027-03-19,179,68.7,24.28,-1.64,1455,13231,65167,272609
2026-09-21_1351,EWY,30,2026-10-16,25,188.91,45.99,-1.9,7446,2605,84564,113220
2026-09-21_1351,EWY,60,2026-11-20,60,188.91,45.74,-0.63,6933,2994,29968,54635
2026-09-21_1351,EWY,91,2026-12-18,88,188.91,46.24,-2.66,500,1346,98642,51432
2026-09-21_1351,EWY,182,2027-03-19,179,188.91,45.56,-3.1,2730,1757,43947,33988
2026-09-21_1351,FXI,30,2026-10-16,25,34.84,21.07,-1.38,3900,2043,203533,121987
2026-09-21_1351,FXI,60,2026-11-20,60,34.84,21.69,-1.2,2491,2211,120150,203820
2026-09-21_1351,FXI,91,2026-12-18,88,34.84,22.39,-1.9,4103,19910,417877,444597
2026-09-21_1351,FXI,182,2027-03-19,179,34.84,22.24,-0.57,499,12290,151775,151518
2026-09-21_1351,GDX,30,2026-10-16,25,94.2,41.3,0.67,5736,4565,76098,86531
2026-09-21_1351,GDX,60,2026-11-20,60,94.2,42.06,1.59,2362,824,34357,183757
2026-09-21_1351,GDX,91,2026-12-18,88,94.2,42.36,1.84,1987,2167,207478,241022
2026-09-21_1351,GDX,182,2027-03-19,179,94.2,42.0,2.18,3144,4381,41156,59429
2026-09-21_1351,GLD,30,2026-10-16,25,398.35,20.58,0.7,18062,8355,258793,187381
2026-09-21_1351,GLD,60,2026-11-20,60,398.35,22.2,1.29,5464,6682,386044,362007
2026-09-21_1351,GLD,91,2026-12-18,88,398.35,22.49,1.45,112119,2329,381564,79593
2026-09-21_1351,GLD,182,2027-03-19,179,398.35,22.61,1.53,1530,2120,145982,87291
2026-09-21_1351,GOOGL,30,2026-10-16,25,356.26,30.34,-0.32,23997,8867,298993,115644
2026-09-21_1351,GOOGL,60,2026-11-20,60,356.26,35.11,-0.5,11453,2773,176648,75134
2026-09-21_1351,GOOGL,91,2026-12-18,88,356.26,33.72,-0.71,7771,3048,183667,121158
2026-09-21_1351,GOOGL,182,2027-03-19,179,356.26,34.26,-0.67,1841,1817,54662,91869
2026-09-21_1351,IBIT,30,2026-10-16,25,48.62,40.35,1.12,111572,46832,499859,313394
2026-09-21_1351,IBIT,60,2026-11-20,60,48.62,41.63,1.16,42510,41033,267823,286314
2026-09-21_1351,IBIT,91,2026-12-18,88,48.62,41.47,1.53,75502,21504,291662,182210
2026-09-21_1351,IBIT,182,2027-03-19,179,48.62,42.03,1.3,54779,9745,248965,188619
2026-09-21_1351,IGV,30,2026-10-16,25,106.64,29.99,1.19,2231,3554,59579,64041
2026-09-21_1351,IGV,60,2026-11-20,60,106.64,31.4,-1.75,743,25384,45293,108494
