stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-04_1553,AAOI,30,2026-10-16,42,105.52,87.61,2.84,2033,521,8688,7668
2026-09-04_1553,AAOI,60,2026-10-16,42,105.52,87.61,2.84,2033,521,8688,7668
2026-09-04_1553,AAOI,91,2026-12-18,105,105.52,95.69,4.03,1656,1252,17702,11753
2026-09-04_1553,AAOI,182,2027-03-19,196,105.52,96.22,,301,508,3145,3386
2026-09-04_1553,AAPL,30,2026-10-16,42,320.65,24.36,-1.64,29757,15396,293937,162227
2026-09-04_1553,AAPL,60,2026-11-20,77,320.65,26.53,-2.36,7926,3785,182811,122914
2026-09-04_1553,AAPL,91,2026-11-20,77,320.65,26.53,-2.36,7926,3785,182811,122914
2026-09-04_1553,AAPL,182,2027-02-19,168,320.65,26.62,-2.21,7353,2014,44300,45503
2026-09-04_1553,AMD,30,2026-10-16,42,476.39,48.95,1.15,8255,9071,59179,78159
2026-09-04_1553,AMD,60,2026-11-20,77,476.39,54.41,1.56,3269,2497,81916,67541
2026-09-04_1553,AMD,91,2026-11-20,77,476.39,54.41,1.56,3269,2497,81916,67541
2026-09-04_1553,AMD,182,2027-02-19,168,476.39,54.1,1.54,754,868,9837,17556
2026-09-04_1553,AMZN,30,2026-10-16,42,258.94,30.5,-0.24,26550,6413,218886,161211
2026-09-04_1553,AMZN,60,2026-11-20,77,258.94,35.94,-0.57,6316,4884,270298,102175
2026-09-04_1553,AMZN,91,2026-11-20,77,258.94,35.94,-0.57,6316,4884,270298,102175
2026-09-04_1553,AMZN,182,2027-02-19,168,258.94,35.59,-0.85,2170,803,24492,29985
2026-09-04_1553,CRWV,30,2026-10-16,42,89.16,74.13,3.97,15407,5388,137016,133426
2026-09-04_1553,CRWV,60,2026-11-20,77,89.16,80.93,5.08,3236,1514,57089,49266
2026-09-04_1553,CRWV,91,2026-11-20,77,89.16,80.93,5.08,3236,1514,57089,49266
2026-09-04_1553,CRWV,182,2027-02-19,168,89.16,78.42,3.28,379,311,9760,11341
2026-09-04_1553,DRAM,30,2026-10-16,42,59.47,62.51,-0.01,24825,13951,199978,109249
2026-09-04_1553,DRAM,60,2026-11-20,77,59.47,63.48,0.3,13893,2362,118989,50122
2026-09-04_1553,DRAM,91,2026-11-20,77,59.47,63.48,0.3,13893,2362,118989,50122
2026-09-04_1553,DRAM,182,2027-02-19,168,59.47,60.14,0.44,549,648,10147,12363
2026-09-04_1553,EEM,30,2026-10-16,42,68.58,20.7,-2.32,11558,1736,147179,313176
2026-09-04_1553,EEM,60,2026-11-20,77,68.58,23.02,-2.59,1172,10157,40399,206567
2026-09-04_1553,EEM,91,2026-11-20,77,68.58,23.02,-2.59,1172,10157,40399,206567
2026-09-04_1553,EEM,182,2027-03-19,196,68.58,23.31,-1.4,251,13346,60034,241405
2026-09-04_1553,EWY,30,2026-10-16,42,188.0,45.9,0.27,8424,3221,80210,99432
2026-09-04_1553,EWY,60,2026-11-20,77,188.0,47.21,-1.05,3439,1713,20725,36810
2026-09-04_1553,EWY,91,2026-11-20,77,188.0,47.21,-1.05,3439,1713,20725,36810
2026-09-04_1553,EWY,182,2027-03-19,196,188.0,46.35,-0.8,5234,6337,37664,31023
2026-09-04_1553,FXI,30,2026-10-16,42,35.88,20.22,-0.78,13943,3213,151469,102454
2026-09-04_1553,FXI,60,2026-11-20,77,35.88,19.58,-1.65,11092,5625,97259,188510
2026-09-04_1553,FXI,91,2026-11-20,77,35.88,19.58,-1.65,11092,5625,97259,188510
2026-09-04_1553,FXI,182,2027-02-19,168,35.88,21.09,-3.49,58,5967,33735,21945
2026-09-04_1553,GDX,30,2026-10-16,42,99.32,44.74,0.53,4643,5279,62903,75619
2026-09-04_1553,GDX,60,2026-11-20,77,99.32,45.0,1.74,2626,3383,27730,170456
2026-09-04_1553,GDX,91,2026-11-20,77,99.32,45.0,1.74,2626,3383,27730,170456
2026-09-04_1553,GDX,182,2027-03-19,196,99.32,44.49,2.36,788,2545,35853,56886
2026-09-04_1553,GLD,30,2026-10-16,42,406.87,24.13,1.92,17890,5546,241998,145020
2026-09-04_1553,GLD,60,2026-11-20,77,406.87,24.35,1.93,5872,1506,353199,356671
2026-09-04_1553,GLD,91,2026-11-20,77,406.87,24.35,1.93,5872,1506,353199,356671
2026-09-04_1553,GLD,182,2027-02-19,168,406.87,23.94,1.97,1149,327,13728,4225
2026-09-04_1553,GOOGL,30,2026-10-16,42,338.5,28.18,0.52,14482,3990,249089,100253
2026-09-04_1553,GOOGL,60,2026-11-20,77,338.5,33.27,0.21,5805,3874,96180,68047
2026-09-04_1553,GOOGL,91,2026-11-20,77,338.5,33.27,0.21,5805,3874,96180,68047
2026-09-04_1553,GOOGL,182,2027-02-19,168,338.5,33.43,0.09,1274,818,16351,22888
2026-09-04_1553,IBIT,30,2026-10-16,42,45.16,39.05,1.58,26106,18134,470448,273347
2026-09-04_1553,IBIT,60,2026-11-20,77,45.16,41.2,0.62,9786,4714,221979,236617
2026-09-04_1553,IBIT,91,2026-11-20,77,45.16,41.2,0.62,9786,4714,221979,236617
