stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-24_1351,AAOI,30,2026-09-18,25,110.16,100.62,4.61,4718,1641,29521,23569
2026-08-24_1351,AAOI,60,2026-10-16,53,110.16,101.59,4.69,723,733,378,354
2026-08-24_1351,AAOI,91,2026-12-18,116,110.16,106.84,3.64,2736,925,14872,9862
2026-08-24_1351,AAOI,182,2027-03-19,207,110.16,102.66,,336,785,2276,1757
2026-08-24_1351,AAPL,30,2026-09-18,25,312.06,24.45,-1.35,46439,7862,366025,251395
2026-08-24_1351,AAPL,60,2026-10-16,53,312.06,24.39,-1.42,7226,3289,273459,140145
2026-08-24_1351,AAPL,91,2026-11-20,88,312.06,26.42,-2.14,5614,3947,161016,103703
2026-08-24_1351,AAPL,182,2027-02-19,179,312.06,26.86,-2.31,3393,1292,37177,33254
2026-08-24_1351,AMD,30,2026-09-18,25,456.99,52.71,0.38,6776,6293,134417,200071
2026-08-24_1351,AMD,60,2026-10-16,53,456.99,53.65,0.46,3298,3856,49570,64272
2026-08-24_1351,AMD,91,2026-11-20,88,456.99,58.07,0.95,1450,1165,77654,61927
2026-08-24_1351,AMD,182,2027-02-19,179,456.99,57.36,2.05,309,270,7967,13913
2026-08-24_1351,AMZN,30,2026-09-18,25,262.15,29.26,-1.66,30356,6734,376776,231767
2026-08-24_1351,AMZN,60,2026-10-16,53,262.15,30.07,-1.09,13611,5979,186895,137842
2026-08-24_1351,AMZN,91,2026-11-20,88,262.15,35.09,-1.46,20178,5572,215973,88969
2026-08-24_1351,AMZN,182,2027-02-19,179,262.15,34.99,-1.29,2087,1491,18279,21172
2026-08-24_1351,CRWV,30,2026-09-18,25,86.07,76.23,2.43,8317,10029,260213,134061
2026-08-24_1351,CRWV,60,2026-10-16,53,86.07,77.29,2.01,5431,21797,113279,103855
2026-08-24_1351,CRWV,91,2026-11-20,88,86.07,80.9,1.98,3082,1647,52250,40924
2026-08-24_1351,CRWV,182,2027-02-19,179,86.07,78.82,0.56,222,1330,6155,5941
2026-08-24_1351,DRAM,30,2026-09-18,25,54.09,66.37,-1.17,47645,9294,321166,192298
2026-08-24_1351,DRAM,60,2026-10-16,53,54.09,69.04,-0.44,10070,2572,157939,92545
2026-08-24_1351,DRAM,91,2026-11-20,88,54.09,72.57,3.94,11327,2047,96979,39868
2026-08-24_1351,DRAM,182,2027-02-19,179,54.09,67.98,2.0,190,1243,8745,11008
2026-08-24_1351,EEM,30,2026-09-18,25,65.98,23.64,-1.92,11956,7766,553114,957674
2026-08-24_1351,EEM,60,2026-10-16,53,65.98,24.42,-3.07,4285,2121,113738,252590
2026-08-24_1351,EEM,91,2026-11-20,88,65.98,24.78,-2.42,14733,17332,27384,113598
2026-08-24_1351,EEM,182,2027-03-19,207,65.98,24.66,-3.53,7366,10778,47406,204053
2026-08-24_1351,EWY,30,2026-09-18,25,172.98,50.98,-3.03,5871,2145,169984,56152
2026-08-24_1351,EWY,60,2026-10-16,53,172.98,52.45,-4.15,595,992,82899,97068
2026-08-24_1351,EWY,91,2026-11-20,88,172.98,51.12,-1.52,2203,469,12750,9223
2026-08-24_1351,EWY,182,2027-03-19,207,172.98,51.08,0.95,864,1068,24340,27518
2026-08-24_1351,FXI,30,2026-09-18,25,35.51,20.53,-0.93,1927,19514,498285,417065
2026-08-24_1351,FXI,60,2026-10-16,53,35.51,21.59,-0.84,1117,1075,107158,91990
2026-08-24_1351,FXI,91,2026-11-20,88,35.51,22.63,-2.82,1464,29798,95200,144953
2026-08-24_1351,FXI,182,2027-02-19,179,35.51,22.86,-1.0,1176,580,34103,16698
2026-08-24_1351,GDX,30,2026-09-18,25,102.67,51.47,2.56,9869,12793,221286,349147
2026-08-24_1351,GDX,60,2026-10-16,53,102.67,50.23,3.03,4255,11081,43964,46126
2026-08-24_1351,GDX,91,2026-11-20,88,102.67,49.5,2.75,3154,4368,18691,146163
2026-08-24_1351,GDX,182,2027-03-19,207,102.67,48.12,6.24,1115,670,32700,49808
2026-08-24_1351,GLD,30,2026-09-18,25,425.11,26.83,1.98,350429,13207,1314773,204307
2026-08-24_1351,GLD,60,2026-10-16,53,425.11,26.56,1.89,17234,4469,156992,97740
2026-08-24_1351,GLD,91,2026-11-20,88,425.11,26.4,1.85,5039,2162,328467,343936
2026-08-24_1351,GLD,182,2027-02-19,179,425.11,25.23,1.82,848,140,3450,393
2026-08-24_1351,GOOGL,30,2026-09-18,25,348.56,28.32,-0.65,18696,5924,229291,171593
2026-08-24_1351,GOOGL,60,2026-10-16,53,348.56,29.83,-0.27,6005,3394,202301,81441
2026-08-24_1351,GOOGL,91,2026-11-20,88,348.56,33.67,-0.22,4493,1625,86798,55071
2026-08-24_1351,GOOGL,182,2027-02-19,179,348.56,34.16,-0.38,734,1091,11488,17535
2026-08-24_1351,IBIT,30,2026-09-18,25,44.59,44.47,4.26,81501,43686,660043,1133247
2026-08-24_1351,IBIT,60,2026-10-16,53,44.59,44.35,3.3,124330,27304,275526,226241
2026-08-24_1351,IBIT,91,2026-11-20,88,44.59,45.45,2.44,77370,12443,219241,144826
2026-08-24_1351,IBIT,182,2027-02-19,179,44.59,45.23,,767,1014,12387,6945
2026-08-24_1351,IGV,30,2026-09-18,25,102.59,30.8,-1.11,1865,2670,74456,82372
2026-08-24_1351,IGV,60,2026-10-16,53,102.59,32.78,-1.25,1005,1105,17179,23686
2026-08-24_1351,IGV,91,2026-11-20,88,102.59,33.09,-2.18,477,274,36332,79393
2026-08-24_1351,IGV,182,2027-02-19,179,102.59,33.08,-2.52,111,113,4054,2573
2026-08-24_1351,IONQ,30,2026-09-18,25,41.6,77.53,9.58,2103,717,63901,63834
2026-08-24_1351,IONQ,60,2026-10-16,53,41.6,76.49,9.18,3103,830,19233,36308
2026-08-24_1351,IONQ,91,2026-11-20,88,41.6,81.48,9.67,580,222,30660,12818
2026-08-24_1351,IONQ,182,2027-03-19,207,41.6,80.93,9.82,4162,442,12656,5171
2026-08-24_1351,IWM,30,2026-09-18,25,297.48,17.71,-4.23,14011,118124,620143,1402167
2026-08-24_1351,IWM,60,2026-10-16,53,297.48,18.13,-4.21,7001,11765,100933,279875
2026-08-24_1351,IWM,91,2026-11-20,88,297.48,19.11,-4.36,2119,3826,120202,176360
2026-08-24_1351,IWM,182,2027-02-19,179,297.48,19.75,-4.24,237,3946,4364,24137
2026-08-24_1351,KRE,30,2026-09-18,25,74.84,22.52,-1.81,506,708,157980,244847
2026-08-24_1351,KRE,60,2026-10-16,53,74.84,23.04,-2.62,145,307,170353,129942
2026-08-24_1351,KRE,91,2026-11-20,88,74.84,23.66,-1.88,1504,992,81502,53588
2026-08-24_1351,KRE,182,2027-03-19,207,74.84,25.42,-3.88,341,369,15312,20013
2026-08-24_1351,KWEB,30,2026-09-18,25,26.2,29.84,0.23,2805,8347,584260,220479
2026-08-24_1351,KWEB,60,2026-10-16,53,26.2,30.06,4.26,320,2759,3021,943
2026-08-24_1351,KWEB,91,2026-11-20,88,26.2,31.83,-0.1,6863,6056,132434,39995
2026-08-24_1351,KWEB,182,2027-02-19,179,26.2,31.53,5.07,205,197,1962,5911
2026-08-24_1351,META,30,2026-09-18,25,556.74,35.26,1.03,10646,4605,188073,207721
2026-08-24_1351,META,60,2026-10-16,53,556.74,35.98,0.66,11953,3310,127109,62082
2026-08-24_1351,META,91,2026-11-20,88,556.74,41.96,0.91,7396,5041,152844,62947
2026-08-24_1351,META,182,2027-02-19,179,556.74,41.75,0.69,671,850,7856,11869
2026-08-24_1351,MSFT,30,2026-09-18,25,487.69,25.28,-1.6,10240,13972,349878,185096
2026-08-24_1351,MSFT,60,2026-10-16,53,487.69,26.48,-1.78,5858,3963,232296,111368
2026-08-24_1351,MSFT,91,2026-11-20,88,487.69,31.13,-2.31,1930,2069,146127,72602
2026-08-24_1351,MSFT,182,2027-03-19,207,487.69,30.99,-1.93,807,2691,75434,83683
2026-08-24_1351,MU,30,2026-09-18,25,909.8,62.86,1.66,19890,10262,110958,156470
2026-08-24_1351,MU,60,2026-10-16,53,909.8,67.93,2.64,7391,8668,65567,108582
2026-08-24_1351,MU,91,2026-11-20,88,909.8,67.75,2.8,1723,3156,42987,68423
2026-08-24_1351,MU,182,2027-02-19,179,909.8,66.62,3.65,1358,1664,12336,23854
2026-08-24_1351,NBIS,30,2026-09-18,25,210.23,90.61,2.13,5513,4425,76037,116159
2026-08-24_1351,NBIS,60,2026-10-16,53,210.23,92.95,1.76,1902,1768,17907,24350
2026-08-24_1351,NBIS,91,2026-11-20,88,210.23,98.59,0.97,1445,788,19010,24642
2026-08-24_1351,NBIS,182,2027-02-19,179,210.23,96.68,1.61,286,590,6196,4518
2026-08-24_1351,NVDA,30,2026-09-18,25,209.53,42.51,-1.57,89555,34378,882700,755117
2026-08-24_1351,NVDA,60,2026-10-16,53,209.53,38.65,-1.58,59575,18859,509502,386407
2026-08-24_1351,NVDA,91,2026-11-20,88,209.53,39.81,-1.94,16773,10105,233273,249954
2026-08-24_1351,NVDA,182,2027-02-19,179,209.53,38.66,-1.47,5313,4670,39428,58005
2026-08-24_1351,ONDS,30,2026-09-18,25,8.22,76.13,11.44,10733,2204,289708,94358
