stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-15_1351,AAOI,30,2026-10-16,31,95.86,84.95,1.48,877,430,12143,9266
2026-09-15_1351,AAOI,60,2026-10-16,31,95.86,84.95,1.48,877,430,12143,9266
2026-09-15_1351,AAOI,91,2026-12-18,94,95.86,92.83,2.68,405,740,18836,12236
2026-09-15_1351,AAOI,182,2027-03-19,185,95.86,98.66,-0.7,142,136,3600,3987
2026-09-15_1351,AAPL,30,2026-10-16,31,330.41,24.76,-1.99,16926,9994,364813,192633
2026-09-15_1351,AAPL,60,2026-11-20,66,330.41,27.03,-2.69,4866,2865,197703,139921
2026-09-15_1351,AAPL,91,2026-12-18,94,330.41,26.62,-2.71,6352,3631,270876,210790
2026-09-15_1351,AAPL,182,2027-03-19,185,330.41,27.38,-2.96,1433,2822,78809,80696
2026-09-15_1351,AMD,30,2026-10-16,31,503.42,50.63,0.08,5139,4027,77012,83383
2026-09-15_1351,AMD,60,2026-11-20,66,503.42,56.09,0.29,1166,1576,84224,74029
2026-09-15_1351,AMD,91,2026-12-18,94,503.42,54.18,0.97,1828,1669,80831,108151
2026-09-15_1351,AMD,182,2027-03-19,185,503.42,54.92,1.54,691,1337,49414,74128
2026-09-15_1351,AMZN,30,2026-10-16,31,248.53,31.18,-1.06,29224,8325,262694,181307
2026-09-15_1351,AMZN,60,2026-11-20,66,248.53,37.55,-1.21,47034,10274,278312,115979
2026-09-15_1351,AMZN,91,2026-12-18,94,248.53,35.67,-1.31,5508,1919,239062,189916
2026-09-15_1351,AMZN,182,2027-03-19,185,248.53,35.62,-1.23,2227,2366,72685,115013
2026-09-15_1351,CRWV,30,2026-10-16,31,81.29,76.28,4.1,9210,3931,150558,139055
2026-09-15_1351,CRWV,60,2026-11-20,66,81.29,81.86,4.37,2616,723,59328,51132
2026-09-15_1351,CRWV,91,2026-12-18,94,81.29,80.79,2.99,1906,1690,72962,82701
2026-09-15_1351,CRWV,182,2027-03-19,185,81.29,79.58,2.62,4293,381,38083,36592
2026-09-15_1351,DRAM,30,2026-10-16,31,54.73,59.5,-1.14,7415,6827,242066,139368
2026-09-15_1351,DRAM,60,2026-11-20,66,54.73,60.22,-0.1,1778,3045,138078,65421
2026-09-15_1351,DRAM,91,2026-12-18,94,54.73,59.52,0.39,2939,548,207822,93077
2026-09-15_1351,DRAM,182,2027-03-19,185,54.73,60.63,0.41,644,639,43939,59603
2026-09-15_1351,EEM,30,2026-10-16,31,65.75,23.05,-2.61,4026,2228,163115,327535
2026-09-15_1351,EEM,60,2026-11-20,66,65.75,24.19,-3.9,1446,11177,44105,218694
2026-09-15_1351,EEM,91,2026-12-18,94,65.75,25.62,-5.45,3204,10718,602235,835275
2026-09-15_1351,EEM,182,2027-03-19,185,65.75,24.65,-3.44,344,16207,59717,272754
2026-09-15_1351,EWY,30,2026-10-16,31,176.14,46.53,-3.35,3540,5226,83075,111482
2026-09-15_1351,EWY,60,2026-11-20,66,176.14,47.44,-1.26,1456,5961,23406,49890
2026-09-15_1351,EWY,91,2026-12-18,94,176.14,49.53,-3.14,7857,513,96081,48143
2026-09-15_1351,EWY,182,2027-03-19,185,176.14,46.66,-2.42,1585,1103,42259,33736
2026-09-15_1351,FXI,30,2026-10-16,31,34.48,20.04,-1.53,4995,6263,196680,108399
2026-09-15_1351,FXI,60,2026-11-20,66,34.48,20.98,-1.31,20407,10823,108332,201238
2026-09-15_1351,FXI,91,2026-12-18,94,34.48,21.41,-0.7,87642,61770,376606,400911
2026-09-15_1351,FXI,182,2027-03-19,185,34.48,22.22,0.3,121,5471,151534,145969
2026-09-15_1351,GDX,30,2026-10-16,31,93.68,44.37,0.44,11025,4639,71166,75927
2026-09-15_1351,GDX,60,2026-11-20,66,93.68,44.58,1.57,2687,2328,29604,176159
2026-09-15_1351,GDX,91,2026-12-18,94,93.68,44.3,1.45,4164,3692,194679,231321
2026-09-15_1351,GDX,182,2027-03-19,185,93.68,43.97,1.88,1500,1929,38748,58408
2026-09-15_1351,GLD,30,2026-10-16,31,393.88,24.69,0.88,20007,9439,249094,156437
2026-09-15_1351,GLD,60,2026-11-20,66,393.88,25.04,1.35,3256,1160,373212,359805
2026-09-15_1351,GLD,91,2026-12-18,94,393.88,24.82,1.4,46695,619,189473,75818
2026-09-15_1351,GLD,182,2027-03-19,185,393.88,24.36,1.54,1066,1714,141308,86801
2026-09-15_1351,GOOGL,30,2026-10-16,31,343.35,29.63,-0.07,9396,7485,262099,110202
2026-09-15_1351,GOOGL,60,2026-11-20,66,343.35,34.91,-0.7,4452,1969,166907,73029
2026-09-15_1351,GOOGL,91,2026-12-18,94,343.35,33.5,-0.62,3821,1291,180962,124180
2026-09-15_1351,GOOGL,182,2027-03-19,185,343.35,33.81,-0.05,1750,1660,52023,89590
2026-09-15_1351,IBIT,30,2026-10-16,31,43.6,40.24,-0.53,43657,27325,488043,291362
2026-09-15_1351,IBIT,60,2026-11-20,66,43.6,41.43,-0.49,11551,8469,245704,262837
2026-09-15_1351,IBIT,91,2026-12-18,94,43.6,41.29,-0.38,7517,3558,275105,173413
2026-09-15_1351,IBIT,182,2027-03-19,185,43.6,41.77,-0.7,8646,13368,236126,175055
2026-09-15_1351,IGV,30,2026-10-16,31,106.48,31.9,0.23,1028,3373,53866,61437
2026-09-15_1351,IGV,60,2026-11-20,66,106.48,32.83,-1.83,539,916,44964,106744
2026-09-15_1351,IGV,91,2026-12-18,94,106.48,32.07,-1.55,1345,2028,82519,208971
