stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-27_1051,AAOI,30,2026-09-18,22,112.32,93.55,3.58,891,281,31528,24709
2026-08-27_1051,AAOI,60,2026-10-16,50,112.32,94.28,4.45,409,436,4870,4765
2026-08-27_1051,AAOI,91,2026-12-18,113,112.32,102.3,4.17,390,133,16464,10333
2026-08-27_1051,AAOI,182,2027-03-19,204,112.32,99.58,,160,147,2457,2160
2026-08-27_1051,AAPL,30,2026-09-18,22,313.23,24.09,-0.05,17550,3776,392494,251926
2026-08-27_1051,AAPL,60,2026-10-16,50,313.23,24.77,-0.83,5255,1984,281636,152804
2026-08-27_1051,AAPL,91,2026-11-20,85,313.23,26.67,-2.46,1901,688,167567,108582
2026-08-27_1051,AAPL,182,2027-02-19,176,313.23,26.54,-2.11,1273,1026,40495,36791
2026-08-27_1051,AMD,30,2026-09-18,22,476.73,52.8,1.21,2196,3568,136146,202074
2026-08-27_1051,AMD,60,2026-10-16,50,476.73,52.74,1.95,933,1857,53948,67523
2026-08-27_1051,AMD,91,2026-11-20,85,476.73,57.58,1.01,665,318,78088,64282
2026-08-27_1051,AMD,182,2027-02-19,176,476.73,57.81,1.21,403,420,8493,15000
2026-08-27_1051,AMZN,30,2026-09-18,22,257.05,28.12,-0.81,14826,3686,385731,244086
2026-08-27_1051,AMZN,60,2026-10-16,50,257.05,29.71,-0.84,10215,1301,196481,147407
2026-08-27_1051,AMZN,91,2026-11-20,85,257.05,34.93,-1.28,7363,540,217876,91899
2026-08-27_1051,AMZN,182,2027-02-19,176,257.05,34.69,-1.01,772,407,19932,23550
2026-08-27_1051,CRWV,30,2026-09-18,22,88.91,75.92,2.48,4908,3365,263509,141209
2026-08-27_1051,CRWV,60,2026-10-16,50,88.91,75.56,2.52,1646,1367,118963,126431
2026-08-27_1051,CRWV,91,2026-11-20,85,88.91,80.72,1.65,1037,187,54760,42399
2026-08-27_1051,CRWV,182,2027-02-19,176,88.91,81.0,0.18,412,390,6667,7626
2026-08-27_1051,DRAM,30,2026-09-18,22,56.57,61.21,-1.88,9305,5103,342059,195404
2026-08-27_1051,DRAM,60,2026-10-16,50,56.57,65.57,0.51,1352,744,182340,97735
2026-08-27_1051,DRAM,91,2026-11-20,85,56.57,64.96,4.59,651,582,101158,42786
2026-08-27_1051,DRAM,182,2027-02-19,176,56.57,67.24,,204,2267,9422,12396
2026-08-27_1051,EEM,30,2026-09-18,22,67.53,21.18,-1.84,643,23142,557893,968595
2026-08-27_1051,EEM,60,2026-10-16,50,67.53,22.25,-0.31,1097,395,117686,258510
2026-08-27_1051,EEM,91,2026-11-20,85,67.53,24.45,0.55,2922,31664,39964,153457
2026-08-27_1051,EEM,182,2027-03-19,204,67.53,23.69,-0.63,367,6560,54416,219764
2026-08-27_1051,EWY,30,2026-09-18,22,181.26,47.79,-3.29,2910,1029,168801,58703
2026-08-27_1051,EWY,60,2026-10-16,50,181.26,48.39,-1.35,2675,2591,82848,96902
2026-08-27_1051,EWY,91,2026-11-20,85,181.26,49.84,-1.1,634,3006,15393,10086
2026-08-27_1051,EWY,182,2027-03-19,204,181.26,49.18,-2.64,12517,787,24650,28156
2026-08-27_1051,FXI,30,2026-09-18,22,35.28,19.24,0.33,1097,5541,498125,420729
2026-08-27_1051,FXI,60,2026-10-16,50,35.28,20.65,-1.66,803,1666,111781,93687
2026-08-27_1051,FXI,91,2026-11-20,85,35.28,21.64,1.68,1317,24814,95358,149325
2026-08-27_1051,FXI,182,2027-02-19,176,35.28,22.27,0.4,105,330,33621,16784
2026-08-27_1051,GDX,30,2026-09-18,22,103.52,47.01,1.66,1798,1528,229536,366755
2026-08-27_1051,GDX,60,2026-10-16,50,103.52,47.53,1.9,879,5896,43755,55647
2026-08-27_1051,GDX,91,2026-11-20,85,103.52,47.87,2.13,750,22438,21735,153011
2026-08-27_1051,GDX,182,2027-03-19,204,103.52,46.58,5.75,1534,721,33664,50480
2026-08-27_1051,GLD,30,2026-09-18,22,420.96,24.39,0.88,5433,7299,1307078,217211
2026-08-27_1051,GLD,60,2026-10-16,50,420.96,24.97,1.05,7122,2173,233375,127995
2026-08-27_1051,GLD,91,2026-11-20,85,420.96,25.43,1.67,4179,1626,365311,344468
2026-08-27_1051,GLD,182,2027-02-19,176,420.96,24.8,1.6,874,307,4623,795
2026-08-27_1051,GOOGL,30,2026-09-18,22,340.12,26.88,0.26,3976,2172,242590,174142
2026-08-27_1051,GOOGL,60,2026-10-16,50,340.12,28.29,0.07,3530,580,203755,89386
2026-08-27_1051,GOOGL,91,2026-11-20,85,340.12,32.49,-0.08,1259,625,89320,59674
2026-08-27_1051,GOOGL,182,2027-02-19,176,340.12,33.59,-0.1,184,1031,11962,20216
2026-08-27_1051,IBIT,30,2026-09-18,22,45.4,41.8,2.43,19784,6734,649729,442073
2026-08-27_1051,IBIT,60,2026-10-16,50,45.4,40.83,1.08,43133,3217,343223,235478
2026-08-27_1051,IBIT,91,2026-11-20,85,45.4,42.31,0.57,9330,16152,212924,191033
2026-08-27_1051,IBIT,182,2027-02-19,176,45.4,44.25,0.99,3216,475,13109,7766
2026-08-27_1051,IGV,30,2026-09-18,22,108.78,30.2,-1.31,10230,5346,90304,84004
2026-08-27_1051,IGV,60,2026-10-16,50,108.78,31.14,-2.21,1066,5080,18458,26742
2026-08-27_1051,IGV,91,2026-11-20,85,108.78,32.9,-2.29,1053,3174,36669,81980
2026-08-27_1051,IGV,182,2027-02-19,176,108.78,32.54,0.06,92,424,4137,2819
2026-08-27_1051,IONQ,30,2026-09-18,22,42.12,79.09,4.97,3018,619,68522,64389
2026-08-27_1051,IONQ,60,2026-10-16,50,42.12,78.55,6.41,808,566,21812,37174
2026-08-27_1051,IONQ,91,2026-11-20,85,42.12,82.02,8.34,336,125,31181,13996
2026-08-27_1051,IONQ,182,2027-03-19,204,42.12,80.66,8.62,377,239,14112,5327
2026-08-27_1051,IWM,30,2026-09-18,22,299.07,16.43,-3.75,4837,4389,635253,1401208
2026-08-27_1051,IWM,60,2026-10-16,50,299.07,17.04,-3.88,4700,7530,123435,314281
2026-08-27_1051,IWM,91,2026-11-20,85,299.07,18.21,-4.14,1043,1648,120923,203022
2026-08-27_1051,IWM,182,2027-02-19,176,299.07,19.38,-4.32,226,4078,4693,24396
2026-08-27_1051,KRE,30,2026-09-18,22,73.77,22.25,-1.81,1415,4020,162442,245478
2026-08-27_1051,KRE,60,2026-10-16,50,73.77,22.72,-1.41,1228,697,171819,126735
2026-08-27_1051,KRE,91,2026-11-20,85,73.77,23.13,-1.38,454,1000,82563,53718
2026-08-27_1051,KRE,182,2027-03-19,204,73.77,23.63,-2.66,404,565,15677,20679
2026-08-27_1051,KWEB,30,2026-09-18,22,26.16,27.55,0.15,1073,1034,602589,224245
