stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-17_1551,AAOI,30,2026-09-18,32,154.82,109.13,4.21,4565,2289,27288,21737
2026-08-17_1551,AAOI,60,2026-10-02,46,154.82,108.83,,447,381,387,231
2026-08-17_1551,AAOI,91,2026-12-18,123,154.82,116.72,4.24,809,719,13564,8558
2026-08-17_1551,AAOI,182,2027-01-15,151,154.82,112.32,4.83,2387,459,26901,42575
2026-08-17_1551,AAPL,30,2026-09-18,32,305.53,23.51,-0.73,31223,12912,343228,240874
2026-08-17_1551,AAPL,60,2026-10-16,60,305.53,23.98,-1.01,11617,2729,260941,129556
2026-08-17_1551,AAPL,91,2026-11-20,95,305.53,26.23,-1.3,7946,3319,154324,95091
2026-08-17_1551,AAPL,182,2027-02-19,186,305.53,26.68,-1.77,2641,1285,34562,26062
2026-08-17_1551,AMD,30,2026-09-18,32,506.54,54.47,0.75,12520,10083,121616,196306
2026-08-17_1551,AMD,60,2026-10-16,60,506.54,56.04,1.16,3254,4586,50730,58966
2026-08-17_1551,AMD,91,2026-11-20,95,506.54,59.97,1.77,2760,4544,62274,63793
2026-08-17_1551,AMD,182,2027-02-19,186,506.54,60.15,2.21,2510,1717,6809,11921
2026-08-17_1551,AMZN,30,2026-09-18,32,260.29,28.22,0.03,32980,13072,335031,224176
2026-08-17_1551,AMZN,60,2026-10-16,60,260.29,29.42,-0.37,19685,9974,159813,129162
2026-08-17_1551,AMZN,91,2026-11-20,95,260.29,34.24,-0.55,10131,4677,186179,81878
2026-08-17_1551,AMZN,182,2027-02-19,186,260.29,35.14,-0.56,1061,2026,15946,15581
2026-08-17_1551,CRWV,30,2026-09-18,32,106.62,78.06,1.71,10751,8537,242869,122674
2026-08-17_1551,CRWV,60,2026-10-16,60,106.62,77.62,2.07,3983,2366,102054,69319
2026-08-17_1551,CRWV,91,2026-11-20,95,106.62,80.88,1.77,1897,1122,46390,39607
2026-08-17_1551,CRWV,182,2027-02-19,186,106.62,81.68,,215,357,3820,3732
2026-08-17_1551,DRAM,30,2026-09-18,32,60.28,70.12,-1.19,45919,15929,306513,174202
2026-08-17_1551,DRAM,60,2026-10-16,60,60.28,70.52,-1.16,37890,4289,123653,86002
2026-08-17_1551,DRAM,91,2026-11-20,95,60.28,71.16,0.36,17803,1225,85458,34765
2026-08-17_1551,DRAM,182,2027-02-19,186,60.28,72.67,,3877,1117,4899,8740
2026-08-17_1551,EEM,30,2026-09-18,32,67.3,25.08,-3.84,31449,7878,545554,932470
2026-08-17_1551,EEM,60,2026-10-16,60,67.3,25.88,-0.57,1120,51758,107390,177038
2026-08-17_1551,EEM,91,2026-11-20,95,67.3,24.17,0.09,542,3661,12216,50188
2026-08-17_1551,EEM,182,2027-01-15,151,67.3,26.39,-2.04,4304,6067,172979,259008
2026-08-17_1551,EWY,30,2026-09-18,32,184.74,53.34,-0.62,30348,7400,131201,44970
2026-08-17_1551,EWY,60,2026-10-16,60,184.74,53.23,-1.97,4854,1693,80431,94916
2026-08-17_1551,EWY,91,2026-11-20,95,184.74,52.61,-1.69,2022,99,6661,5861
2026-08-17_1551,EWY,182,2027-01-15,151,184.74,51.26,-2.06,6196,1312,85840,97932
2026-08-17_1551,FXI,30,2026-09-18,32,35.1,19.98,-1.08,19893,8125,495391,409194
2026-08-17_1551,FXI,60,2026-10-16,60,35.1,20.88,-1.16,11218,15831,87958,72094
2026-08-17_1551,FXI,91,2026-11-20,95,35.1,21.62,-1.73,375,10377,93337,115769
2026-08-17_1551,FXI,182,2027-02-19,186,35.1,22.87,-2.4,106,639,33908,16478
2026-08-17_1551,GDX,30,2026-09-18,32,91.79,43.32,1.02,12641,11402,218728,315994
2026-08-17_1551,GDX,60,2026-10-16,60,91.79,45.09,4.44,7208,1894,34840,40789
2026-08-17_1551,GDX,91,2026-11-20,95,91.79,43.6,1.73,1092,355,14422,120156
2026-08-17_1551,GDX,182,2027-01-15,151,91.79,43.21,1.89,2111,3148,122291,176802
2026-08-17_1551,GLD,30,2026-09-18,32,405.23,22.98,1.0,17111,9953,1338539,194291
2026-08-17_1551,GLD,60,2026-10-16,60,405.23,23.04,1.15,15062,2075,122049,94267
2026-08-17_1551,GLD,91,2026-11-20,95,405.23,23.28,1.11,19507,821,302887,331535
2026-08-17_1551,GLD,182,2027-02-19,186,405.23,23.34,5.1,290,39,518,59
2026-08-17_1551,GOOGL,30,2026-09-18,32,343.9,28.05,-0.15,16738,7629,215381,169485
2026-08-17_1551,GOOGL,60,2026-10-16,60,343.9,29.42,-0.15,9038,3979,193807,76654
2026-08-17_1551,GOOGL,91,2026-11-20,95,343.9,33.04,-0.2,3098,1819,80158,53100
2026-08-17_1551,GOOGL,182,2027-02-19,186,343.9,33.63,-0.05,437,849,10213,15296
2026-08-17_1551,IBIT,30,2026-09-18,32,36.4,34.62,-2.15,31451,9456,570269,375709
2026-08-17_1551,IBIT,60,2026-10-16,60,36.4,37.12,-3.17,10975,8870,218041,182705
2026-08-17_1551,IBIT,91,2026-11-20,95,36.4,39.65,-3.67,21139,18551,167054,71541
2026-08-17_1551,IBIT,182,2027-02-19,186,36.4,41.97,-3.66,380,622,8610,6126
2026-08-17_1551,IGV,30,2026-09-18,32,102.01,30.47,-2.3,5512,26835,51730,79891
2026-08-17_1551,IGV,60,2026-10-16,60,102.01,33.07,-2.22,2429,6092,14468,19540
2026-08-17_1551,IGV,91,2026-11-20,95,102.01,33.17,-2.83,382,301,34936,78537
2026-08-17_1551,IGV,182,2027-02-19,186,102.01,31.56,-1.56,102,617,4034,2421
2026-08-17_1551,IONQ,30,2026-09-18,32,46.96,79.82,6.87,3274,1777,50403,49779
2026-08-17_1551,IONQ,60,2026-10-16,60,46.96,81.54,8.5,4247,353,19036,36964
2026-08-17_1551,IONQ,91,2026-11-20,95,46.96,85.38,8.46,1130,278,29872,12486
2026-08-17_1551,IONQ,182,2027-01-15,151,46.96,83.25,42.57,520,138,59731,61523
2026-08-17_1551,IWM,30,2026-09-18,32,303.88,16.83,-4.09,20244,104043,549570,1118543
2026-08-17_1551,IWM,60,2026-10-16,60,303.88,18.03,-4.28,4254,14894,84734,232197
2026-08-17_1551,IWM,91,2026-11-20,95,303.88,19.22,-4.46,2602,1619,112427,152624
2026-08-17_1551,IWM,182,2027-02-19,186,303.88,20.11,-4.31,529,577,4255,22134
2026-08-17_1551,KRE,30,2026-09-18,32,77.38,21.86,-2.65,689,847,133219,179597
2026-08-17_1551,KRE,60,2026-10-16,60,77.38,22.26,-4.25,1010,2514,168467,147654
2026-08-17_1551,KRE,91,2026-11-20,95,77.38,23.11,-2.94,221,5414,79671,48307
2026-08-17_1551,KRE,182,2027-01-15,151,77.38,23.63,-3.3,2948,3019,73210,315184
2026-08-17_1551,KWEB,30,2026-09-18,32,26.95,28.13,-0.05,11421,28300,571523,219087
2026-08-17_1551,KWEB,60,2026-10-02,46,26.95,30.92,28.42,0,15000,173,13
2026-08-17_1551,KWEB,91,2026-11-20,95,26.95,30.82,-1.07,19237,761,89555,37532
2026-08-17_1551,KWEB,182,2027-02-19,186,26.95,31.97,6.96,160,619,1861,3714
2026-08-17_1551,META,30,2026-09-18,32,567.9,33.99,0.89,19236,15820,162347,191353
2026-08-17_1551,META,60,2026-10-16,60,567.9,35.02,0.51,9254,4432,113642,49898
2026-08-17_1551,META,91,2026-11-20,95,567.9,40.37,0.75,6993,4222,137607,52710
2026-08-17_1551,META,182,2027-02-19,186,567.9,40.57,0.53,735,1069,5690,8610
2026-08-17_1551,MSFT,30,2026-09-18,32,479.61,26.55,-1.55,90869,18192,346730,171123
2026-08-17_1551,MSFT,60,2026-10-16,60,479.61,27.07,-1.76,9480,7316,219894,98784
2026-08-17_1551,MSFT,91,2026-11-20,95,479.61,30.69,-2.1,6679,4791,142645,68445
2026-08-17_1551,MSFT,182,2027-01-15,151,479.61,29.91,-1.73,8333,3809,373735,186480
2026-08-17_1551,MU,30,2026-09-18,32,1015.67,64.78,2.68,25435,17364,106074,145720
2026-08-17_1551,MU,60,2026-10-16,60,1015.67,70.3,3.43,7580,8359,59339,96003
2026-08-17_1551,MU,91,2026-11-20,95,1015.67,70.34,3.92,2973,3557,44191,64724
2026-08-17_1551,MU,182,2027-02-19,186,1015.67,69.7,4.29,746,2423,11236,21764
2026-08-17_1551,NBIS,30,2026-09-18,32,268.95,99.59,0.98,5680,9382,68213,105539
2026-08-17_1551,NBIS,60,2026-10-16,60,268.95,98.76,,1324,3351,15425,22391
2026-08-17_1551,NBIS,91,2026-11-20,95,268.95,102.55,,1242,1747,17078,18214
2026-08-17_1551,NBIS,182,2027-02-19,186,268.95,102.62,,821,780,5869,2755
2026-08-17_1551,NVDA,30,2026-09-18,32,225.4,38.15,-1.24,70308,45104,805100,718118
2026-08-17_1551,NVDA,60,2026-10-16,60,225.4,37.47,-1.58,20823,17897,471579,389942
2026-08-17_1551,NVDA,91,2026-11-20,95,225.4,39.32,-1.83,12828,16976,219973,235767
2026-08-17_1551,NVDA,182,2027-02-19,186,225.4,38.59,-1.46,3116,5016,34413,46029
2026-08-17_1551,ONDS,30,2026-09-18,32,9.08,81.02,7.81,22860,5412,266226,78312
2026-08-17_1551,ONDS,60,2026-10-16,60,9.08,82.7,8.03,2634,1980,15830,5754
2026-08-17_1551,ONDS,91,2026-11-20,95,9.08,89.53,6.76,1701,960,6537,3373
2026-08-17_1551,ONDS,182,2027-01-15,151,9.08,89.4,8.33,5113,1943,343739,76116
2026-08-17_1551,OWL,30,2026-09-18,32,11.7,45.15,4.66,1297,1850,21936,102229
2026-08-17_1551,OWL,60,2026-10-16,60,11.7,46.73,-0.29,780,779,41418,38801
2026-08-17_1551,OWL,91,2026-11-20,95,11.7,48.22,-2.75,252,911,16526,17605
2026-08-17_1551,OWL,182,2027-02-19,186,11.7,48.58,2.68,698,245,11227,14846
2026-08-17_1551,QQQ,30,2026-09-18,32,730.29,18.73,-4.3,47402,48418,881432,971660
2026-08-17_1551,QQQ,60,2026-10-16,60,730.29,20.08,-4.73,11098,23295,275902,285809
2026-08-17_1551,QQQ,91,2026-11-20,95,730.29,21.25,-4.91,14804,15790,112740,100841
