stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-04_1352,AAOI,30,2026-10-16,42,104.67,86.09,4.4,1784,454,8688,7668
2026-09-04_1352,AAOI,60,2026-10-16,42,104.67,86.09,4.4,1784,454,8688,7668
2026-09-04_1352,AAOI,91,2026-12-18,105,104.67,93.92,4.59,1449,1041,17702,11753
2026-09-04_1352,AAOI,182,2027-03-19,196,104.67,94.37,,248,537,3145,3386
2026-09-04_1352,AAPL,30,2026-10-16,42,321.04,24.37,-1.49,23338,13905,293937,162227
2026-09-04_1352,AAPL,60,2026-11-20,77,321.04,26.54,-2.25,6610,2939,182811,122914
2026-09-04_1352,AAPL,91,2026-11-20,77,321.04,26.54,-2.25,6610,2939,182811,122914
2026-09-04_1352,AAPL,182,2027-02-19,168,321.04,26.2,-2.16,7202,870,44300,45503
2026-09-04_1352,AMD,30,2026-10-16,42,472.82,49.25,1.46,7399,7826,59179,78159
2026-09-04_1352,AMD,60,2026-11-20,77,472.82,53.92,1.58,2806,1970,81916,67541
2026-09-04_1352,AMD,91,2026-11-20,77,472.82,53.92,1.58,2806,1970,81916,67541
2026-09-04_1352,AMD,182,2027-02-19,168,472.82,53.79,1.86,626,653,9837,17556
2026-09-04_1352,AMZN,30,2026-10-16,42,257.21,29.58,-0.24,18584,4546,218886,161211
2026-09-04_1352,AMZN,60,2026-11-20,77,257.21,35.42,-0.73,4006,3914,270298,102175
2026-09-04_1352,AMZN,91,2026-11-20,77,257.21,35.42,-0.73,4006,3914,270298,102175
2026-09-04_1352,AMZN,182,2027-02-19,168,257.21,35.01,-0.99,1943,813,24492,29985
2026-09-04_1352,CRWV,30,2026-10-16,42,88.71,73.41,3.02,7340,4017,137016,133426
2026-09-04_1352,CRWV,60,2026-11-20,77,88.71,80.44,2.9,2424,1313,57089,49266
2026-09-04_1352,CRWV,91,2026-11-20,77,88.71,80.44,2.9,2424,1313,57089,49266
2026-09-04_1352,CRWV,182,2027-02-19,168,88.71,77.7,2.16,275,292,9760,11341
2026-09-04_1352,DRAM,30,2026-10-16,42,58.85,61.53,-0.11,13746,9677,199978,109249
2026-09-04_1352,DRAM,60,2026-11-20,77,58.85,64.12,4.67,6324,1555,118989,50122
2026-09-04_1352,DRAM,91,2026-11-20,77,58.85,64.12,4.67,6324,1555,118989,50122
2026-09-04_1352,DRAM,182,2027-02-19,168,58.85,63.2,-1.07,436,648,10098,12363
2026-09-04_1352,EEM,30,2026-10-16,42,68.34,20.22,-2.8,4731,1443,147179,313176
2026-09-04_1352,EEM,60,2026-11-20,77,68.34,21.9,-1.46,1161,43107,40399,206567
2026-09-04_1352,EEM,91,2026-11-20,77,68.34,21.9,-1.46,1161,43107,40399,206567
2026-09-04_1352,EEM,182,2027-03-19,196,68.34,21.99,-0.81,213,13307,60034,241405
2026-09-04_1352,EWY,30,2026-10-16,42,186.01,44.35,-1.28,7519,1825,80169,99583
