stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-23_0951,AAOI,30,2026-10-16,23,102.48,87.99,7.34,863,699,16571,11618
2026-09-23_0951,AAOI,60,2026-11-20,58,102.48,99.87,,890,299,4693,2573
2026-09-23_0951,AAOI,91,2026-12-18,86,102.48,94.07,8.22,429,258,19779,13325
2026-09-23_0951,AAOI,182,2027-03-19,177,102.48,95.31,,192,175,4148,4164
2026-09-23_0951,AAPL,30,2026-10-16,23,338.22,23.03,-2.67,5786,2120,391112,203207
2026-09-23_0951,AAPL,60,2026-11-20,58,338.22,25.85,-2.26,3692,3925,218155,147616
2026-09-23_0951,AAPL,91,2026-12-18,86,338.22,24.85,-2.7,2025,4056,298864,220228
2026-09-23_0951,AAPL,182,2027-03-19,177,338.22,25.99,-2.41,843,6639,85442,102204
2026-09-23_0951,AMD,30,2026-10-16,23,615.45,52.3,3.7,3174,4753,103893,98459
2026-09-23_0951,AMD,60,2026-11-20,58,615.45,58.91,2.02,5213,4657,84564,79189
2026-09-23_0951,AMD,91,2026-12-18,86,615.45,57.89,1.86,4314,6194,89196,102725
2026-09-23_0951,AMD,182,2027-03-19,177,615.45,56.83,2.77,3138,3587,51960,78908
2026-09-23_0951,AMZN,30,2026-10-16,23,251.08,30.13,-0.95,5014,1567,328166,206208
2026-09-23_0951,AMZN,60,2026-11-20,58,251.08,37.49,-0.13,4662,2322,330267,146710
2026-09-23_0951,AMZN,91,2026-12-18,86,251.08,35.6,-1.1,3554,2511,262467,190731
2026-09-23_0951,AMZN,182,2027-03-19,177,251.08,35.26,-0.55,1090,2930,81851,122318
2026-09-23_0951,CRWV,30,2026-10-16,23,87.24,75.69,3.72,4559,2717,212980,154478
2026-09-23_0951,CRWV,60,2026-11-20,58,87.24,82.2,2.79,2324,3276,71614,79088
2026-09-23_0951,CRWV,91,2026-12-18,86,87.24,78.42,3.21,2393,6622,75394,84969
2026-09-23_0951,CRWV,182,2027-03-19,177,87.24,76.7,2.0,945,236,53117,46841
2026-09-23_0951,DRAM,30,2026-10-16,23,62.39,59.71,1.08,1982,6086,281315,160193
2026-09-23_0951,DRAM,60,2026-11-20,58,62.39,62.37,0.63,1845,1384,156792,71920
2026-09-23_0951,DRAM,91,2026-12-18,86,62.39,59.65,1.48,9889,2406,212439,97725
2026-09-23_0951,DRAM,182,2027-03-19,177,62.39,59.81,8.42,2210,590,48021,60381
2026-09-23_0951,EEM,30,2026-10-16,23,68.08,23.28,0.21,3911,10385,203340,370691
2026-09-23_0951,EEM,60,2026-11-20,58,68.08,24.69,-0.26,1269,2900,51862,214166
2026-09-23_0951,EEM,91,2026-12-18,86,68.08,23.44,-2.1,6104,9885,606828,870611
2026-09-23_0951,EEM,182,2027-03-19,177,68.08,23.14,-0.57,645,13387,65480,272732
2026-09-23_0951,EWY,30,2026-10-16,23,187.66,44.74,-1.33,2489,4007,92218,115500
2026-09-23_0951,EWY,60,2026-11-20,58,187.66,46.14,-0.67,1287,3420,30726,59143
2026-09-23_0951,EWY,91,2026-12-18,86,187.66,47.48,2.37,2742,285,98996,52278
2026-09-23_0951,EWY,182,2027-03-19,177,187.66,44.43,0.14,3951,1702,45885,34051
2026-09-23_0951,FXI,30,2026-10-16,23,34.41,20.78,-1.78,8642,10219,217791,131806
2026-09-23_0951,FXI,60,2026-11-20,58,34.41,21.3,2.18,11302,325,122804,205660
2026-09-23_0951,FXI,91,2026-12-18,86,34.41,22.4,-0.19,9252,21044,416371,445715
2026-09-23_0951,FXI,182,2027-03-19,177,34.41,22.43,0.94,5126,12972,156711,150488
2026-09-23_0951,GDX,30,2026-10-16,23,93.21,41.8,1.4,2353,1138,84427,91430
2026-09-23_0951,GDX,60,2026-11-20,58,93.21,42.99,3.52,1360,1103,36366,185441
2026-09-23_0951,GDX,91,2026-12-18,86,93.21,42.17,2.79,7284,3380,211664,242888
2026-09-23_0951,GDX,182,2027-03-19,177,93.21,41.71,3.54,1630,3034,43281,62847
2026-09-23_0951,GLD,30,2026-10-16,23,392.9,20.39,0.83,2765,9743,269158,200949
2026-09-23_0951,GLD,60,2026-11-20,58,392.9,22.36,1.02,1160,1084,384048,368280
2026-09-23_0951,GLD,91,2026-12-18,86,392.9,22.6,1.4,1414,3238,497984,81671
2026-09-23_0951,GLD,182,2027-03-19,177,392.9,22.63,1.5,3500,2601,147416,87716
2026-09-23_0951,GOOGL,30,2026-10-16,23,345.72,31.16,0.97,5117,4116,301558,126726
2026-09-23_0951,GOOGL,60,2026-11-20,58,345.72,35.63,0.78,3830,2025,183838,77923
2026-09-23_0951,GOOGL,91,2026-12-18,86,345.72,34.26,0.22,6065,1896,193393,126680
2026-09-23_0951,GOOGL,182,2027-03-19,177,345.72,33.89,0.04,1467,1639,54764,93859
2026-09-23_0951,IBIT,30,2026-10-16,23,48.53,37.48,1.2,11014,6284,502432,324864
2026-09-23_0951,IBIT,60,2026-11-20,58,48.53,40.04,0.87,5733,5063,286993,290511
2026-09-23_0951,IBIT,91,2026-12-18,86,48.53,40.57,0.37,6130,13264,350818,189900
2026-09-23_0951,IBIT,182,2027-03-19,177,48.53,41.5,0.61,14295,4663,288321,193449
2026-09-23_0951,IGV,30,2026-10-16,23,107.89,30.12,-0.65,3417,10078,62612,73837
2026-09-23_0951,IGV,60,2026-11-20,58,107.89,30.55,-0.86,2278,4122,46699,107034
2026-09-23_0951,IGV,91,2026-12-18,86,107.89,31.19,-1.04,1458,26921,94115,233807
2026-09-23_0951,IGV,182,2027-03-19,177,107.89,30.93,-1.42,614,1388,13765,38721
2026-09-23_0951,IONQ,30,2026-10-16,23,42.43,77.33,22.0,1877,726,38490,59387
2026-09-23_0951,IONQ,60,2026-11-20,58,42.43,80.05,6.82,2616,549,43174,22490
2026-09-23_0951,IONQ,91,2026-12-18,86,42.43,77.01,8.7,1089,431,37978,33120
2026-09-23_0951,IONQ,182,2027-03-19,177,42.43,74.09,14.24,218,128,19757,6833
2026-09-23_0951,IWM,30,2026-10-16,23,284.06,16.68,-2.51,12456,5542,308885,1144152
2026-09-23_0951,IWM,60,2026-11-20,58,284.06,17.95,-3.14,12267,6323,206921,383263
2026-09-23_0951,IWM,91,2026-12-18,86,284.06,18.45,-3.6,8404,19992,626567,1228468
