stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-20_1152,AAOI,30,2026-09-18,29,125.38,108.51,2.73,1588,802,28033,22930
2026-08-20_1152,AAOI,60,2026-10-02,43,125.38,109.67,2.16,153,220,909,1001
2026-08-20_1152,AAOI,91,2026-12-18,120,125.38,114.51,2.65,318,185,15015,9505
2026-08-20_1152,AAOI,182,2027-03-19,211,125.38,111.92,,125,599,2286,1389
2026-08-20_1152,AAPL,30,2026-09-18,29,315.97,24.53,-1.19,14599,4736,358120,233813
2026-08-20_1152,AAPL,60,2026-10-16,57,315.97,24.69,-1.4,9030,2346,270462,136244
2026-08-20_1152,AAPL,91,2026-11-20,92,315.97,26.71,-1.99,2481,1253,157456,98490
2026-08-20_1152,AAPL,182,2027-02-19,183,315.97,27.02,-2.13,986,1557,36226,29429
2026-08-20_1152,AMD,30,2026-09-18,29,463.45,53.2,0.87,3561,1808,129252,201930
2026-08-20_1152,AMD,60,2026-10-16,57,463.45,54.46,0.2,14034,2075,54279,63042
2026-08-20_1152,AMD,91,2026-11-20,92,463.45,58.32,0.36,12950,1981,65835,61779
2026-08-20_1152,AMD,182,2027-02-19,183,463.45,58.46,2.27,906,1332,8797,14168
2026-08-20_1152,AMZN,30,2026-09-18,29,261.36,28.93,-1.0,23015,6133,357858,224840
2026-08-20_1152,AMZN,60,2026-10-16,57,261.36,29.8,-0.91,9664,3701,176431,134691
2026-08-20_1152,AMZN,91,2026-11-20,92,261.36,35.08,-1.12,2383,471,216619,85152
2026-08-20_1152,AMZN,182,2027-02-19,183,261.36,35.13,-1.06,699,791,17138,17951
2026-08-20_1152,CRWV,30,2026-09-18,29,90.31,76.18,0.59,4965,1939,254193,128133
2026-08-20_1152,CRWV,60,2026-10-16,57,90.31,76.37,1.11,1990,5666,111423,102101
2026-08-20_1152,CRWV,91,2026-11-20,92,90.31,80.37,0.57,516,532,49934,40127
2026-08-20_1152,CRWV,182,2027-02-19,183,90.31,81.46,-0.72,180,1055,5269,5629
2026-08-20_1152,DRAM,30,2026-09-18,29,56.98,70.24,1.9,11661,3008,314571,187392
2026-08-20_1152,DRAM,60,2026-10-16,57,56.98,71.56,2.69,2349,741,146998,92340
2026-08-20_1152,DRAM,91,2026-11-20,92,56.98,72.02,4.3,1942,647,95801,37906
