stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-27_1451,AAOI,30,2026-09-18,22,113.09,91.45,3.62,2580,529,31528,24709
2026-08-27_1451,AAOI,60,2026-10-16,50,113.09,94.51,3.47,1825,429,4870,4765
2026-08-27_1451,AAOI,91,2026-12-18,113,113.09,100.87,3.39,640,305,16464,10333
2026-08-27_1451,AAOI,182,2027-03-19,204,113.09,98.85,,113,140,2457,2160
2026-08-27_1451,AAPL,30,2026-09-18,22,313.81,24.35,-0.81,32789,13183,390715,245981
2026-08-27_1451,AAPL,60,2026-10-16,50,313.81,24.3,-1.48,12929,5050,281383,152804
2026-08-27_1451,AAPL,91,2026-11-20,85,313.81,26.24,-2.31,8491,2500,167405,106514
2026-08-27_1451,AAPL,182,2027-02-19,176,313.81,26.36,-2.25,1784,1751,40495,36791
2026-08-27_1451,AMD,30,2026-09-18,22,471.23,51.83,0.94,5348,7855,133815,201784
2026-08-27_1451,AMD,60,2026-10-16,50,471.23,52.16,1.08,2760,3573,53948,67429
2026-08-27_1451,AMD,91,2026-11-20,85,471.23,57.11,1.14,2026,1025,78088,64165
2026-08-27_1451,AMD,182,2027-02-19,176,471.23,56.18,2.09,503,1413,8409,14986
2026-08-27_1451,AMZN,30,2026-09-18,22,255.3,28.06,-0.62,35100,8954,385731,244086
2026-08-27_1451,AMZN,60,2026-10-16,50,255.3,29.78,-0.74,24212,6263,196481,147407
2026-08-27_1451,AMZN,91,2026-11-20,85,255.3,34.74,-1.09,11451,2989,217876,91821
2026-08-27_1451,AMZN,182,2027-02-19,176,255.3,34.6,-0.98,2989,441,19932,23519
2026-08-27_1451,CRWV,30,2026-09-18,22,86.85,73.75,2.31,7925,5702,263509,141209
2026-08-27_1451,CRWV,60,2026-10-16,50,86.85,75.25,2.81,3516,2869,118963,126431
2026-08-27_1451,CRWV,91,2026-11-20,85,86.85,80.25,2.26,1914,648,54760,41682
2026-08-27_1451,CRWV,182,2027-02-19,176,86.85,78.6,1.26,506,632,6667,7626
2026-08-27_1451,DRAM,30,2026-09-18,22,55.97,59.53,-1.77,20277,12017,342661,196649
2026-08-27_1451,DRAM,60,2026-10-16,50,55.97,64.28,-1.88,3573,3479,182340,97735
2026-08-27_1451,DRAM,91,2026-11-20,85,55.97,63.92,1.11,2312,2525,101158,42786
2026-08-27_1451,DRAM,182,2027-02-19,176,55.97,65.64,0.81,374,2269,9428,12396
2026-08-27_1451,EEM,30,2026-09-18,22,67.3,22.38,-1.86,1444,14574,557893,968678
2026-08-27_1451,EEM,60,2026-10-16,50,67.3,22.21,-3.29,2467,443,117686,258513
2026-08-27_1451,EEM,91,2026-11-20,85,67.3,24.02,-1.76,3143,18049,39964,153457
2026-08-27_1451,EEM,182,2027-03-19,204,67.3,24.35,-1.03,5413,10483,54416,219764
2026-08-27_1451,EWY,30,2026-09-18,22,180.08,45.34,-1.93,6668,4102,168801,58703
2026-08-27_1451,EWY,60,2026-10-16,50,180.08,47.2,-1.05,2889,3362,82848,96902
2026-08-27_1451,EWY,91,2026-11-20,85,180.08,49.04,-0.37,962,2913,15393,10086
2026-08-27_1451,EWY,182,2027-03-19,204,180.08,48.69,-2.55,12927,602,24650,28156
2026-08-27_1451,FXI,30,2026-09-18,22,35.23,18.83,-1.02,6290,6657,498125,420729
2026-08-27_1451,FXI,60,2026-10-16,50,35.23,20.06,-2.36,8755,2213,111781,93687
2026-08-27_1451,FXI,91,2026-11-20,85,35.23,21.76,1.6,2525,24458,95358,149325
2026-08-27_1451,FXI,182,2027-02-19,176,35.23,22.34,-2.56,96,330,33621,16784
2026-08-27_1451,GDX,30,2026-09-18,22,103.47,45.44,1.96,11066,8627,229536,366755
2026-08-27_1451,GDX,60,2026-10-16,50,103.47,46.44,2.78,2380,10943,43755,55647
2026-08-27_1451,GDX,91,2026-11-20,85,103.47,47.01,2.66,1631,4426,21735,153011
2026-08-27_1451,GDX,182,2027-03-19,204,103.47,46.06,6.78,438,637,33664,50480
2026-08-27_1451,GLD,30,2026-09-18,22,422.68,24.52,0.84,13850,10060,1306830,216373
2026-08-27_1451,GLD,60,2026-10-16,50,422.68,25.14,1.49,14252,2791,233375,127995
2026-08-27_1451,GLD,91,2026-11-20,85,422.68,25.64,1.77,10833,4435,365311,344468
2026-08-27_1451,GLD,182,2027-02-19,176,422.68,25.09,1.79,785,867,4623,795
2026-08-27_1451,GOOGL,30,2026-09-18,22,340.66,26.7,0.1,12010,4177,242590,174142
2026-08-27_1451,GOOGL,60,2026-10-16,50,340.66,28.43,0.13,121499,2079,203755,89386
2026-08-27_1451,GOOGL,91,2026-11-20,85,340.66,32.6,-0.1,3071,1662,89320,59674
2026-08-27_1451,GOOGL,182,2027-02-19,176,340.66,33.18,0.06,367,1608,11962,20216
2026-08-27_1451,IBIT,30,2026-09-18,22,45.34,41.05,2.75,55081,28568,649729,442073
2026-08-27_1451,IBIT,60,2026-10-16,50,45.34,41.24,1.98,75386,13111,343223,235478
2026-08-27_1451,IBIT,91,2026-11-20,85,45.34,42.63,1.5,16733,25465,212924,191033
2026-08-27_1451,IBIT,182,2027-02-19,176,45.34,44.23,1.55,3765,1246,13109,7766
2026-08-27_1451,IGV,30,2026-09-18,22,109.99,31.46,-0.65,20491,8859,90303,83943
2026-08-27_1451,IGV,60,2026-10-16,50,109.99,31.78,-2.06,3855,9994,18458,26737
2026-08-27_1451,IGV,91,2026-11-20,85,109.99,32.48,-1.7,6266,491,36620,81946
2026-08-27_1451,IGV,182,2027-02-19,176,109.99,32.04,-2.63,198,443,4137,2819
2026-08-27_1451,IONQ,30,2026-09-18,22,42.23,79.56,7.49,2475,1068,68522,64389
2026-08-27_1451,IONQ,60,2026-10-16,50,42.23,79.44,5.85,1105,540,21812,37174
2026-08-27_1451,IONQ,91,2026-11-20,85,42.23,83.31,7.74,605,157,31181,13996
2026-08-27_1451,IONQ,182,2027-03-19,204,42.23,80.33,10.59,333,161,14112,5327
2026-08-27_1451,IWM,30,2026-09-18,22,299.74,16.55,-3.67,10861,76877,635253,1401208
