stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-27_1151,AAOI,30,2026-09-18,22,112.46,92.13,4.86,1317,380,31528,24709
2026-08-27_1151,AAOI,60,2026-10-16,50,112.46,92.96,2.79,1485,237,4870,4765
2026-08-27_1151,AAOI,91,2026-12-18,113,112.46,100.37,3.79,524,172,16464,10333
2026-08-27_1151,AAOI,182,2027-03-19,204,112.46,99.5,,162,147,2457,2160
2026-08-27_1151,AAPL,30,2026-09-18,22,314.6,24.74,-0.7,27701,6402,390715,245981
2026-08-27_1151,AAPL,60,2026-10-16,50,314.6,24.51,-1.13,8924,2686,281383,152804
2026-08-27_1151,AAPL,91,2026-11-20,85,314.6,26.22,-1.95,4356,1397,167405,106514
2026-08-27_1151,AAPL,182,2027-02-19,176,314.6,26.24,-2.06,1568,1189,40495,36791
2026-08-27_1151,AMD,30,2026-09-18,22,473.94,51.76,1.32,3656,5493,136146,202074
2026-08-27_1151,AMD,60,2026-10-16,50,473.94,52.6,0.98,1453,2334,53948,67523
2026-08-27_1151,AMD,91,2026-11-20,85,473.94,57.73,1.6,800,427,78088,64282
2026-08-27_1151,AMD,182,2027-02-19,176,473.94,57.24,1.58,419,479,8493,15000
2026-08-27_1151,AMZN,30,2026-09-18,22,256.39,27.99,-0.84,22971,4864,385731,244086
2026-08-27_1151,AMZN,60,2026-10-16,50,256.39,29.47,-0.85,12984,3398,196481,147407
2026-08-27_1151,AMZN,91,2026-11-20,85,256.39,34.49,-1.23,8441,1103,217876,91899
2026-08-27_1151,AMZN,182,2027-02-19,176,256.39,34.45,-1.13,1856,317,19932,23550
2026-08-27_1151,CRWV,30,2026-09-18,22,87.63,73.75,1.7,5871,3779,263509,141209
2026-08-27_1151,CRWV,60,2026-10-16,50,87.63,75.88,2.28,2014,1636,118963,126431
2026-08-27_1151,CRWV,91,2026-11-20,85,87.63,80.87,1.79,1284,239,54760,41682
2026-08-27_1151,CRWV,182,2027-02-19,176,87.63,80.27,0.75,581,440,6667,7626
2026-08-27_1151,DRAM,30,2026-09-18,22,56.27,61.4,-2.56,11943,6075,342059,195404
