stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-18_1252,AAOI,30,2026-09-18,31,134.7,106.26,4.1,3855,1822,28205,21443
2026-08-18_1252,AAOI,60,2026-10-02,45,134.7,108.77,4.33,243,245,641,553
2026-08-18_1252,AAOI,91,2026-12-18,122,134.7,113.24,2.81,1497,577,13488,8730
2026-08-18_1252,AAOI,182,2027-03-19,213,134.7,115.53,,291,107,2322,902
2026-08-18_1252,AAPL,30,2026-09-18,31,310.53,23.92,-0.76,34760,9216,351452,239661
2026-08-18_1252,AAPL,60,2026-10-16,59,310.53,24.2,-1.11,12707,5107,264188,130365
2026-08-18_1252,AAPL,91,2026-11-20,94,310.53,26.26,-1.62,7389,2211,155413,95989
2026-08-18_1252,AAPL,182,2027-02-19,185,310.53,26.82,-1.72,2222,508,35138,26832
2026-08-18_1252,AMD,30,2026-09-18,31,479.39,53.76,0.94,8243,8474,125757,200246
2026-08-18_1252,AMD,60,2026-10-16,59,479.39,55.96,1.48,2741,3162,51330,60742
2026-08-18_1252,AMD,91,2026-11-20,94,479.39,59.33,1.48,1126,1928,62985,63278
2026-08-18_1252,AMD,182,2027-02-19,185,479.39,59.24,2.06,1755,2191,8748,11777
2026-08-18_1252,AMZN,30,2026-09-18,31,261.78,28.62,-0.39,24445,9123,339751,221566
2026-08-18_1252,AMZN,60,2026-10-16,59,261.78,29.49,-0.51,8167,1749,167473,132608
2026-08-18_1252,AMZN,91,2026-11-20,94,261.78,34.33,-0.63,4444,3734,189663,84386
2026-08-18_1252,AMZN,182,2027-02-19,185,261.78,34.78,-0.88,692,844,15974,16460
2026-08-18_1252,CRWV,30,2026-09-18,31,96.42,76.15,1.28,11185,13640,251070,124760
2026-08-18_1252,CRWV,60,2026-10-16,59,96.42,77.31,1.86,7690,21967,103635,67115
2026-08-18_1252,CRWV,91,2026-11-20,94,96.42,81.88,0.64,1287,1664,46872,39524
2026-08-18_1252,CRWV,182,2027-02-19,185,96.42,79.46,,880,298,3932,4155
2026-08-18_1252,DRAM,30,2026-09-18,31,55.7,71.63,-1.67,32267,19026,302112,179711
2026-08-18_1252,DRAM,60,2026-10-16,59,55.7,72.52,-0.39,5354,4706,144412,86665
2026-08-18_1252,DRAM,91,2026-11-20,94,55.7,71.96,1.26,15298,2979,94410,35089
2026-08-18_1252,DRAM,182,2027-02-19,185,55.7,73.32,,3955,3108,8638,8772
2026-08-18_1252,EEM,30,2026-09-18,31,65.53,25.41,-3.39,11187,30232,559777,937155
2026-08-18_1252,EEM,60,2026-10-16,59,65.53,24.82,-3.8,738,4474,107480,228669
2026-08-18_1252,EEM,91,2026-11-20,94,65.53,25.83,-2.48,853,3669,12339,50621
2026-08-18_1252,EEM,182,2027-03-19,213,65.53,26.22,1.82,730,15189,44178,193511
2026-08-18_1252,EWY,30,2026-09-18,31,172.08,56.51,-4.74,12730,5318,146729,47989
2026-08-18_1252,EWY,60,2026-10-16,59,172.08,56.5,-3.87,1922,1051,82352,95489
2026-08-18_1252,EWY,91,2026-11-20,94,172.08,54.76,-2.03,751,2675,8304,5872
2026-08-18_1252,EWY,182,2027-03-19,213,172.08,50.85,-1.55,5640,378,23717,25848
2026-08-18_1252,FXI,30,2026-09-18,31,35.05,20.06,-1.71,666,7890,495821,409255
2026-08-18_1252,FXI,60,2026-10-16,59,35.05,20.29,-1.97,1224,15844,107086,85890
2026-08-18_1252,FXI,91,2026-11-20,94,35.05,21.84,-1.25,371,727,93486,115853
2026-08-18_1252,FXI,182,2027-02-19,185,35.05,27.27,-11.15,126,500,33908,16771
2026-08-18_1252,GDX,30,2026-09-18,31,89.71,42.9,1.16,3852,11627,223266,317994
2026-08-18_1252,GDX,60,2026-10-16,59,89.71,43.85,4.03,2336,2141,36556,42502
2026-08-18_1252,GDX,91,2026-11-20,94,89.71,43.24,1.44,1214,315,14837,120261
2026-08-18_1252,GDX,182,2027-03-19,213,89.71,43.8,5.29,1192,1552,30356,47038
2026-08-18_1252,GLD,30,2026-09-18,31,400.49,22.25,0.43,12971,7859,1339586,197470
2026-08-18_1252,GLD,60,2026-10-16,59,400.49,22.58,0.74,3134,1627,131608,94809
2026-08-18_1252,GLD,91,2026-11-20,94,400.49,23.04,0.82,14386,558,314341,331413
2026-08-18_1252,GLD,182,2027-02-19,185,400.49,20.43,4.88,243,35,708,97
2026-08-18_1252,GOOGL,30,2026-09-18,31,343.62,27.83,-0.11,5194,4456,219378,169412
2026-08-18_1252,GOOGL,60,2026-10-16,59,343.62,29.17,-0.16,4718,1808,193345,78517
2026-08-18_1252,GOOGL,91,2026-11-20,94,343.62,32.85,-0.21,1138,717,81045,53958
2026-08-18_1252,GOOGL,182,2027-02-19,185,343.62,33.38,0.08,248,1157,10337,15994
2026-08-18_1252,IBIT,30,2026-09-18,31,36.71,34.45,-2.44,28221,4239,575798,377330
2026-08-18_1252,IBIT,60,2026-10-16,59,36.71,37.05,-3.3,4483,6155,222050,188007
2026-08-18_1252,IBIT,91,2026-11-20,94,36.71,39.64,-3.94,6000,15589,169487,84970
2026-08-18_1252,IBIT,182,2027-02-19,185,36.71,41.76,-3.64,300,995,8812,6185
2026-08-18_1252,IGV,30,2026-09-18,31,102.67,30.52,-1.5,3250,4601,52974,100860
2026-08-18_1252,IGV,60,2026-10-16,59,102.67,32.14,-2.08,700,5620,16579,22958
2026-08-18_1252,IGV,91,2026-11-20,94,102.67,32.58,-2.85,362,449,34945,78571
2026-08-18_1252,IGV,182,2027-02-19,185,102.67,32.8,-2.99,102,619,4034,2520
2026-08-18_1252,IONQ,30,2026-09-18,31,45.48,79.76,3.65,2413,1016,50842,50381
2026-08-18_1252,IONQ,60,2026-10-16,59,45.48,79.56,6.04,1248,332,19927,37042
2026-08-18_1252,IONQ,91,2026-11-20,94,45.48,83.76,7.25,476,172,30363,12506
2026-08-18_1252,IONQ,182,2027-03-19,213,45.48,82.94,7.93,1222,291,8775,4942
2026-08-18_1252,IWM,30,2026-09-18,31,301.18,17.18,-4.89,21862,284568,551469,1126065
2026-08-18_1252,IWM,60,2026-10-16,59,301.18,18.27,-4.72,2120,17817,83029,246296
2026-08-18_1252,IWM,91,2026-11-20,94,301.18,19.35,-4.72,2569,5805,114024,153076
2026-08-18_1252,IWM,182,2027-02-19,185,301.18,20.1,-4.8,134,586,4281,22204
2026-08-18_1252,KRE,30,2026-09-18,31,76.64,21.39,-2.54,887,43582,142286,181262
2026-08-18_1252,KRE,60,2026-10-16,59,76.64,23.5,-3.33,1043,13833,168096,147830
2026-08-18_1252,KRE,91,2026-11-20,94,76.64,23.93,-3.3,224,3552,79678,52174
2026-08-18_1252,KRE,182,2027-03-19,213,76.64,23.98,-3.12,486,310,14855,17849
2026-08-18_1252,KWEB,30,2026-09-18,31,26.77,27.76,-0.51,4710,28383,571271,219462
2026-08-18_1252,KWEB,60,2026-10-02,45,26.77,29.08,4.28,4,15000,174,15013
2026-08-18_1252,KWEB,91,2026-11-20,94,26.77,30.18,0.72,812,819,108385,37920
2026-08-18_1252,KWEB,182,2027-02-19,185,26.77,42.7,11.9,163,618,1957,4245
2026-08-18_1252,META,30,2026-09-18,31,550.28,34.41,0.25,24365,20921,163954,193594
2026-08-18_1252,META,60,2026-10-16,59,550.28,35.51,0.34,13978,4930,111149,51358
2026-08-18_1252,META,91,2026-11-20,94,550.28,40.74,0.52,7898,3140,139913,54258
2026-08-18_1252,META,182,2027-02-19,185,550.28,40.79,0.53,954,1179,5768,9046
2026-08-18_1252,MSFT,30,2026-09-18,31,481.81,25.98,-2.05,6866,2573,407937,174212
2026-08-18_1252,MSFT,60,2026-10-16,59,481.81,26.92,-2.02,11591,9533,219861,98540
2026-08-18_1252,MSFT,91,2026-11-20,94,481.81,30.77,-2.28,1774,1537,142901,69667
2026-08-18_1252,MSFT,182,2027-03-19,213,481.81,30.8,-1.48,714,1220,75593,82607
2026-08-18_1252,MU,30,2026-09-18,31,942.96,65.73,0.68,17811,10222,109306,151205
2026-08-18_1252,MU,60,2026-10-16,59,942.96,70.27,1.9,7401,4176,58650,98805
2026-08-18_1252,MU,91,2026-11-20,94,942.96,70.3,2.8,1276,2101,44978,66441
2026-08-18_1252,MU,182,2027-02-19,185,942.96,69.84,2.84,1610,1364,10775,22458
2026-08-18_1252,NBIS,30,2026-09-18,31,249.97,95.15,1.36,4915,7013,69240,107122
2026-08-18_1252,NBIS,60,2026-10-16,59,249.97,96.82,1.52,2151,2144,15851,22760
2026-08-18_1252,NBIS,91,2026-11-20,94,249.97,101.72,2.58,980,1960,17365,18271
2026-08-18_1252,NBIS,182,2027-02-19,185,249.97,101.2,,832,815,5937,3908
2026-08-18_1252,NVDA,30,2026-09-18,31,220.34,38.97,-2.22,66901,43095,832162,727147
2026-08-18_1252,NVDA,60,2026-10-16,59,220.34,37.51,-1.88,13618,11604,484553,389131
2026-08-18_1252,NVDA,91,2026-11-20,94,220.34,39.3,-2.06,7793,5280,222505,233362
2026-08-18_1252,NVDA,182,2027-02-19,185,220.34,38.84,-1.8,1564,4311,33869,48039
2026-08-18_1252,ONDS,30,2026-09-18,31,9.03,79.91,7.61,10269,6173,272153,79816
2026-08-18_1252,ONDS,60,2026-10-16,59,9.03,81.46,8.11,810,557,17180,7186
2026-08-18_1252,ONDS,91,2026-11-20,94,9.03,87.08,8.81,935,374,7425,4220
2026-08-18_1252,ONDS,182,2027-03-19,213,9.03,92.95,10.91,1244,603,38936,6039
2026-08-18_1252,OWL,30,2026-09-18,31,11.64,43.57,-3.12,423,767,21963,103776
2026-08-18_1252,OWL,60,2026-10-16,59,11.64,44.82,0.7,1295,296,41461,39063
2026-08-18_1252,OWL,91,2026-11-20,94,11.64,47.64,-3.95,429,352,16650,18194
2026-08-18_1252,OWL,182,2027-02-19,185,11.64,47.1,-3.26,647,81,11306,14922
2026-08-18_1252,QQQ,30,2026-09-18,31,719.54,19.39,-5.08,53731,62961,895970,1005878
2026-08-18_1252,QQQ,60,2026-10-16,59,719.54,20.3,-5.32,8621,13911,282154,303023
2026-08-18_1252,QQQ,91,2026-11-20,94,719.54,21.55,-5.33,7366,10873,121596,113975
2026-08-18_1252,QQQ,182,2027-02-19,185,719.54,22.46,-5.03,477,473,25509,49524
2026-08-18_1252,RKLB,30,2026-09-18,31,80.85,77.78,3.15,3427,1660,52775,41805
2026-08-18_1252,RKLB,60,2026-10-16,59,80.85,79.58,1.01,1650,3645,39942,36558
2026-08-18_1252,RKLB,91,2026-12-18,122,80.85,80.16,1.68,1255,1113,47498,61778
2026-08-18_1252,RKLB,182,2027-03-19,213,80.85,81.62,1.04,517,523,22516,20154
2026-08-18_1252,SLV,30,2026-09-18,31,57.78,40.22,2.75,24560,2781,773024,381760
2026-08-18_1252,SLV,60,2026-10-16,59,57.78,41.65,4.22,8109,2574,266488,119899
2026-08-18_1252,SLV,91,2026-11-20,94,57.78,42.34,5.37,9242,1278,123528,64862
2026-08-18_1252,SLV,182,2027-03-19,213,57.78,42.34,7.83,12880,992,145639,67780
