stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-28_0951,AAOI,30,2026-09-18,21,109.15,92.14,6.1,2483,458,32446,24773
2026-08-28_0951,AAOI,60,2026-10-16,49,109.15,93.18,5.17,315,365,6009,5031
2026-08-28_0951,AAOI,91,2026-12-18,112,109.15,99.09,4.7,666,281,16520,10481
2026-08-28_0951,AAOI,182,2027-03-19,203,109.15,101.02,,104,400,2513,2378
2026-08-28_0951,AAPL,30,2026-09-18,21,315.68,24.43,-0.29,5279,1260,393072,250032
2026-08-28_0951,AAPL,60,2026-10-16,49,315.68,24.5,-1.09,1754,1019,282946,153933
2026-08-28_0951,AAPL,91,2026-11-20,84,315.68,26.24,-2.11,1506,3656,172313,109412
2026-08-28_0951,AAPL,182,2027-02-19,175,315.68,26.94,-2.38,1905,2399,40605,37740
2026-08-28_0951,AMD,30,2026-09-18,21,473.29,50.86,0.83,2529,5760,137672,203583
2026-08-28_0951,AMD,60,2026-10-16,49,473.29,52.3,1.25,1563,1375,54636,66891
2026-08-28_0951,AMD,91,2026-11-20,84,473.29,56.46,1.24,934,786,78317,62855
2026-08-28_0951,AMD,182,2027-02-19,175,473.29,56.97,1.85,529,564,8612,14056
2026-08-28_0951,AMZN,30,2026-09-18,21,259.24,27.42,-1.01,3923,6137,390203,243866
2026-08-28_0951,AMZN,60,2026-10-16,49,259.24,29.43,-1.25,3410,3101,205987,148780
2026-08-28_0951,AMZN,91,2026-11-20,84,259.24,34.46,-1.31,2992,1693,214969,93727
2026-08-28_0951,AMZN,182,2027-02-19,175,259.24,34.7,-1.41,1209,2848,21131,25469
2026-08-28_0951,CRWV,30,2026-09-18,21,87.04,73.77,2.12,1014,1368,262193,141236
2026-08-28_0951,CRWV,60,2026-10-16,49,87.04,75.55,4.16,2010,1113,119674,126826
2026-08-28_0951,CRWV,91,2026-11-20,84,87.04,81.11,0.03,1275,684,54973,43605
2026-08-28_0951,CRWV,182,2027-02-19,175,87.04,81.05,0.04,390,873,6869,8032
2026-08-28_0951,DRAM,30,2026-09-18,21,56.44,58.98,-1.16,1908,4030,343660,198877
2026-08-28_0951,DRAM,60,2026-10-16,49,56.44,63.39,1.1,5836,1879,186894,99780
2026-08-28_0951,DRAM,91,2026-11-20,84,56.44,65.5,0.21,6896,1811,107616,44831
2026-08-28_0951,DRAM,182,2027-02-19,175,56.44,65.09,1.96,379,2267,9453,12436
2026-08-28_0951,EEM,30,2026-09-18,21,67.73,24.68,1.91,1572,14447,557974,977660
2026-08-28_0951,EEM,60,2026-10-16,49,67.73,23.49,-2.48,2645,1467,119402,259654
2026-08-28_0951,EEM,91,2026-11-20,84,67.73,25.59,-1.15,3137,19066,39840,157132
2026-08-28_0951,EEM,182,2027-03-19,203,67.73,24.3,-2.48,5413,10484,59536,224887
2026-08-28_0951,EWY,30,2026-09-18,21,182.11,46.43,-1.74,6763,4252,167469,60216
2026-08-28_0951,EWY,60,2026-10-16,49,182.11,46.9,2.12,2771,4096,84741,98197
