stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-25_1351,AAOI,30,2026-10-16,21,102.14,84.64,6.53,3927,824,18048,12115
2026-09-25_1351,AAOI,60,2026-11-20,56,102.14,96.93,,210,458,4889,4296
2026-09-25_1351,AAOI,91,2026-12-18,84,102.14,92.97,4.68,218,139,20452,13452
2026-09-25_1351,AAOI,182,2027-03-19,175,102.14,93.62,5.06,177,295,4150,4155
2026-09-25_1351,AAPL,30,2026-10-16,21,340.01,21.31,-1.66,19104,25550,394003,206442
2026-09-25_1351,AAPL,60,2026-11-20,56,340.01,25.01,-2.28,8503,2837,218064,150386
2026-09-25_1351,AAPL,91,2026-12-18,84,340.01,24.67,-2.44,3746,3038,297883,222574
2026-09-25_1351,AAPL,182,2027-03-19,175,340.01,25.63,-2.43,1059,2211,87283,104671
2026-09-25_1351,AMD,30,2026-10-16,21,629.63,49.93,1.13,10579,12183,108697,103207
2026-09-25_1351,AMD,60,2026-11-20,56,629.63,57.71,1.22,3452,3663,88389,84350
2026-09-25_1351,AMD,91,2026-12-18,84,629.63,56.3,1.48,3950,6725,91441,103570
2026-09-25_1351,AMD,182,2027-03-19,175,629.63,56.44,1.63,2322,1333,52613,78868
2026-09-25_1351,AMZN,30,2026-10-16,21,249.97,28.44,-0.61,29816,9600,344809,209247
2026-09-25_1351,AMZN,60,2026-11-20,56,249.97,36.97,-0.68,10231,3687,340341,158091
2026-09-25_1351,AMZN,91,2026-12-18,84,249.97,34.97,-0.81,4855,6509,253718,196786
2026-09-25_1351,AMZN,182,2027-03-19,175,249.97,34.78,-0.5,2752,1832,85313,125057
2026-09-25_1351,CRWV,30,2026-10-16,21,87.63,68.1,2.42,10201,4411,197723,160804
2026-09-25_1351,CRWV,60,2026-11-20,56,87.63,77.09,2.46,3519,2323,73857,80792
2026-09-25_1351,CRWV,91,2026-12-18,84,87.63,75.32,1.87,2680,938,76893,85031
2026-09-25_1351,CRWV,182,2027-03-19,175,87.63,74.13,1.92,773,701,55768,47532
2026-09-25_1351,DRAM,30,2026-10-16,21,61.87,55.93,0.96,6507,6498,256855,166065
2026-09-25_1351,DRAM,60,2026-11-20,56,61.87,58.58,1.85,1595,881,155772,75397
2026-09-25_1351,DRAM,91,2026-12-18,84,61.87,59.23,1.4,2377,549,211826,97903
2026-09-25_1351,DRAM,182,2027-03-19,175,61.87,62.02,5.18,1359,382,47986,60322
2026-09-25_1351,EEM,30,2026-10-16,21,67.86,21.88,-2.16,2423,27837,203493,388779
2026-09-25_1351,EEM,60,2026-11-20,56,67.86,22.64,-4.98,2855,3548,54119,215297
2026-09-25_1351,EEM,91,2026-12-18,84,67.86,24.8,-2.54,670,12195,606825,869584
2026-09-25_1351,EEM,182,2027-03-19,175,67.86,26.94,-1.75,695,13211,65456,272726
2026-09-25_1351,EWY,30,2026-10-16,21,187.0,43.77,-0.79,1408,10669,92791,123451
2026-09-25_1351,EWY,60,2026-11-20,56,187.0,45.42,-0.97,1485,3902,30852,63464
2026-09-25_1351,EWY,91,2026-12-18,84,187.0,46.48,-1.82,222,1016,99694,52179
2026-09-25_1351,EWY,182,2027-03-19,175,187.0,43.64,-1.77,1142,230,45854,34107
2026-09-25_1351,FXI,30,2026-10-16,21,33.92,18.85,0.4,1666,1629,218681,134354
2026-09-25_1351,FXI,60,2026-11-20,56,33.92,20.14,-1.69,1412,580,122914,206513
2026-09-25_1351,FXI,91,2026-12-18,84,33.92,23.27,-0.99,1625,22125,412484,453154
2026-09-25_1351,FXI,182,2027-03-19,175,33.92,21.08,1.01,208,7935,156715,150542
2026-09-25_1351,GDX,30,2026-10-16,21,92.6,40.36,1.07,3406,4244,89786,98038
2026-09-25_1351,GDX,60,2026-11-20,56,92.6,41.78,2.14,2122,2537,38578,186480
