stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-22_1050,AAOI,30,2026-10-16,24,105.36,89.61,3.82,830,242,15256,11158
2026-09-22_1050,AAOI,60,2026-11-20,59,105.36,98.8,,144,634,3912,1927
2026-09-22_1050,AAOI,91,2026-12-18,87,105.36,93.47,7.01,311,127,19699,13282
2026-09-22_1050,AAOI,182,2027-03-19,178,105.36,96.87,,167,241,4049,4232
2026-09-22_1050,AAPL,30,2026-10-16,24,341.57,22.97,-2.37,17642,8803,384213,202169
2026-09-22_1050,AAPL,60,2026-11-20,59,341.57,25.75,-2.42,12363,3748,207945,143935
2026-09-22_1050,AAPL,91,2026-12-18,87,341.57,25.2,-2.48,4172,2471,289009,218314
2026-09-22_1050,AAPL,182,2027-03-19,178,341.57,25.85,-2.66,2045,807,82718,100777
2026-09-22_1050,AMD,30,2026-10-16,24,616.38,52.36,1.73,7316,5137,101089,91892
2026-09-22_1050,AMD,60,2026-11-20,59,616.38,58.78,1.63,2176,2293,84135,76347
2026-09-22_1050,AMD,91,2026-12-18,87,616.38,56.67,1.81,4781,2392,90996,101348
2026-09-22_1050,AMD,182,2027-03-19,178,616.38,57.03,1.39,1970,823,52093,78108
2026-09-22_1050,AMZN,30,2026-10-16,24,256.69,29.76,-0.18,17036,8477,322922,197689
2026-09-22_1050,AMZN,60,2026-11-20,59,256.69,37.37,-0.5,6186,2168,325882,143056
2026-09-22_1050,AMZN,91,2026-12-18,87,256.69,35.46,-0.66,4671,953,257650,188129
2026-09-22_1050,AMZN,182,2027-03-19,178,256.69,35.59,-0.99,2762,2204,80894,122349
2026-09-22_1050,CRWV,30,2026-10-16,24,86.82,75.03,4.36,7558,2582,207221,149046
2026-09-22_1050,CRWV,60,2026-11-20,59,86.82,82.85,3.79,2974,2604,68932,75831
2026-09-22_1050,CRWV,91,2026-12-18,87,86.82,79.36,4.27,2723,1036,74743,86307
2026-09-22_1050,CRWV,182,2027-03-19,178,86.82,80.56,1.86,951,250,53104,46797
2026-09-22_1050,DRAM,30,2026-10-16,24,62.79,60.71,0.53,7608,4646,260029,157715
2026-09-22_1050,DRAM,60,2026-11-20,59,62.79,63.21,0.84,5255,775,154912,70454
2026-09-22_1050,DRAM,91,2026-12-18,87,62.79,60.49,0.14,1781,1214,210505,95471
2026-09-22_1050,DRAM,182,2027-03-19,178,62.79,63.48,4.19,2045,725,47860,60312
2026-09-22_1050,EEM,30,2026-10-16,24,68.8,22.87,-1.89,4311,18391,201053,367550
2026-09-22_1050,EEM,60,2026-11-20,59,68.8,23.85,-3.0,3126,5956,51093,220151
2026-09-22_1050,EEM,91,2026-12-18,87,68.8,25.57,-2.34,6043,14363,606243,869408
2026-09-22_1050,EEM,182,2027-03-19,178,68.8,24.78,-0.95,1915,13242,65673,272620
2026-09-22_1050,EWY,30,2026-10-16,24,190.44,44.79,-1.3,473,4122,89640,114029
2026-09-22_1050,EWY,60,2026-11-20,59,190.44,46.39,-3.19,1547,2814,30146,55881
2026-09-22_1050,EWY,91,2026-12-18,87,190.44,46.69,-9.44,1171,217,98634,52313
2026-09-22_1050,EWY,182,2027-03-19,178,190.44,45.1,-1.18,2460,1713,45287,34938
2026-09-22_1050,FXI,30,2026-10-16,24,35.0,21.67,1.44,8543,2056,212930,125358
2026-09-22_1050,FXI,60,2026-11-20,59,35.0,21.62,1.46,11005,2166,122224,205650
2026-09-22_1050,FXI,91,2026-12-18,87,35.0,35.62,-9.82,4084,19843,417906,444603
2026-09-22_1050,FXI,182,2027-03-19,178,35.0,26.2,-0.25,351,12291,151777,151510
2026-09-22_1050,GDX,30,2026-10-16,24,95.08,41.3,1.24,1172,1304,80341,90467
2026-09-22_1050,GDX,60,2026-11-20,59,95.08,41.93,2.49,1384,1453,35154,183722
2026-09-22_1050,GDX,91,2026-12-18,87,95.08,41.68,2.42,6235,2005,209320,240994
2026-09-22_1050,GDX,182,2027-03-19,178,95.08,41.84,2.22,3343,3823,43153,61568
2026-09-22_1050,GLD,30,2026-10-16,24,396.16,20.72,0.82,8548,6554,269739,189953
2026-09-22_1050,GLD,60,2026-11-20,59,396.16,22.51,1.24,2423,784,387515,365435
2026-09-22_1050,GLD,91,2026-12-18,87,396.16,22.4,1.4,7407,1582,496547,80711
2026-09-22_1050,GLD,182,2027-03-19,178,396.16,22.8,1.53,3112,2807,146666,87553
2026-09-22_1050,GOOGL,30,2026-10-16,24,361.48,30.81,0.13,24133,5288,300750,114656
2026-09-22_1050,GOOGL,60,2026-11-20,59,361.48,35.48,-0.15,8401,1314,179029,74906
2026-09-22_1050,GOOGL,91,2026-12-18,87,361.48,33.82,-0.08,5799,1041,189796,121444
