stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-10_1250,AAPL,30,2026-09-18,39,305.87,24.98,-0.61,30320,11277,339054,231453
2026-08-10_1250,AAPL,60,2026-10-16,67,305.87,24.82,-1.02,27874,5238,243684,123779
2026-08-10_1250,AAPL,91,2026-11-20,102,305.87,26.45,-1.5,4893,2321,152730,92504
2026-08-10_1250,AAPL,182,2027-02-19,193,305.87,26.99,-2.02,2193,628,30833,22733
2026-08-10_1250,AMD,30,2026-09-18,39,474.61,58.97,1.09,4913,5844,109441,184264
2026-08-10_1250,AMD,60,2026-10-16,67,474.61,59.43,1.41,2321,3010,47737,55492
2026-08-10_1250,AMD,91,2026-11-20,102,474.61,61.81,2.12,1096,1106,62407,59875
2026-08-10_1250,AMD,182,2027-02-19,193,474.61,62.48,1.89,263,448,5258,9719
2026-08-10_1250,AMZN,30,2026-09-18,39,277.27,30.76,-0.55,12451,7281,333482,227313
2026-08-10_1250,AMZN,60,2026-10-16,67,277.27,31.63,-0.8,6318,7236,145233,122217
2026-08-10_1250,AMZN,91,2026-11-20,102,277.27,35.43,-1.05,2393,2299,183231,79172
2026-08-10_1250,AMZN,182,2027-02-19,193,277.27,35.76,-0.94,581,529,13894,11001
2026-08-10_1250,CRWV,30,2026-09-18,39,90.12,94.37,1.89,4352,1354,258183,106969
2026-08-10_1250,CRWV,60,2026-10-16,67,90.12,91.57,-0.05,2591,1077,93526,60022
2026-08-10_1250,CRWV,91,2026-11-20,102,90.12,92.49,0.24,459,926,42755,37806
2026-08-10_1250,CRWV,182,2027-02-19,193,90.12,87.17,,138,438,2018,2214
2026-08-10_1250,DRAM,30,2026-09-18,39,50.17,71.74,-3.12,9663,3215,266413,153816
2026-08-10_1250,DRAM,60,2026-10-16,67,50.17,70.04,1.97,5895,1683,95590,85108
2026-08-10_1250,DRAM,91,2026-11-20,102,50.17,69.56,2.27,2222,978,60356,33460
2026-08-10_1250,DRAM,182,2027-02-19,193,50.17,72.24,1.1,305,225,3343,7224
2026-08-10_1250,EEM,30,2026-09-18,39,65.23,27.55,-1.29,19654,16261,499862,914334
2026-08-10_1250,EEM,60,2026-10-16,67,65.23,27.76,1.81,11252,4307,98561,162865
2026-08-10_1250,EEM,91,2026-11-20,102,65.23,28.27,0.07,7989,7926,12113,43858
2026-08-10_1250,EEM,182,2027-01-15,158,65.23,27.23,-0.66,1022,20773,175341,251186
2026-08-10_1250,FXI,30,2026-09-18,39,36.4,19.72,-0.72,4002,3532,459343,411002
2026-08-10_1250,FXI,60,2026-10-16,67,36.4,20.81,-0.29,9283,10704,77911,60932
2026-08-10_1250,FXI,91,2026-11-20,102,36.4,22.83,2.61,7552,1250,92323,105450
2026-08-10_1250,FXI,182,2027-02-19,193,36.4,22.94,-0.09,142,455,33914,16472
2026-08-10_1250,GDX,30,2026-09-18,39,89.43,44.24,2.38,3640,10974,202641,306351
2026-08-10_1250,GDX,60,2026-10-16,67,89.43,44.07,6.42,3509,2239,26624,31229
2026-08-10_1250,GDX,91,2026-11-20,102,89.43,44.13,1.82,1247,459,12659,119620
2026-08-10_1250,GDX,182,2027-01-15,158,89.43,43.76,2.13,2959,5218,120014,176478
2026-08-10_1250,GLD,30,2026-09-18,39,399.4,24.66,1.4,19568,4628,1037455,209463
2026-08-10_1250,GLD,60,2026-10-16,67,399.4,24.45,1.58,9600,1796,108971,89429
2026-08-10_1250,GLD,91,2026-11-20,102,399.4,24.3,1.72,1874,408,214593,199612
2026-08-10_1250,GLD,182,2027-01-15,158,399.4,23.84,1.75,20801,97186,399822,297633
2026-08-10_1250,GOOGL,30,2026-09-18,39,354.4,29.99,-0.33,9614,4961,200392,163385
2026-08-10_1250,GOOGL,60,2026-10-16,67,354.4,31.07,-0.4,3948,1629,180777,68776
2026-08-10_1250,GOOGL,91,2026-11-20,102,354.4,33.42,-0.96,1391,2473,73666,49885
2026-08-10_1250,GOOGL,182,2027-02-19,193,354.4,34.5,-0.76,698,607,5388,12560
2026-08-10_1250,IGV,30,2026-09-18,39,105.0,31.53,-1.0,3457,2930,35723,88514
2026-08-10_1250,IGV,60,2026-10-16,67,105.0,34.79,-1.87,799,529,13475,12655
2026-08-10_1250,IGV,91,2026-11-20,102,105.0,32.77,-1.63,842,333,34085,67444
2026-08-10_1250,IGV,182,2027-02-19,193,105.0,33.33,-2.21,104,497,3972,1587
2026-08-10_1250,IONQ,30,2026-09-18,39,43.32,87.39,5.92,1236,945,45924,50823
2026-08-10_1250,IONQ,60,2026-10-16,67,43.32,86.93,7.13,417,620,18721,36147
2026-08-10_1250,IONQ,91,2026-11-20,102,43.32,91.69,8.91,777,183,29096,12196
2026-08-10_1250,IONQ,182,2027-01-15,158,43.32,85.68,,660,164,58866,61498
2026-08-10_1250,IWM,30,2026-09-18,39,299.87,18.09,-3.37,6652,20869,464914,973007
2026-08-10_1250,IWM,60,2026-10-16,67,299.87,18.8,-3.75,2635,11984,69687,186664
2026-08-10_1250,IWM,91,2026-11-20,102,299.87,19.65,-3.93,735,30702,110610,140927
2026-08-10_1250,IWM,182,2027-02-19,193,299.87,20.42,-4.23,110,595,3887,20132
2026-08-10_1250,KRE,30,2026-09-18,39,75.61,22.95,-2.68,5976,16929,132325,161860
2026-08-10_1250,KRE,60,2026-10-16,67,75.61,23.38,-3.1,753,329,162364,154694
2026-08-10_1250,KRE,91,2026-11-20,102,75.61,23.46,-2.76,154,3713,62919,44065
2026-08-10_1250,KRE,182,2027-01-15,158,75.61,24.2,-3.48,7643,2060,83971,310184
2026-08-10_1250,KWEB,30,2026-09-18,39,29.04,28.29,-0.0,6959,1400,566439,207762
2026-08-10_1250,KWEB,60,2026-09-18,39,29.04,28.29,-0.0,6959,1400,566439,207762
2026-08-10_1250,KWEB,91,2026-11-20,102,29.04,31.13,-0.74,6457,1471,72732,36317
2026-08-10_1250,KWEB,182,2027-02-19,193,29.04,31.54,,286,121,1796,2332
2026-08-10_1250,META,30,2026-09-18,39,593.56,35.01,0.46,11369,5833,162599,178609
2026-08-10_1250,META,60,2026-10-16,67,593.56,36.64,0.23,4749,2225,114587,43638
2026-08-10_1250,META,91,2026-11-20,102,593.56,40.65,0.56,4503,1884,140649,45745
2026-08-10_1250,META,182,2027-02-19,193,593.56,40.77,0.44,369,363,4902,6165
2026-08-10_1250,MSFT,30,2026-09-18,39,507.06,28.34,-1.82,12332,7486,340009,158090
2026-08-10_1250,MSFT,60,2026-10-16,67,507.06,28.81,-1.45,6737,6325,190444,93684
2026-08-10_1250,MSFT,91,2026-11-20,102,507.06,31.93,-1.63,3551,3382,132984,63861
2026-08-10_1250,MSFT,182,2027-01-15,158,507.06,30.9,-1.45,8573,3140,372186,180265
2026-08-10_1250,MU,30,2026-09-18,39,878.09,69.9,2.3,5822,9306,94055,146002
2026-08-10_1250,MU,60,2026-10-16,67,878.09,73.42,1.98,3113,2459,51888,93342
2026-08-10_1250,MU,91,2026-11-20,102,878.09,73.76,1.92,457,1577,38182,62948
2026-08-10_1250,MU,182,2027-02-19,193,878.09,71.81,1.65,2678,1240,7383,9708
2026-08-10_1250,NVDA,30,2026-09-18,39,217.12,39.49,-2.86,36585,17989,806813,735949
2026-08-10_1250,NVDA,60,2026-10-16,67,217.12,39.22,-2.44,10283,3426,455256,352304
2026-08-10_1250,NVDA,91,2026-11-20,102,217.12,40.91,-2.5,9851,5190,201783,225637
2026-08-10_1250,NVDA,182,2027-02-19,193,217.12,40.73,-2.25,1969,1444,27446,33074
2026-08-10_1250,ONDS,30,2026-09-18,39,9.21,109.98,11.09,15995,4095,204679,70059
2026-08-10_1250,ONDS,60,2026-10-16,67,9.21,105.07,7.88,1014,259,5060,103
2026-08-10_1250,ONDS,91,2026-11-20,102,9.21,108.2,11.77,1019,75,583,390
2026-08-10_1250,ONDS,182,2027-01-15,158,9.21,106.81,8.25,4200,714,336289,73526
2026-08-10_1250,OWL,30,2026-09-18,39,11.71,41.06,-6.6,306,177,23689,101227
2026-08-10_1250,OWL,60,2026-10-16,67,11.71,43.92,-5.72,163,202,41157,28071
2026-08-10_1250,OWL,91,2026-11-20,102,11.71,46.89,-5.39,217,161,10037,16747
2026-08-10_1250,OWL,182,2027-02-19,193,11.71,45.58,-6.91,251,1588,10439,14313
2026-08-10_1250,QQQ,30,2026-09-18,39,721.3,20.64,-3.59,41417,39570,790783,893892
2026-08-10_1250,QQQ,60,2026-10-16,67,721.3,21.26,-4.09,6875,11088,218445,269704
2026-08-10_1250,QQQ,91,2026-11-20,102,721.3,22.22,-4.34,4037,3147,77519,53584
2026-08-10_1250,QQQ,182,2027-02-19,193,721.3,22.89,-4.43,1000,1457,16877,46065
2026-08-10_1250,RKLB,30,2026-09-18,39,81.2,95.44,3.19,11321,1923,47408,34759
2026-08-10_1250,RKLB,60,2026-10-16,67,81.2,93.21,3.77,1544,1036,32359,33362
2026-08-10_1250,RKLB,91,2026-10-16,67,81.2,93.21,3.77,1544,1036,32359,33362
2026-08-10_1250,RKLB,182,2027-01-15,158,81.2,91.63,3.47,2855,4538,116775,96838
2026-08-10_1250,SLV,30,2026-09-18,39,58.65,45.2,5.83,17520,3358,720480,374334
2026-08-10_1250,SLV,60,2026-10-16,67,58.65,45.06,6.47,7142,1414,245897,117255
2026-08-10_1250,SLV,91,2026-11-20,102,58.65,44.98,7.2,3248,671,97899,58511
2026-08-10_1250,SLV,182,2027-01-15,158,58.65,44.22,8.84,17809,3741,807132,425404
2026-08-10_1250,SMH,30,2026-09-18,39,573.34,43.53,-3.67,3660,6987,137876,302234
2026-08-10_1250,SMH,60,2026-10-16,67,573.34,44.36,-4.35,1620,696,48700,62791
2026-08-10_1250,SMH,91,2026-11-20,102,573.34,44.95,-4.65,1212,572,13611,22212
2026-08-10_1250,SMH,182,2027-02-19,193,573.34,43.14,-3.89,393,1129,2633,2615
2026-08-10_1250,SPCX,30,2026-09-18,39,132.81,77.44,4.35,27375,26227,272846,381155
2026-08-10_1250,SPCX,60,2026-10-16,67,132.81,74.06,3.93,10878,8688,115176,139547
2026-08-10_1250,SPCX,91,2026-11-20,102,132.81,75.66,3.21,3119,6478,42384,84188
2026-08-10_1250,SPCX,182,2027-02-19,193,132.81,71.33,1.96,2406,528,10263,14851
2026-08-10_1250,SPY,30,2026-09-18,39,772.58,13.7,-1.92,22490,51838,727817,2609332
2026-08-10_1250,SPY,60,2026-10-16,67,772.58,13.98,-3.86,5838,15340,159728,981562
2026-08-10_1250,SPY,91,2026-11-20,102,772.58,14.93,-4.37,8704,5498,107686,1170579
2026-08-10_1250,SPY,182,2027-01-29,172,772.58,15.55,-5.06,1648,1457,4254,4885
