stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-10_1550,AAPL,30,2026-09-18,39,306.9,24.46,-0.57,39687,14532,337320,231453
2026-08-10_1550,AAPL,60,2026-10-16,67,306.9,24.57,-0.96,32234,7478,243075,123779
2026-08-10_1550,AAPL,91,2026-11-20,102,306.9,26.21,-1.64,7512,4138,152730,92504
2026-08-10_1550,AAPL,182,2027-02-19,193,306.9,26.58,-1.86,3349,1665,30647,22733
2026-08-10_1550,AMD,30,2026-09-18,39,472.77,57.18,0.95,10673,7196,109441,184264
2026-08-10_1550,AMD,60,2026-10-16,67,472.77,58.41,0.96,2857,4345,47737,55492
2026-08-10_1550,AMD,91,2026-11-20,102,472.77,61.16,1.06,1832,3641,62407,59875
2026-08-10_1550,AMD,182,2027-02-19,193,472.77,61.38,1.51,353,716,5258,9719
2026-08-10_1550,AMZN,30,2026-09-18,39,277.43,30.72,-0.13,21545,13076,333482,227313
2026-08-10_1550,AMZN,60,2026-10-16,67,277.43,31.4,-0.79,7868,8919,145233,122217
2026-08-10_1550,AMZN,91,2026-11-20,102,277.43,35.28,-0.92,3430,2637,183231,79172
2026-08-10_1550,AMZN,182,2027-02-19,193,277.43,35.81,-0.79,652,1649,13894,11001
2026-08-10_1550,CRWV,30,2026-09-18,39,89.12,93.09,1.41,12430,3427,258624,108192
2026-08-10_1550,CRWV,60,2026-10-16,67,89.12,89.9,1.93,6470,1289,93728,60022
2026-08-10_1550,CRWV,91,2026-11-20,102,89.12,90.6,0.97,1369,1613,42755,37806
2026-08-10_1550,CRWV,182,2027-02-19,193,89.12,88.14,,169,628,2018,2214
2026-08-10_1550,DRAM,30,2026-09-18,39,49.89,72.2,-2.88,15501,4327,266413,153816
2026-08-10_1550,DRAM,60,2026-10-16,67,49.89,77.89,3.18,6509,2304,95590,85108
2026-08-10_1550,DRAM,91,2026-11-20,102,49.89,77.35,3.88,4749,965,60356,33460
2026-08-10_1550,DRAM,182,2027-02-19,193,49.89,73.05,1.1,374,563,3343,7224
2026-08-10_1550,EEM,30,2026-09-18,39,65.25,26.23,-1.82,20056,17221,499862,914334
2026-08-10_1550,EEM,60,2026-10-16,67,65.25,28.06,1.74,11232,5186,98561,162865
2026-08-10_1550,EEM,91,2026-11-20,102,65.25,28.0,0.36,7990,6105,12113,43858
2026-08-10_1550,EEM,182,2027-01-15,158,65.25,27.17,-0.76,1008,20776,175341,251186
2026-08-10_1550,FXI,30,2026-09-18,39,36.49,20.18,-0.48,19465,4103,459343,411002
2026-08-10_1550,FXI,60,2026-10-16,67,36.49,20.88,-4.32,7443,10692,77911,60932
2026-08-10_1550,FXI,91,2026-11-20,102,36.49,22.2,2.37,248,1254,92323,105450
2026-08-10_1550,FXI,182,2027-02-19,193,36.49,22.83,-0.27,142,515,33914,16472
2026-08-10_1550,GDX,30,2026-09-18,39,90.69,44.87,1.83,9219,11859,202809,306507
2026-08-10_1550,GDX,60,2026-10-16,67,90.69,44.76,3.6,3913,3274,26621,31179
2026-08-10_1550,GDX,91,2026-11-20,102,90.69,44.57,1.28,1329,730,12637,119620
2026-08-10_1550,GDX,182,2027-01-15,158,90.69,43.84,1.81,5228,5595,120014,176478
2026-08-10_1550,GLD,30,2026-09-18,39,403.0,26.04,2.29,373754,8129,1036723,209393
2026-08-10_1550,GLD,60,2026-10-16,67,403.0,25.16,2.3,14130,2529,108481,88645
2026-08-10_1550,GLD,91,2026-11-20,102,403.0,24.59,2.12,79159,86053,214563,199612
2026-08-10_1550,GLD,182,2027-01-15,158,403.0,24.14,1.94,26179,98788,399967,296549
