stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-09_1551,AAOI,30,2026-10-16,37,108.02,88.01,5.18,1004,465,10704,7872
2026-09-09_1551,AAOI,60,2026-10-16,37,108.02,88.01,5.18,1004,465,10704,7872
2026-09-09_1551,AAOI,91,2026-12-18,100,108.02,99.4,4.07,836,578,19112,11897
2026-09-09_1551,AAOI,182,2027-03-19,191,108.02,101.47,,207,74,3396,3779
2026-09-09_1551,AAPL,30,2026-10-16,37,315.43,25.94,-1.34,41579,37412,294627,166521
2026-09-09_1551,AAPL,60,2026-11-20,72,315.43,27.96,-2.35,14988,7438,184726,125464
2026-09-09_1551,AAPL,91,2026-12-18,100,315.43,27.21,-2.32,9614,6567,263130,206247
2026-09-09_1551,AAPL,182,2027-03-19,191,315.43,27.43,-2.27,5461,5468,76483,71345
2026-09-09_1551,AMD,30,2026-10-16,37,520.25,51.33,0.87,17991,8933,63253,78658
2026-09-09_1551,AMD,60,2026-11-20,72,520.25,56.7,1.86,5726,2674,78800,67808
2026-09-09_1551,AMD,91,2026-12-18,100,520.25,55.52,2.12,6764,4584,82876,102829
2026-09-09_1551,AMD,182,2027-03-19,191,520.25,56.3,2.11,7450,2317,45515,72422
2026-09-09_1551,AMZN,30,2026-10-16,37,252.23,31.2,-0.67,33854,9883,238325,166120
2026-09-09_1551,AMZN,60,2026-11-20,72,252.23,37.18,-0.33,9613,4127,282585,107155
2026-09-09_1551,AMZN,91,2026-12-18,100,252.23,35.6,-0.53,11507,3026,240307,187023
2026-09-09_1551,AMZN,182,2027-03-19,191,252.23,35.95,-0.61,1897,6487,68684,103451
2026-09-09_1551,CRWV,30,2026-10-16,37,94.72,77.78,4.22,13023,27832,142180,138196
2026-09-09_1551,CRWV,60,2026-11-20,72,94.72,82.85,3.6,2273,2965,58309,50946
2026-09-09_1551,CRWV,91,2026-12-18,100,94.72,81.18,3.17,2443,2273,70698,80387
2026-09-09_1551,CRWV,182,2027-03-19,191,94.72,80.46,3.1,1955,1514,33140,35100
2026-09-09_1551,DRAM,30,2026-10-16,37,61.53,65.57,0.02,37799,8693,220444,120675
2026-09-09_1551,DRAM,60,2026-11-20,72,61.53,64.66,3.95,2384,10766,133564,52021
2026-09-09_1551,DRAM,91,2026-12-18,100,61.53,65.13,0.3,5540,3003,207567,87874
2026-09-09_1551,DRAM,182,2027-03-19,191,61.53,65.48,5.71,697,511,43484,27431
2026-09-09_1551,EEM,30,2026-10-16,37,68.56,22.93,-2.21,1153,1179,159303,313242
2026-09-09_1551,EEM,60,2026-11-20,72,68.56,23.6,-3.09,1017,9174,41799,209369
2026-09-09_1551,EEM,91,2026-12-18,100,68.56,24.37,-2.18,15332,8715,608265,815264
2026-09-09_1551,EEM,182,2027-03-19,191,68.56,24.04,-1.32,201,40171,59655,242842
2026-09-09_1551,EWY,30,2026-10-16,37,190.87,47.35,-0.57,2436,2573,86555,100493
2026-09-09_1551,EWY,60,2026-11-20,72,190.87,48.44,0.11,2224,4078,23328,39562
2026-09-09_1551,EWY,91,2026-12-18,100,190.87,49.45,-2.32,1830,896,94303,48143
2026-09-09_1551,EWY,182,2027-03-19,191,190.87,47.77,-1.53,1368,1455,40826,33021
2026-09-09_1551,FXI,30,2026-10-16,37,34.63,20.17,-1.19,7017,8324,193921,105553
2026-09-09_1551,FXI,60,2026-11-20,72,34.63,20.13,0.9,501,4191,107891,187464
2026-09-09_1551,FXI,91,2026-12-18,100,34.63,22.74,0.02,12629,12019,365809,402157
2026-09-09_1551,FXI,182,2027-03-19,191,34.63,22.5,0.8,187,5947,151494,145984
2026-09-09_1551,GDX,30,2026-10-16,37,99.51,45.49,1.11,6909,5540,62140,75676
2026-09-09_1551,GDX,60,2026-11-20,72,99.51,45.72,1.93,1997,2383,28147,173149
2026-09-09_1551,GDX,91,2026-12-18,100,99.51,45.49,1.96,1158,1613,194627,230044
2026-09-09_1551,GDX,182,2027-03-19,191,99.51,44.97,2.69,729,2928,36803,57087
2026-09-09_1551,GLD,30,2026-10-16,37,403.34,25.12,2.12,10914,3608,244031,148259
2026-09-09_1551,GLD,60,2026-11-20,72,403.34,25.03,2.22,3404,1972,355872,357574
2026-09-09_1551,GLD,91,2026-12-18,100,403.34,24.71,2.33,7056,684,176801,74774
2026-09-09_1551,GLD,182,2027-03-19,191,403.34,24.22,2.16,2811,8512,128173,86565
2026-09-09_1551,GOOGL,30,2026-10-16,37,330.4,30.12,0.73,33423,17500,248013,102073
2026-09-09_1551,GOOGL,60,2026-11-20,72,330.4,34.7,0.2,17123,5861,155680,71095
2026-09-09_1551,GOOGL,91,2026-12-18,100,330.4,33.82,0.03,7087,9230,174701,118807
2026-09-09_1551,GOOGL,182,2027-03-19,191,330.4,33.94,0.18,4530,6013,49633,83600
2026-09-09_1551,IBIT,30,2026-10-16,37,44.24,39.34,0.07,20848,10953,473576,278823
2026-09-09_1551,IBIT,60,2026-11-20,72,44.24,41.1,-0.44,10061,4260,223349,237106
2026-09-09_1551,IBIT,91,2026-12-18,100,44.24,40.96,-0.33,13699,1591,259928,171466
2026-09-09_1551,IBIT,182,2027-03-19,191,44.24,42.57,-0.18,1180,4479,232203,168677
