stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-02_1551,AAOI,30,2026-09-18,16,103.06,82.45,0.61,1008,650,31064,26587
2026-09-02_1551,AAOI,60,2026-10-16,44,103.06,85.08,2.35,969,322,7333,6079
2026-09-02_1551,AAOI,91,2026-12-18,107,103.06,92.56,4.45,428,815,17403,11041
2026-09-02_1551,AAOI,182,2027-03-19,198,103.06,94.01,,166,272,3117,3235
2026-09-02_1551,AAPL,30,2026-09-18,16,325.16,26.07,-1.22,26469,11062,385015,262403
2026-09-02_1551,AAPL,60,2026-10-16,44,325.16,24.64,-1.71,12713,8112,290562,160630
2026-09-02_1551,AAPL,91,2026-11-20,79,325.16,26.8,-2.61,15913,4960,177451,117846
2026-09-02_1551,AAPL,182,2027-02-19,170,325.16,26.78,-2.47,3708,3218,43172,41616
2026-09-02_1551,AMD,30,2026-09-18,16,456.16,46.94,-0.42,8637,7599,144369,211541
2026-09-02_1551,AMD,60,2026-10-16,44,456.16,47.73,0.12,3735,2858,59333,73586
2026-09-02_1551,AMD,91,2026-11-20,79,456.16,52.67,0.45,1263,961,81088,66323
2026-09-02_1551,AMD,182,2027-02-19,170,456.16,52.57,1.79,1081,1630,9185,15228
2026-09-02_1551,AMZN,30,2026-09-18,16,255.05,28.05,-0.91,24279,10418,390364,255062
2026-09-02_1551,AMZN,60,2026-10-16,44,255.05,29.38,-0.71,14677,6120,216173,157699
2026-09-02_1551,AMZN,91,2026-11-20,79,255.05,35.09,-1.03,4917,4315,268621,98822
2026-09-02_1551,AMZN,182,2027-02-19,170,255.05,34.93,-0.85,1891,1654,23291,28314
2026-09-02_1551,CRWV,30,2026-09-18,16,81.18,66.8,-0.38,10616,5033,262904,147868
2026-09-02_1551,CRWV,60,2026-10-16,44,81.18,69.79,0.62,6034,5596,124707,128734
2026-09-02_1551,CRWV,91,2026-11-20,79,81.18,75.77,0.97,2991,630,56611,46448
2026-09-02_1551,CRWV,182,2027-02-19,170,81.18,74.5,1.59,907,711,8867,10288
2026-09-02_1551,DRAM,30,2026-09-18,16,56.2,52.28,-3.05,32761,14033,330638,216227
2026-09-02_1551,DRAM,60,2026-10-16,44,56.2,56.92,-1.63,7191,6434,198321,104580
2026-09-02_1551,DRAM,91,2026-11-20,79,56.2,57.14,0.76,4879,1725,118976,48641
2026-09-02_1551,DRAM,182,2027-02-19,170,56.2,58.76,-0.06,369,755,9852,12449
2026-09-02_1551,EEM,30,2026-09-18,16,67.11,19.83,-2.6,1224,7481,572098,997798
2026-09-02_1551,EEM,60,2026-10-16,44,67.11,20.15,-2.81,1043,4755,145530,310693
2026-09-02_1551,EEM,91,2026-11-20,79,67.11,22.41,-2.26,846,44706,40507,204640
2026-09-02_1551,EEM,182,2027-03-19,198,67.11,22.72,-3.25,264,26389,59639,239346
2026-09-02_1551,EWY,30,2026-09-18,16,178.87,40.3,-3.38,24244,9624,166565,67158
2026-09-02_1551,EWY,60,2026-10-16,44,178.87,41.54,-2.74,1486,3675,84409,101154
2026-09-02_1551,EWY,91,2026-11-20,79,178.87,43.31,-2.89,1057,909,20843,36055
2026-09-02_1551,EWY,182,2027-03-19,198,178.87,42.53,-1.33,1163,1179,37049,28358
2026-09-02_1551,FXI,30,2026-09-18,16,35.51,17.5,-0.65,3333,21396,516867,434186
2026-09-02_1551,FXI,60,2026-10-16,44,35.51,19.05,-1.54,20486,7113,137491,96660
2026-09-02_1551,FXI,91,2026-11-20,79,35.51,20.38,-1.87,3371,7575,96269,185707
2026-09-02_1551,FXI,182,2027-02-19,170,35.51,21.55,0.35,38,305,33741,16789
2026-09-02_1551,GDX,30,2026-09-18,16,97.49,43.78,0.67,7847,11792,229240,388814
2026-09-02_1551,GDX,60,2026-10-16,44,97.49,44.8,1.91,4307,4203,59271,72177
2026-09-02_1551,GDX,91,2026-11-20,79,97.49,45.67,1.31,992,1325,25123,170097
2026-09-02_1551,GDX,182,2027-03-19,198,97.49,44.34,2.44,1683,1780,35284,55316
2026-09-02_1551,GLD,30,2026-09-18,16,402.5,24.2,0.7,318302,7891,1285616,239612
2026-09-02_1551,GLD,60,2026-10-16,44,402.5,23.46,1.05,19552,3804,235972,143185
2026-09-02_1551,GLD,91,2026-11-20,79,402.5,23.7,1.29,7155,1703,352396,354620
2026-09-02_1551,GLD,182,2027-02-19,170,402.5,23.36,1.48,1064,647,12694,4043
2026-09-02_1551,GOOGL,30,2026-09-18,16,337.51,26.82,-0.22,17989,6523,250852,177946
2026-09-02_1551,GOOGL,60,2026-10-16,44,337.51,28.19,-0.2,14302,4097,245922,97923
2026-09-02_1551,GOOGL,91,2026-11-20,79,337.51,33.36,-0.26,4339,1572,94506,67123
2026-09-02_1551,GOOGL,182,2027-02-19,170,337.51,33.49,-0.39,1223,1090,13184,22422
2026-09-02_1551,IBIT,30,2026-09-18,16,43.76,35.22,0.04,34159,16931,629797,466714
2026-09-02_1551,IBIT,60,2026-10-16,44,43.76,36.67,-0.12,22450,12215,398787,256330
2026-09-02_1551,IBIT,91,2026-11-20,79,43.76,38.79,-0.77,4620,6509,212687,227134
2026-09-02_1551,IBIT,182,2027-02-19,170,43.76,40.69,-0.27,378,816,16709,8166
2026-09-02_1551,IGV,30,2026-09-18,16,103.37,28.96,-1.95,2553,9753,101317,95790
2026-09-02_1551,IGV,60,2026-10-16,44,103.37,29.71,1.86,2152,3927,21632,34943
2026-09-02_1551,IGV,91,2026-11-20,79,103.37,31.01,-2.77,1281,736,45538,104535
2026-09-02_1551,IGV,182,2027-02-19,170,103.37,30.65,3.23,371,390,4584,2925
2026-09-02_1551,IONQ,30,2026-09-18,16,37.75,71.04,4.9,2773,4858,76944,64926
2026-09-02_1551,IONQ,60,2026-10-16,44,37.75,71.07,,2023,806,26435,37986
2026-09-02_1551,IONQ,91,2026-11-20,79,37.75,77.32,8.23,2042,323,35577,14449
2026-09-02_1551,IONQ,182,2027-03-19,198,37.75,78.51,10.8,548,577,15720,6316
2026-09-02_1551,IWM,30,2026-09-18,16,293.95,17.38,-4.75,37363,181957,658312,1545606
2026-09-02_1551,IWM,60,2026-10-16,44,293.95,17.44,-3.95,29889,109467,155795,430913
2026-09-02_1551,IWM,91,2026-11-20,79,293.95,18.31,-4.35,13677,10464,137674,228875
2026-09-02_1551,IWM,182,2027-02-19,170,293.95,19.17,-4.33,600,441,5076,24597
2026-09-02_1551,KRE,30,2026-09-18,16,74.19,23.41,-2.19,2215,16467,170689,259016
2026-09-02_1551,KRE,60,2026-10-16,44,74.19,22.61,-2.25,1975,18056,190769,164273
2026-09-02_1551,KRE,91,2026-11-20,79,74.19,23.11,-1.62,717,2456,83230,60604
2026-09-02_1551,KRE,182,2027-03-19,198,74.19,25.98,-3.81,539,3011,16322,22936
2026-09-02_1551,KWEB,30,2026-09-18,16,25.72,24.96,-1.09,7757,6920,597843,217618
2026-09-02_1551,KWEB,60,2026-10-16,44,25.72,27.46,-0.93,446,6076,77743,9866
2026-09-02_1551,KWEB,91,2026-11-20,79,25.72,29.02,-0.65,1332,1079,151515,52400
2026-09-02_1551,KWEB,182,2027-02-19,170,25.72,29.73,-0.23,523,71,3413,6508
2026-09-02_1551,META,30,2026-09-18,16,592.51,35.02,0.2,23755,17260,215907,206964
2026-09-02_1551,META,60,2026-10-16,44,592.51,35.83,-0.11,15361,8321,164325,67978
2026-09-02_1551,META,91,2026-11-20,79,592.51,41.15,-0.04,4511,3725,166389,66402
2026-09-02_1551,META,182,2027-02-19,170,592.51,40.66,0.28,2857,450,20465,13722
2026-09-02_1551,MSFT,30,2026-09-18,16,496.97,23.72,-0.91,16262,11633,354261,208008
2026-09-02_1551,MSFT,60,2026-10-16,44,496.97,24.9,-1.32,6967,8280,287896,124670
2026-09-02_1551,MSFT,91,2026-11-20,79,496.97,29.65,-1.98,5921,2904,176397,81432
2026-09-02_1551,MSFT,182,2027-03-19,198,496.97,29.74,-1.39,1093,1232,78661,87815
2026-09-02_1551,MU,30,2026-09-18,16,955.06,52.18,0.27,14334,7389,126252,168488
2026-09-02_1551,MU,60,2026-10-16,44,955.06,59.5,1.16,6495,3674,80563,116020
2026-09-02_1551,MU,91,2026-11-20,79,955.06,59.92,1.61,1763,2116,47815,74209
2026-09-02_1551,MU,182,2027-02-19,170,955.06,60.05,2.33,718,807,15392,25693
2026-09-02_1551,NBIS,30,2026-09-18,16,204.14,77.2,1.25,7833,2485,81041,118442
2026-09-02_1551,NBIS,60,2026-10-16,44,204.14,78.91,3.59,3648,1715,25876,41087
2026-09-02_1551,NBIS,91,2026-11-20,79,204.14,86.61,2.75,2369,1580,21736,28303
2026-09-02_1551,NBIS,182,2027-02-19,170,204.14,84.82,1.82,395,694,6843,5258
2026-09-02_1551,NVDA,30,2026-09-18,16,224.28,32.88,-2.81,166326,67204,998638,834281
2026-09-02_1551,NVDA,60,2026-10-16,44,224.28,33.75,-2.69,83568,51300,656193,473392
2026-09-02_1551,NVDA,91,2026-11-20,79,224.28,37.4,-2.79,38348,18150,274645,305495
2026-09-02_1551,NVDA,182,2027-02-19,170,224.28,37.12,-1.95,4844,2913,52040,67588
2026-09-02_1551,ONDS,30,2026-09-18,16,7.58,68.69,3.76,11046,4047,294007,110227
2026-09-02_1551,ONDS,60,2026-10-16,44,7.58,71.59,5.03,5719,1505,31606,28704
2026-09-02_1551,ONDS,91,2026-11-20,79,7.58,81.01,6.29,4867,1535,17003,12671
2026-09-02_1551,ONDS,182,2027-03-19,198,7.58,85.49,7.74,1340,1053,46200,8279
2026-09-02_1551,OWL,30,2026-09-18,16,11.63,39.17,4.28,261,1518,28590,104869
2026-09-02_1551,OWL,60,2026-10-16,44,11.63,46.6,1.28,118,2755,45447,35469
2026-09-02_1551,OWL,91,2026-11-20,79,11.63,48.78,-3.21,425,551,18414,70967
2026-09-02_1551,OWL,182,2027-02-19,170,11.63,47.49,-4.92,372,563,12437,16404
2026-09-02_1551,QQQ,30,2026-09-18,16,708.9,17.58,-4.34,43942,48370,998464,1283121
2026-09-02_1551,QQQ,60,2026-10-16,44,708.9,18.09,-5.09,40172,45010,343256,514706
2026-09-02_1551,QQQ,91,2026-11-20,79,708.9,19.57,-5.39,11863,23260,203329,209360
2026-09-02_1551,QQQ,182,2027-02-19,170,708.9,20.3,-4.97,3731,795,31870,54179
2026-09-02_1551,RKLB,30,2026-09-18,16,63.17,62.59,0.41,5925,1817,65714,60554
2026-09-02_1551,RKLB,60,2026-10-16,44,63.17,67.11,2.81,9655,1563,65130,49036
2026-09-02_1551,RKLB,91,2026-12-18,107,63.17,73.36,5.86,7728,1140,55571,65950
2026-09-02_1551,RKLB,182,2027-03-19,198,63.17,73.98,6.5,1067,780,28035,22507
2026-09-02_1551,SLV,30,2026-09-18,16,58.97,41.18,2.37,18939,6062,776434,396564
2026-09-02_1551,SLV,60,2026-10-16,44,58.97,43.52,4.16,9451,3618,317166,142952
2026-09-02_1551,SLV,91,2026-11-20,79,58.97,44.66,5.97,15821,965,304657,74269
2026-09-02_1551,SLV,182,2027-03-19,198,58.97,44.1,8.18,9582,4536,182837,75377
2026-09-02_1551,SMH,30,2026-09-18,16,550.08,30.63,-3.02,13433,14627,185196,352973
2026-09-02_1551,SMH,60,2026-10-16,44,550.08,32.19,-3.42,5428,2891,97262,103037
2026-09-02_1551,SMH,91,2026-11-20,79,550.08,34.34,-3.37,1535,3305,21835,66246
2026-09-02_1551,SMH,182,2027-02-19,170,550.08,35.51,-3.3,837,1342,3327,5155
2026-09-02_1551,SPCX,30,2026-09-18,16,140.75,46.81,-2.08,25746,17002,437509,420659
2026-09-02_1551,SPCX,60,2026-10-16,44,140.75,49.25,-1.44,12356,16917,169973,240977
2026-09-02_1551,SPCX,91,2026-11-20,79,140.75,53.48,-1.06,4163,4251,80472,135078
2026-09-02_1551,SPCX,182,2027-02-19,170,140.75,52.83,-0.62,3660,836,32471,32381
2026-09-02_1551,SPY,30,2026-09-18,16,765.08,12.25,-3.91,41855,118208,901041,2993870
2026-09-02_1551,SPY,60,2026-10-16,44,765.08,12.74,-4.02,22836,84306,319517,1293825
2026-09-02_1551,SPY,91,2026-11-20,79,765.08,13.88,-4.27,5921,15802,148852,1649920
2026-09-02_1551,SPY,182,2027-03-19,198,765.08,14.91,-5.02,3345,5218,262679,288729
2026-09-02_1551,TLT,30,2026-09-18,16,81.92,11.22,-0.37,40655,18525,896046,616661
2026-09-02_1551,TLT,60,2026-10-16,44,81.92,11.08,-0.35,24334,15001,605230,597207
2026-09-02_1551,TLT,91,2026-11-20,79,81.92,11.59,-0.48,4026,14825,281592,393438
2026-09-02_1551,TLT,182,2027-02-19,170,81.92,11.67,-0.49,2293,1047,205151,98759
2026-09-02_1551,TSLA,30,2026-09-18,16,355.46,41.78,1.03,34118,16908,333170,284836
2026-09-02_1551,TSLA,60,2026-10-16,44,355.46,41.17,0.81,10946,5721,115285,157719
2026-09-02_1551,TSLA,91,2026-11-20,79,355.46,44.51,0.86,3649,3871,106033,131485
2026-09-02_1551,TSLA,182,2027-02-19,170,355.46,44.88,1.41,2941,1079,36966,21111
