stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-02_0952,AAOI,30,2026-09-18,16,101.38,85.78,2.09,803,487,31015,26577
2026-09-02_0952,AAOI,60,2026-10-16,44,101.38,86.37,2.57,571,278,7333,6079
2026-09-02_0952,AAOI,91,2026-12-18,107,101.38,92.39,3.85,399,338,17403,11041
2026-09-02_0952,AAOI,182,2027-03-19,198,101.38,91.59,5.61,163,246,3117,3235
2026-09-02_0952,AAPL,30,2026-09-18,16,325.02,26.4,-1.3,4083,2038,385015,262403
2026-09-02_0952,AAPL,60,2026-10-16,44,325.02,24.5,-1.67,2104,2005,290562,160630
2026-09-02_0952,AAPL,91,2026-11-20,79,325.02,26.52,-2.44,1065,897,177451,117846
2026-09-02_0952,AAPL,182,2027-02-19,170,325.02,26.65,-2.38,3233,1728,43172,41616
2026-09-02_0952,AMD,30,2026-09-18,16,454.79,48.35,-1.4,3757,3680,142554,211296
2026-09-02_0952,AMD,60,2026-10-16,44,454.79,47.87,-0.26,2215,4399,58365,73130
2026-09-02_0952,AMD,91,2026-11-20,79,454.79,53.19,0.66,3239,1847,80561,66187
2026-09-02_0952,AMD,182,2027-02-19,170,454.79,53.33,1.1,1490,2024,9185,15157
2026-09-02_0952,AMZN,30,2026-09-18,16,255.03,28.91,-0.99,1073,4953,390364,255062
2026-09-02_0952,AMZN,60,2026-10-16,44,255.03,29.28,-1.37,5236,2097,216173,157699
2026-09-02_0952,AMZN,91,2026-11-20,79,255.03,35.4,-1.28,9546,1725,268621,98822
2026-09-02_0952,AMZN,182,2027-02-19,170,255.03,34.8,-0.96,2135,1888,23291,28314
2026-09-02_0952,CRWV,30,2026-09-18,16,80.54,68.35,-1.94,2047,3727,262904,147868
2026-09-02_0952,CRWV,60,2026-10-16,44,80.54,70.36,0.23,2018,2090,124707,128734
2026-09-02_0952,CRWV,91,2026-11-20,79,80.54,76.38,1.46,974,1674,56611,46448
2026-09-02_0952,CRWV,182,2027-02-19,170,80.54,75.51,0.65,515,1126,8867,10288
2026-09-02_0952,DRAM,30,2026-09-18,16,55.44,53.83,-4.34,13290,6519,331239,217510
2026-09-02_0952,DRAM,60,2026-10-16,44,55.44,58.35,-2.04,1203,5780,198321,104580
2026-09-02_0952,DRAM,91,2026-11-20,79,55.44,58.82,-1.91,6638,1088,118976,48641
2026-09-02_0952,DRAM,182,2027-02-19,170,55.44,59.31,-0.88,344,826,9858,12449
2026-09-02_0952,EEM,30,2026-09-18,16,66.83,27.02,-1.58,4092,27819,572098,997798
2026-09-02_0952,EEM,60,2026-10-16,44,66.83,23.4,-1.09,15564,38832,145530,310693
