stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-22_1151,AAOI,30,2026-10-16,24,106.27,87.85,5.08,2562,349,15256,11158
2026-09-22_1151,AAOI,60,2026-11-20,59,106.27,98.18,,869,734,3912,1927
2026-09-22_1151,AAOI,91,2026-12-18,87,106.27,95.91,9.65,414,132,19699,13282
2026-09-22_1151,AAOI,182,2027-03-19,178,106.27,94.64,,204,187,4049,4232
2026-09-22_1151,AAPL,30,2026-10-16,24,342.55,23.22,-2.11,26320,12449,384213,202169
2026-09-22_1151,AAPL,60,2026-11-20,59,342.55,25.5,-2.43,16740,5835,207945,143935
2026-09-22_1151,AAPL,91,2026-12-18,87,342.55,25.0,-2.5,10984,3319,289009,218314
2026-09-22_1151,AAPL,182,2027-03-19,178,342.55,26.2,-2.66,2437,1456,82718,100777
2026-09-22_1151,AMD,30,2026-10-16,24,617.47,51.89,1.31,9087,7973,101089,91892
2026-09-22_1151,AMD,60,2026-11-20,59,617.47,58.08,1.86,3971,3367,84135,76347
2026-09-22_1151,AMD,91,2026-12-18,87,617.47,56.7,1.83,5306,2797,90996,101348
2026-09-22_1151,AMD,182,2027-03-19,178,617.47,58.05,1.37,1603,1068,52093,78108
2026-09-22_1151,AMZN,30,2026-10-16,24,254.91,29.71,-0.27,25335,10074,322922,197689
2026-09-22_1151,AMZN,60,2026-11-20,59,254.91,37.2,-0.6,9611,4793,325882,142971
2026-09-22_1151,AMZN,91,2026-12-18,87,254.91,35.1,-0.78,7083,1934,257650,188101
2026-09-22_1151,AMZN,182,2027-03-19,178,254.91,35.86,-1.31,3130,1767,80894,122194
2026-09-22_1151,CRWV,30,2026-10-16,24,86.11,73.46,3.85,8960,3035,207610,149046
2026-09-22_1151,CRWV,60,2026-11-20,59,86.11,80.82,3.76,5829,3169,69160,75831
2026-09-22_1151,CRWV,91,2026-12-18,87,86.11,78.24,3.27,2970,1458,74940,86307
2026-09-22_1151,CRWV,182,2027-03-19,178,86.11,77.75,2.06,855,286,53310,46797
2026-09-22_1151,DRAM,30,2026-10-16,24,62.62,58.82,0.41,9227,6386,260040,157715
2026-09-22_1151,DRAM,60,2026-11-20,59,62.62,60.68,-0.1,5414,1247,154913,70454
2026-09-22_1151,DRAM,91,2026-12-18,87,62.62,60.46,1.95,4053,3279,212636,95471
2026-09-22_1151,DRAM,182,2027-03-19,178,62.62,61.46,4.44,1867,892,47913,60312
2026-09-22_1151,EEM,30,2026-10-16,24,68.67,22.44,-2.55,4037,15076,201053,367552
2026-09-22_1151,EEM,60,2026-11-20,59,68.67,23.54,-2.77,2753,2859,51093,220151
2026-09-22_1151,EEM,91,2026-12-18,87,68.67,23.74,-4.65,6089,12699,606243,869408
2026-09-22_1151,EEM,182,2027-03-19,178,68.67,23.99,-1.09,1928,13340,65673,272620
2026-09-22_1151,EWY,30,2026-10-16,24,189.75,45.32,-1.46,779,4751,89640,114029
2026-09-22_1151,EWY,60,2026-11-20,59,189.75,45.17,-2.87,1853,2439,30146,55881
2026-09-22_1151,EWY,91,2026-12-18,87,189.75,47.12,-3.98,1201,219,98634,52313
2026-09-22_1151,EWY,182,2027-03-19,178,189.75,44.11,-1.97,2785,1707,45287,34938
2026-09-22_1151,FXI,30,2026-10-16,24,34.91,21.0,0.2,16070,8625,212930,125358
2026-09-22_1151,FXI,60,2026-11-20,59,34.91,21.46,-2.06,11057,2184,122224,205650
2026-09-22_1151,FXI,91,2026-12-18,87,34.91,22.67,-8.85,4084,19984,417906,444603
2026-09-22_1151,FXI,182,2027-03-19,178,34.91,22.34,0.11,5145,18259,151777,151510
2026-09-22_1151,GDX,30,2026-10-16,24,95.6,41.36,1.3,1360,1893,80407,90467
2026-09-22_1151,GDX,60,2026-11-20,59,95.6,42.08,2.31,1411,1532,35168,183797
2026-09-22_1151,GDX,91,2026-12-18,87,95.6,41.83,2.16,7822,2342,209370,241041
2026-09-22_1151,GDX,182,2027-03-19,178,95.6,42.2,2.64,3604,4832,43284,61568
2026-09-22_1151,GLD,30,2026-10-16,24,396.77,20.28,0.75,9877,11144,269739,189953
2026-09-22_1151,GLD,60,2026-11-20,59,396.77,22.3,1.14,2981,1055,387515,365435
2026-09-22_1151,GLD,91,2026-12-18,87,396.77,22.44,1.46,10009,1526,496547,80711
2026-09-22_1151,GLD,182,2027-03-19,178,396.77,22.82,1.49,3657,2800,146666,87553
2026-09-22_1151,GOOGL,30,2026-10-16,24,355.49,31.21,-0.16,32892,6135,295477,114656
2026-09-22_1151,GOOGL,60,2026-11-20,59,355.49,35.3,-0.17,10949,1623,178960,76286
2026-09-22_1151,GOOGL,91,2026-12-18,87,355.49,34.29,0.18,6524,1449,190502,121437
2026-09-22_1151,GOOGL,182,2027-03-19,178,355.49,34.28,-0.14,1296,1514,54546,92929
2026-09-22_1151,IBIT,30,2026-10-16,24,48.94,39.45,1.11,30942,4852,494039,315591
2026-09-22_1151,IBIT,60,2026-11-20,59,48.94,41.24,0.91,7556,5169,287288,287072
2026-09-22_1151,IBIT,91,2026-12-18,87,48.94,41.18,0.86,10613,3665,345830,180775
2026-09-22_1151,IBIT,182,2027-03-19,178,48.94,41.46,0.84,12248,4978,290812,193008
2026-09-22_1151,IGV,30,2026-10-16,24,105.88,29.35,0.97,2584,1920,62952,66958
2026-09-22_1151,IGV,60,2026-11-20,59,105.88,31.42,-3.02,1337,25696,45879,104619
2026-09-22_1151,IGV,91,2026-12-18,87,105.88,32.09,-2.34,500,27920,93610,235687
2026-09-22_1151,IGV,182,2027-03-19,178,105.88,31.43,-1.36,409,1515,14556,39056
2026-09-22_1151,IONQ,30,2026-10-16,24,40.35,68.41,,2444,588,31274,57153
2026-09-22_1151,IONQ,60,2026-11-20,59,40.35,75.44,6.86,830,783,43114,22380
2026-09-22_1151,IONQ,91,2026-12-18,87,40.35,73.51,6.7,517,582,38042,33107
2026-09-22_1151,IONQ,182,2027-03-19,178,40.35,74.32,5.5,266,257,19563,6794
2026-09-22_1151,IWM,30,2026-10-16,24,286.36,16.79,-2.4,26532,161115,304974,1088308
2026-09-22_1151,IWM,60,2026-11-20,59,286.36,17.93,-3.27,20908,12442,191927,374428
2026-09-22_1151,IWM,91,2026-12-18,87,286.36,18.3,-3.71,5549,15140,621923,1230744
2026-09-22_1151,IWM,182,2027-03-19,178,286.36,18.69,-3.4,472,963,172110,419826
2026-09-22_1151,KRE,30,2026-10-16,24,71.42,22.34,-1.16,654,4681,201752,221861
2026-09-22_1151,KRE,60,2026-11-20,59,71.42,23.2,-1.13,6018,5337,106199,124957
2026-09-22_1151,KRE,91,2026-12-18,87,71.42,22.8,1.72,772,4771,35685,151022
2026-09-22_1151,KRE,182,2027-03-19,178,71.42,22.4,-2.54,11859,8580,42610,54645
2026-09-22_1151,KWEB,30,2026-10-16,24,25.25,28.27,-2.29,22391,1605,187073,43616
2026-09-22_1151,KWEB,60,2026-11-20,59,25.25,29.87,-1.33,6750,1987,181277,50475
2026-09-22_1151,KWEB,91,2026-12-18,87,25.25,30.13,-1.44,4848,2429,401123,74611
2026-09-22_1151,KWEB,182,2027-02-19,150,25.25,31.59,1.21,766,691,23889,15731
2026-09-22_1151,META,30,2026-10-16,24,749.11,43.52,1.35,17855,10569,270068,85213
2026-09-22_1151,META,60,2026-11-20,59,749.11,48.15,4.48,7261,4686,187352,67046
2026-09-22_1151,META,91,2026-12-18,87,749.11,46.19,4.48,3631,4929,139942,80609
2026-09-22_1151,META,182,2027-03-19,178,749.11,44.08,0.99,8584,1505,57477,51930
2026-09-22_1151,MSFT,30,2026-10-16,24,494.46,25.44,-1.49,15095,11644,320473,155253
2026-09-22_1151,MSFT,60,2026-11-20,59,494.46,31.01,-1.3,8335,3703,222431,87298
2026-09-22_1151,MSFT,91,2026-12-18,87,494.46,29.48,-1.31,7216,2686,513874,139294
2026-09-22_1151,MSFT,182,2027-03-19,178,494.46,30.35,-1.12,1023,969,82139,94861
2026-09-22_1151,MU,30,2026-10-16,24,1075.45,64.22,4.12,16114,11111,113359,129781
2026-09-22_1151,MU,60,2026-11-20,59,1075.45,61.41,3.94,4443,3038,74785,79425
2026-09-22_1151,MU,91,2026-12-18,87,1075.45,60.63,3.48,3118,6939,74879,120709
2026-09-22_1151,MU,182,2027-03-19,178,1075.45,60.25,3.78,1507,1229,47780,53861
2026-09-22_1151,NBIS,30,2026-10-16,24,236.2,81.49,3.03,5768,3483,47138,64951
2026-09-22_1151,NBIS,60,2026-11-20,59,236.2,89.55,3.54,1847,1373,34612,34735
2026-09-22_1151,NBIS,91,2026-12-18,87,236.2,87.07,4.72,851,794,37282,39556
2026-09-22_1151,NBIS,182,2027-03-19,178,236.2,90.1,,224,934,23327,29343
2026-09-22_1151,NVDA,30,2026-10-16,24,228.48,30.85,-2.29,37238,15555,784122,494044
2026-09-22_1151,NVDA,60,2026-11-20,59,228.48,36.27,-2.32,22202,6662,559652,366627
2026-09-22_1151,NVDA,91,2026-12-18,87,228.48,35.84,-2.82,10939,7213,747715,674130
2026-09-22_1151,NVDA,182,2027-03-19,178,228.48,37.21,-2.35,5181,3236,82593,324040
2026-09-22_1151,ONDS,30,2026-10-16,24,7.56,66.74,1.57,3943,2023,52074,43522
2026-09-22_1151,ONDS,60,2026-11-20,59,7.56,77.08,6.4,3806,518,44886,23869
2026-09-22_1151,ONDS,91,2026-12-18,87,7.56,78.48,5.92,4168,1226,121050,75453
2026-09-22_1151,ONDS,182,2027-03-19,178,7.56,82.31,8.78,1066,207,57367,10184
2026-09-22_1151,OWL,30,2026-10-16,24,9.88,42.98,,1163,582,47113,38609
2026-09-22_1151,OWL,60,2026-11-20,59,9.88,47.21,-7.21,220,271,20557,162761
2026-09-22_1151,OWL,91,2026-12-18,87,9.88,43.99,-5.79,1143,415,29542,8544
2026-09-22_1151,OWL,182,2027-02-19,150,9.88,48.07,-4.61,207,418,12524,16937
2026-09-22_1151,QQQ,30,2026-10-16,24,744.56,16.66,-3.04,52812,57434,559778,786549
2026-09-22_1151,QQQ,60,2026-11-20,59,744.56,19.35,-3.92,16488,34789,276002,353521
2026-09-22_1151,QQQ,91,2026-12-18,87,744.56,19.77,-4.03,14165,23869,728562,1037590
2026-09-22_1151,QQQ,182,2027-03-19,178,744.56,20.85,-3.96,12805,11971,87395,287569
2026-09-22_1151,RKLB,30,2026-10-16,24,71.47,69.57,2.91,7412,3188,87759,69779
2026-09-22_1151,RKLB,60,2026-11-20,59,71.47,77.16,3.65,1073,469,3993,2381
2026-09-22_1151,RKLB,91,2026-12-18,87,71.47,75.51,3.62,1471,607,71312,71391
2026-09-22_1151,RKLB,182,2027-03-19,178,71.47,77.11,3.06,673,415,32894,25279
2026-09-22_1151,SLV,30,2026-10-16,24,59.36,34.56,3.49,14339,3835,427446,186638
2026-09-22_1151,SLV,60,2026-11-20,59,59.36,37.44,5.12,9796,5022,335953,89830
2026-09-22_1151,SLV,91,2026-12-18,87,59.36,38.44,5.55,4796,1316,304988,112196
2026-09-22_1151,SLV,182,2027-03-19,178,59.36,39.62,6.69,6775,2226,199039,86782
2026-09-22_1151,SMH,30,2026-10-16,24,602.07,32.96,-0.96,9560,5172,151219,162405
2026-09-22_1151,SMH,60,2026-11-20,59,602.07,36.16,-0.61,1733,3650,35038,74144
2026-09-22_1151,SMH,91,2026-12-18,87,602.07,36.51,-2.87,2412,2314,67035,75863
2026-09-22_1151,SMH,182,2027-03-19,178,602.07,36.18,0.57,565,1058,17290,24328
2026-09-22_1151,SPCX,30,2026-10-16,24,153.17,49.28,0.13,18337,110183,259545,378422
2026-09-22_1151,SPCX,60,2026-11-20,59,153.17,53.74,0.05,5866,5204,106925,180818
2026-09-22_1151,SPCX,91,2026-12-18,87,153.17,52.89,0.08,5534,8887,168355,226176
2026-09-22_1151,SPCX,182,2027-03-19,178,153.17,53.35,-1.28,805,5197,106598,127413
2026-09-22_1151,SPY,30,2026-10-16,24,772.9,11.38,-2.5,59716,96444,478349,1736237
2026-09-22_1151,SPY,60,2026-11-20,59,772.9,13.97,-1.36,6873,42284,234612,1815032
2026-09-22_1151,SPY,91,2026-12-18,87,772.9,13.91,-4.01,3933,19567,609081,1507325
2026-09-22_1151,SPY,182,2027-03-19,178,772.9,14.71,-4.64,3470,10298,295986,346022
2026-09-22_1151,TLT,30,2026-10-16,24,81.58,10.75,-0.48,16165,8482,916862,535816
2026-09-22_1151,TLT,60,2026-11-20,59,81.58,11.43,-0.8,5492,1460,357100,400632
2026-09-22_1151,TLT,91,2026-12-18,87,81.58,11.76,-0.91,16415,6142,832310,436519
2026-09-22_1151,TLT,182,2027-03-19,178,81.58,11.43,-0.86,1277,2010,136803,191377
2026-09-22_1151,TSLA,30,2026-10-16,24,376.41,40.09,0.86,13738,36049,190709,193001
2026-09-22_1151,TSLA,60,2026-11-20,59,376.41,43.47,0.59,3396,2986,125044,142377
2026-09-22_1151,TSLA,91,2026-12-18,87,376.41,42.6,1.07,4563,3652,260664,225719
2026-09-22_1151,TSLA,182,2027-03-19,178,376.41,43.99,1.28,1473,836,72608,114548
2026-09-22_1151,USO,30,2026-10-16,24,147.4,48.36,3.74,14231,14449,114160,251880
2026-09-22_1151,USO,60,2026-11-20,59,147.4,47.71,4.59,2361,11054,23833,25772
2026-09-22_1151,USO,91,2026-12-18,87,147.4,46.56,5.01,1190,9611,52740,97825
2026-09-22_1151,USO,182,2027-03-19,178,147.4,46.38,1.29,876,3510,20631,84466
2026-09-22_1151,VTV,30,2026-10-16,24,221.24,11.62,-3.66,95,12,150,203
2026-09-22_1151,VTV,60,2026-11-20,59,221.24,11.59,-2.16,156,189,1577,338
2026-09-22_1151,VTV,91,2026-11-20,59,221.24,11.59,-2.16,156,189,1577,338
2026-09-22_1151,VTV,182,2027-02-19,150,221.24,12.01,4.37,168,171,1544,814
2026-09-22_1151,VUG,30,2026-10-16,24,91.09,16.0,-1.96,332,183,3474,638
2026-09-22_1151,VUG,60,2026-11-20,59,91.09,,,301,0,386,7
2026-09-22_1151,VUG,91,2026-12-18,87,91.09,22.34,-17.74,421,291,8934,3926
2026-09-22_1151,VUG,182,2027-03-19,178,91.09,22.34,-6.19,1013,303,4106,1883
2026-09-22_1151,XBI,30,2026-10-16,24,161.78,29.67,0.6,1055,1923,35747,64828
