stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-09-21_1251,AAOI,30,2026-10-16,25,107.56,88.69,5.27,2641,629,13929,11070
2026-09-21_1251,AAOI,60,2026-11-20,60,107.56,99.08,,780,307,406,1646
2026-09-21_1251,AAOI,91,2026-12-18,88,107.56,94.39,5.42,746,254,19942,13361
2026-09-21_1251,AAOI,182,2027-03-19,179,107.56,95.21,,145,168,4026,4126
2026-09-21_1251,AAPL,30,2026-10-16,25,338.72,22.9,-1.78,26285,17425,381235,202259
2026-09-21_1251,AAPL,60,2026-11-20,60,338.72,25.43,-2.53,6947,7244,205648,143096
2026-09-21_1251,AAPL,91,2026-12-18,88,338.72,25.02,-2.49,8195,5170,290295,217157
2026-09-21_1251,AAPL,182,2027-03-19,179,338.72,25.81,-2.71,1990,11516,82378,89769
2026-09-21_1251,AMD,30,2026-10-16,25,609.7,55.44,1.57,33503,22641,96888,92391
2026-09-21_1251,AMD,60,2026-11-20,60,609.7,60.56,1.68,17939,9746,86964,73118
2026-09-21_1251,AMD,91,2026-12-18,88,609.7,58.31,1.98,10475,5468,90661,101610
2026-09-21_1251,AMD,182,2027-03-19,179,609.7,58.0,1.29,6875,9810,53256,73520
2026-09-21_1251,AMZN,30,2026-10-16,25,258.55,30.41,-0.58,34889,14150,296334,197088
2026-09-21_1251,AMZN,60,2026-11-20,60,258.55,37.31,-1.06,24808,4974,313753,138988
2026-09-21_1251,AMZN,91,2026-12-18,88,258.55,35.89,-1.22,9777,2468,253543,187532
2026-09-21_1251,AMZN,182,2027-03-19,179,258.55,35.79,-1.34,5442,1238,77246,122642
2026-09-21_1251,CRWV,30,2026-10-16,25,87.02,74.91,3.85,19352,5531,198219,149339
2026-09-21_1251,CRWV,60,2026-11-20,60,87.02,81.14,3.08,6632,3442,67507,72485
2026-09-21_1251,CRWV,91,2026-12-18,88,87.02,79.06,3.03,8161,4620,75044,87371
2026-09-21_1251,CRWV,182,2027-03-19,179,87.02,78.35,1.71,2689,2558,51343,45614
2026-09-21_1251,DRAM,30,2026-10-16,25,61.42,57.97,-0.9,29046,7618,258999,158765
2026-09-21_1251,DRAM,60,2026-11-20,60,61.42,60.37,-0.95,8198,1416,151436,69651
2026-09-21_1251,DRAM,91,2026-12-18,88,61.42,59.43,1.03,6643,998,213350,94960
2026-09-21_1251,DRAM,182,2027-03-19,179,61.42,59.54,5.05,1692,735,46856,60171
2026-09-21_1251,EEM,30,2026-10-16,25,68.69,23.78,-1.78,23670,5999,191861,352237
2026-09-21_1251,EEM,60,2026-11-20,60,68.69,23.28,-2.87,5907,5932,45575,220110
2026-09-21_1251,EEM,91,2026-12-18,88,68.69,24.3,-3.53,10475,32259,601007,851144
2026-09-21_1251,EEM,182,2027-03-19,179,68.69,23.89,-1.8,1443,13365,65167,272609
