stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-12_1051,AAPL,30,2026-09-18,37,302.38,23.43,-0.83,7741,2787,330985,235784
2026-08-12_1051,AAPL,60,2026-10-16,65,302.38,23.8,-1.29,4504,1438,249376,127626
2026-08-12_1051,AAPL,91,2026-11-20,100,302.38,25.47,-1.97,2288,1180,149688,93123
2026-08-12_1051,AAPL,182,2027-02-19,191,302.38,26.06,-1.98,1295,302,32823,24098
2026-08-12_1051,AMD,30,2026-09-18,37,488.74,57.38,0.77,3515,2959,119430,186487
2026-08-12_1051,AMD,60,2026-10-16,65,488.74,57.92,1.06,1691,1129,50548,57305
2026-08-12_1051,AMD,91,2026-11-20,100,488.74,61.33,1.5,1292,730,62950,64763
2026-08-12_1051,AMD,182,2027-02-19,191,488.74,60.2,1.4,754,490,5303,11122
2026-08-12_1051,AMZN,30,2026-09-18,37,269.2,28.98,-0.75,5810,3012,323166,223913
2026-08-12_1051,AMZN,60,2026-10-16,65,269.2,30.24,-1.44,1862,794,149518,125916
2026-08-12_1051,AMZN,91,2026-11-20,100,269.2,34.62,-1.28,1334,1748,185440,80067
2026-08-12_1051,AMZN,182,2027-02-19,191,269.2,34.95,-0.88,841,1189,14807,12645
2026-08-12_1051,CRWV,30,2026-09-18,37,106.64,81.09,1.29,29974,14970,252948,113390
2026-08-12_1051,CRWV,60,2026-10-16,65,106.64,81.81,0.28,11555,4556,97984,61480
2026-08-12_1051,CRWV,91,2026-11-20,100,106.64,82.49,-0.44,2863,1198,44201,40311
2026-08-12_1051,CRWV,182,2027-02-19,191,106.64,79.57,,316,504,2168,2466
2026-08-12_1051,DRAM,30,2026-09-18,37,54.77,71.91,-1.49,26356,11130,272203,158197
2026-08-12_1051,DRAM,60,2026-10-16,65,54.77,70.39,-1.21,6420,790,96403,84682
2026-08-12_1051,DRAM,91,2026-11-20,100,54.77,71.64,0.14,5204,938,65010,33921
2026-08-12_1051,DRAM,182,2027-02-19,191,54.77,72.3,,794,726,3483,7682
2026-08-12_1051,EEM,30,2026-09-18,37,66.35,26.76,2.09,1246,10903,515513,911568
2026-08-12_1051,EEM,60,2026-10-16,65,66.35,26.71,1.24,3498,12191,106324,172868
2026-08-12_1051,EEM,91,2026-11-20,100,66.35,26.77,-0.33,7999,5162,12169,44905
2026-08-12_1051,EEM,182,2027-01-15,156,66.35,26.35,0.94,14300,1182,175362,252498
2026-08-12_1051,FXI,30,2026-09-18,37,35.23,19.94,-0.53,1331,2485,470025,412610
2026-08-12_1051,FXI,60,2026-10-16,65,35.23,20.71,1.92,4531,1413,87933,70408
2026-08-12_1051,FXI,91,2026-11-20,100,35.23,21.45,2.33,391,2285,92422,105626
2026-08-12_1051,FXI,182,2027-02-19,191,35.23,24.17,2.04,118,298,33900,16504
2026-08-12_1051,GDX,30,2026-09-18,37,91.35,43.99,2.44,5983,2722,209319,316243
2026-08-12_1051,GDX,60,2026-10-16,65,91.35,43.14,6.68,1089,4445,32661,35998
2026-08-12_1051,GDX,91,2026-11-20,100,91.35,43.95,1.94,777,388,14483,119906
2026-08-12_1051,GDX,182,2027-01-15,156,91.35,43.25,1.79,2014,2612,120929,176907
2026-08-12_1051,GLD,30,2026-09-18,37,405.25,24.39,1.49,118111,5795,1249867,199337
2026-08-12_1051,GLD,60,2026-10-16,65,405.25,24.22,1.75,4950,2866,119787,90679
2026-08-12_1051,GLD,91,2026-11-20,100,405.25,24.15,1.7,1384,10897,302582,329165
2026-08-12_1051,GLD,182,2027-01-15,156,405.25,23.84,1.62,3195,6769,416784,368344
2026-08-12_1051,GOOGL,30,2026-09-18,37,342.6,29.45,-0.13,10249,3488,207173,166106
2026-08-12_1051,GOOGL,60,2026-10-16,65,342.6,30.41,-0.35,3737,1172,182345,74138
2026-08-12_1051,GOOGL,91,2026-11-20,100,342.6,33.45,-0.24,1581,1313,74989,52344
2026-08-12_1051,GOOGL,182,2027-02-19,191,342.6,33.82,-0.13,1556,1346,8358,14144
2026-08-12_1051,IBIT,30,2026-09-18,37,35.92,34.41,-3.21,4953,5332,557800,366563
2026-08-12_1051,IBIT,60,2026-10-16,65,35.92,36.7,-3.52,4120,7362,208476,175707
2026-08-12_1051,IBIT,91,2026-11-20,100,35.92,38.92,-4.41,2961,780,161913,54904
2026-08-12_1051,IBIT,182,2027-02-19,191,35.92,41.34,-4.38,244,631,8191,5842
2026-08-12_1051,IGV,30,2026-09-18,37,102.76,32.93,-1.83,812,2634,36692,90637
2026-08-12_1051,IGV,60,2026-10-16,65,102.76,34.4,-1.86,241,255,13749,13889
2026-08-12_1051,IGV,91,2026-11-20,100,102.76,33.36,-1.96,1161,364,34417,67563
2026-08-12_1051,IGV,182,2027-02-19,191,102.76,33.45,,110,503,4008,1929
2026-08-12_1051,IONQ,30,2026-09-18,37,43.44,82.87,10.01,707,2596,47648,51200
2026-08-12_1051,IONQ,60,2026-10-16,65,43.44,82.99,8.81,366,90,18979,36537
2026-08-12_1051,IONQ,91,2026-11-20,100,43.44,89.24,11.63,716,80,29364,12370
2026-08-12_1051,IONQ,182,2027-01-15,156,43.44,84.25,,859,292,60160,61566
2026-08-12_1051,IWM,30,2026-09-18,37,301.39,17.53,-3.37,2207,26496,488112,1009548
2026-08-12_1051,IWM,60,2026-10-16,65,301.39,18.4,-3.6,1203,16961,78083,207859
2026-08-12_1051,IWM,91,2026-11-20,100,301.39,19.41,-3.8,767,3767,111007,151295
2026-08-12_1051,IWM,182,2027-02-19,191,301.39,20.32,-4.16,132,509,3906,20235
2026-08-12_1051,KRE,30,2026-09-18,37,76.92,22.55,-1.55,7796,5822,132394,166740
2026-08-12_1051,KRE,60,2026-10-16,65,76.92,23.14,-1.89,443,259,162940,154673
2026-08-12_1051,KRE,91,2026-11-20,100,76.92,23.42,-2.85,150,1275,63104,47357
2026-08-12_1051,KRE,182,2027-01-15,156,76.92,24.53,-3.4,19207,3200,71352,312799
2026-08-12_1051,KWEB,30,2026-09-18,37,27.54,27.62,-0.19,20116,3032,567381,209735
2026-08-12_1051,KWEB,60,2026-09-18,37,27.54,27.62,-0.19,20116,3032,567381,209735
2026-08-12_1051,KWEB,91,2026-11-20,100,27.54,30.73,-0.04,3413,742,78635,37935
2026-08-12_1051,KWEB,182,2027-02-19,191,27.54,31.86,,181,109,1885,2571
2026-08-12_1051,META,30,2026-09-18,37,585.25,33.79,0.05,5019,2462,161822,187894
2026-08-12_1051,META,60,2026-10-16,65,585.25,35.37,0.01,3068,1163,116347,46629
2026-08-12_1051,META,91,2026-11-20,100,585.25,40.21,0.11,1339,974,140598,48668
2026-08-12_1051,META,182,2027-02-19,191,585.25,40.13,0.49,370,654,5097,6634
2026-08-12_1051,MSFT,30,2026-09-18,37,494.5,26.13,-1.46,5540,3497,341611,164254
2026-08-12_1051,MSFT,60,2026-10-16,65,494.5,27.01,-1.81,3121,2569,218163,96568
2026-08-12_1051,MSFT,91,2026-11-20,100,494.5,31.03,-2.19,1216,1403,137863,68165
2026-08-12_1051,MSFT,182,2027-01-15,156,494.5,29.94,-1.37,4026,3023,372166,183866
2026-08-12_1051,MU,30,2026-09-18,37,925.22,66.99,2.17,7429,6966,95620,146689
2026-08-12_1051,MU,60,2026-10-16,65,925.22,71.9,2.92,2690,3056,55181,94752
2026-08-12_1051,MU,91,2026-11-20,100,925.22,72.23,2.38,1017,1148,40137,63260
2026-08-12_1051,MU,182,2027-02-19,191,925.22,71.42,2.44,952,1927,9109,12799
2026-08-12_1051,NVDA,30,2026-09-18,37,224.29,39.04,-1.83,26528,6461,810212,743220
2026-08-12_1051,NVDA,60,2026-10-16,65,224.29,38.44,-2.07,15999,4413,464688,399386
2026-08-12_1051,NVDA,91,2026-11-20,100,224.29,40.11,-2.03,6401,3164,210330,231549
2026-08-12_1051,NVDA,182,2027-02-19,191,224.29,39.6,-1.89,2154,1620,28533,36821
2026-08-12_1051,ONDS,30,2026-09-18,37,9.91,99.59,14.35,8441,2430,245017,71843
2026-08-12_1051,ONDS,60,2026-10-16,65,9.91,99.68,12.61,1299,161,7402,1056
2026-08-12_1051,ONDS,91,2026-11-20,100,9.91,103.9,12.53,958,72,2515,496
2026-08-12_1051,ONDS,182,2027-01-15,156,9.91,101.81,11.34,2246,956,339456,73905
2026-08-12_1051,OWL,30,2026-09-18,37,12.06,43.04,-0.84,462,222,23708,101186
2026-08-12_1051,OWL,60,2026-10-16,65,12.06,44.78,-6.51,365,190,41859,28431
2026-08-12_1051,OWL,91,2026-11-20,100,12.06,48.9,-6.22,1325,1100,10225,17215
2026-08-12_1051,OWL,182,2027-02-19,191,12.06,46.85,-4.41,411,450,10717,14437
2026-08-12_1051,QQQ,30,2026-09-18,37,724.34,19.77,-3.85,22973,13783,814607,946952
2026-08-12_1051,QQQ,60,2026-10-16,65,724.34,20.81,-4.26,40181,6354,223775,283708
2026-08-12_1051,QQQ,91,2026-11-20,100,724.34,21.8,-4.53,3509,9569,84737,70519
2026-08-12_1051,QQQ,182,2027-02-19,191,724.34,22.69,-4.58,1085,1065,17364,46548
2026-08-12_1051,RKLB,30,2026-09-18,37,80.55,82.02,4.39,1503,996,49142,37237
2026-08-12_1051,RKLB,60,2026-10-16,65,80.55,82.82,2.82,586,462,35349,34238
2026-08-12_1051,RKLB,91,2026-10-16,65,80.55,82.82,2.82,586,462,35349,34238
2026-08-12_1051,RKLB,182,2027-01-15,156,80.55,85.75,3.21,1482,894,117997,97174
2026-08-12_1051,SLV,30,2026-09-18,37,59.52,44.98,6.37,9200,5481,724460,373370
2026-08-12_1051,SLV,60,2026-10-16,65,59.52,45.66,7.2,2877,679,255414,118931
2026-08-12_1051,SLV,91,2026-11-20,100,59.52,45.89,8.44,2147,3669,103498,58871
2026-08-12_1051,SLV,182,2027-01-15,156,59.52,45.27,9.92,18596,2401,838029,426200
2026-08-12_1051,SMH,30,2026-09-18,37,587.88,39.95,-3.51,4461,2810,140412,301435
2026-08-12_1051,SMH,60,2026-10-16,65,587.88,41.27,-4.26,1623,792,54447,65510
2026-08-12_1051,SMH,91,2026-11-20,100,587.88,42.05,-4.79,746,1156,14204,22956
2026-08-12_1051,SMH,182,2027-02-19,191,587.88,49.2,-3.23,478,822,2691,3205
2026-08-12_1051,SPCX,30,2026-09-18,37,138.71,69.25,4.12,13850,8334,287579,379153
2026-08-12_1051,SPCX,60,2026-10-16,65,138.71,69.65,2.94,16875,3575,131589,153291
2026-08-12_1051,SPCX,91,2026-11-20,100,138.71,71.31,3.61,1672,1823,45623,88392
2026-08-12_1051,SPCX,182,2027-02-19,191,138.71,68.5,1.64,611,733,16287,15503
2026-08-12_1051,SPY,30,2026-09-18,37,772.3,12.76,-2.17,13989,20594,743173,2688083
2026-08-12_1051,SPY,60,2026-10-16,65,772.3,13.8,-4.05,4204,7896,200335,1033763
2026-08-12_1051,SPY,91,2026-11-20,100,772.3,14.78,-4.6,3515,2580,115439,1176236
2026-08-12_1051,SPY,182,2027-01-29,170,772.3,15.45,-5.24,1063,859,5089,5679
2026-08-12_1051,TSLA,30,2026-09-18,37,323.94,38.21,0.31,8334,3752,244143,195544
2026-08-12_1051,TSLA,60,2026-10-16,65,323.94,40.16,0.74,2869,1508,84626,124110
2026-08-12_1051,TSLA,91,2026-11-20,100,323.94,43.28,1.42,1640,767,92299,123407
2026-08-12_1051,TSLA,182,2027-02-19,191,323.94,45.07,1.6,1328,247,10710,16373
2026-08-12_1051,USO,30,2026-09-18,37,126.63,50.86,6.1,1866,1714,92430,105822
2026-08-12_1051,USO,60,2026-10-16,65,126.63,47.86,2.7,898,1056,75672,190472
2026-08-12_1051,USO,91,2026-10-16,65,126.63,47.86,2.7,898,1056,75672,190472
2026-08-12_1051,USO,182,2027-01-15,156,126.63,42.12,8.51,1145,1459,64244,116197
2026-08-12_1051,VTV,30,2026-09-18,37,225.73,14.32,-1.39,44,22,80,187
2026-08-12_1051,VTV,60,2026-09-18,37,225.73,14.32,-1.39,44,22,80,187
2026-08-12_1051,VTV,91,2026-11-20,100,225.73,12.95,-6.83,116,114,1069,237
2026-08-12_1051,VTV,182,2027-02-19,191,225.73,13.16,-1.37,416,167,1200,635
2026-08-12_1051,VUG,30,2026-09-18,37,88.95,18.59,-0.03,367,767,10888,20285
2026-08-12_1051,VUG,60,2026-09-18,37,88.95,18.59,-0.03,367,767,10888,20285
2026-08-12_1051,VUG,91,2026-12-18,128,88.95,21.86,0.85,687,476,7586,2373
2026-08-12_1051,VUG,182,2027-03-19,219,88.95,25.76,-5.39,195,4,1076,405
2026-08-12_1051,XBI,30,2026-09-18,37,159.26,32.07,-1.08,836,3105,60071,61632
2026-08-12_1051,XBI,60,2026-09-18,37,159.26,32.07,-1.08,836,3105,60071,61632
2026-08-12_1051,XBI,91,2026-12-18,128,159.26,32.37,-1.92,548,2218,68289,36127
2026-08-12_1051,XBI,182,2027-01-15,156,159.26,32.6,-1.23,531,1318,35538,52838
2026-08-12_1051,XLB,30,2026-09-18,37,52.69,19.33,1.19,809,407,212147,116626
2026-08-12_1051,XLB,60,2026-09-18,37,52.69,19.33,1.19,809,407,212147,116626
2026-08-12_1051,XLB,91,2026-12-18,128,52.69,28.4,2.9,279,88,7641,7269
